¬ Text file converted with loc_parser
{BET_CREATE_NEW_ARMY}					Modifier informations sur l’armée
{BET_NUM_SAP_POINTS}			Nbre points de sape
{BET_TIME_TO_REINFORCE}			Rejoint dans %d minutes (temps réel)
{BET_ONE_MIN_TO_REINFORCE}		Rejoint dans 1 minute (temps réel)
{BET_ERROR_DELETING_SETTLEMENT_WRONG_MODE}	Impossible d’effacer les communautés dans ce mode. Pour effacer une communauté, sélectionnez-la dans la liste de factions et appuyez sur la touche Suppr.


¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
¬*******************************************************************************************************
¬*******************************************************************************************************
¬*
¬*			EXPANSION PACK TEXT BEGINS HERE!!!
¬*		ALL TEXT BELOW THIS LINE SHOULD BE EXPANSION ADDITIONS/CHANGES ONLY!!!
¬*
¬*¬***** Changes made after 05/01/2005 15:18:00
¬*
¬*******************************************************************************************************
¬*******************************************************************************************************
¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

{BET_BELIEF}			Croyance
{BET_RE_EMERGENT}			Peut réapparaître ?
{BET_DEAD_UNTIL_RESURRECTED}	Morte jusqu'à réapparition ?
{BET_SUPERFACTION}		Contrôle plusieurs factions ?
{BET_TWO_ARMIES_ON_SAME_TILE}	Il y a deux armées (ou plus) placées sur la même case
{BET_LEGION_NAME}			Nom de la légion
{BET_WORLD_MAP_POS}		Position sur la carte du monde :
{BET_SETTLEMENT_OWNER_NOT_AT_HOME}	Une communauté non passive a été ajoutée et la faction qui en a le contrôle ne dispose pas d'armées sur le champ de bataille

¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
¬*******************************************************************************************************
¬*******************************************************************************************************
¬*
¬*			EXPANSION PACK TEXT CHANGES BENEATH THIS LINE!!!
¬*		
¬*
¬*			Only changes made after 18/04/2005 12:45:00
¬*
¬*******************************************************************************************************
¬*******************************************************************************************************
¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
¬*******************************************************************************************************
¬*******************************************************************************************************
¬*
¬*			CHANGES BENEATH THIS LINE!!!
¬*		
¬*
¬*			Only changes made after 27/06/2005 11:46:00
¬*
¬*******************************************************************************************************
¬*******************************************************************************************************
¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
¬*******************************************************************************************************
¬*******************************************************************************************************
¬*
¬*			CHANGES BENEATH THIS LINE!!!
¬*		
¬*
¬*			Only changes made after 08/07/2005 17:40:00
¬*
¬*******************************************************************************************************
¬*******************************************************************************************************
¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
¬*******************************************************************************************************
¬*******************************************************************************************************
¬*
¬*			CHANGES BENEATH THIS LINE!!!
¬*		
¬*
¬*			Only changes made after 20/07/2005 12:22:00
¬*
¬*******************************************************************************************************
¬*******************************************************************************************************
¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
