¬Strings that use a base enumeration and add to it with a faction index to attain the proper string
¬ alemanni, empire_east, empire_west, empire_east_rebels, empire_west_rebels, franks, huns, sarmatians, sassanids, saxons, vandals, goths, 
¬ white_huns, ostrogoths, romano_british, slavs, celts, slave

¬ Faction Names
{ROMANS_JULII}					Maison Julii
{EMT_FRANKS_LARGE_CITY}		Grande ville franque
{EMT_FRANKS_HUGE_CITY}		Métropole franque
{EMT_HUNS_VILLAGE}		Village hun
{EMT_HUNS_TOWN}			Bourg hun
{EMT_HUNS_LARGE_TOWN}		Gros bourg hun
{EMT_HUNS_CITY}			Ville hunnique
{EMT_HUNS_LARGE_CITY}		Grande ville hunnique
{EMT_HUNS_HUGE_CITY}		Métropole hunnique
{EMT_SARMATIANS_VILLAGE}			Village sarmate
{EMT_SARMATIANS_TOWN}				Bourg sarmate
{EMT_SARMATIANS_LARGE_TOWN}			Gros bourg sarmate
{EMT_SARMATIANS_CITY}				Ville sarmate
{EMT_SARMATIANS_LARGE_CITY}			Grande ville sarmate
{EMT_SARMATIANS_HUGE_CITY}			Métropole sarmate
{EMT_SASSANIDS_VILLAGE}			Village sassanide
{EMT_SASSANIDS_TOWN}			Bourg sassanide
{EMT_SASSANIDS_LARGE_TOWN}		Gros bourg sassanide
{EMT_SASSANIDS_CITY}			Ville sassanide
{EMT_SASSANIDS_LARGE_CITY}		Grande ville sassanide
{EMT_SASSANIDS_HUGE_CITY}		Métropole sassanide
{EMT_SAXONS_VILLAGE}			Village saxon
{EMT_SAXONS_TOWN}				Bourg saxon
{EMT_SAXONS_LARGE_TOWN}			Gros bourg saxon
{EMT_SAXONS_CITY}				Ville saxonne
{EMT_SAXONS_LARGE_CITY}			Grande ville saxonne
{EMT_SAXONS_HUGE_CITY}			Métropole saxonne
{EMT_VANDALS_VILLAGE}			Village vandale
{EMT_VANDALS_TOWN}				Bourg vandale
{EMT_VANDALS_LARGE_TOWN}		Gros bourg vandale
{EMT_VANDALS_CITY}				Ville vandale
{EMT_VANDALS_LARGE_CITY}		Grande ville vandale
{EMT_VANDALS_HUGE_CITY}			Métropole vandale
{EMT_GOTHS_VILLAGE}			Village goth
{EMT_GOTHS_TOWN}			Bourg goth
{EMT_GOTHS_LARGE_TOWN}		Gros bourg goth
{EMT_GOTHS_CITY}			Ville goth
{EMT_GOTHS_LARGE_CITY}		Grande ville goth
{EMT_GOTHS_HUGE_CITY}		Métropole goth
{EMT_WHITE_HUNS_VILLAGE}		Village hun (Huns blancs)
{EMT_WHITE_HUNS_TOWN}			Bourg hun (Huns blancs)
{EMT_WHITE_HUNS_LARGE_TOWN}		Gros bourg hun (Huns blancs)
{EMT_WHITE_HUNS_CITY}			Ville hunnique (Huns blancs)
{EMT_WHITE_HUNS_LARGE_CITY}		Grande ville hunnique (Huns blancs)
{EMT_WHITE_HUNS_HUGE_CITY}		Métropole hunnique (Huns blancs)
{EMT_OSTROGOTHS_VILLAGE}			Village ostrogoth
{EMT_OSTROGOTHS_TOWN}				Bourg ostrogoth
{EMT_OSTROGOTHS_LARGE_TOWN}			Gros bourg ostrogoth
{EMT_OSTROGOTHS_CITY}				Ville ostrogoth
{EMT_OSTROGOTHS_LARGE_CITY}			Grande ville ostrogoth
{EMT_OSTROGOTHS_HUGE_CITY}			Métropole ostrogoth
{EMT_ROMANO_BRITISH_VILLAGE}			Village britto-romain
{EMT_ROMANO_BRITISH_TOWN}				Bourg britto-romain
{EMT_ROMANO_BRITISH_LARGE_TOWN}			Gros bourg britto-romain
{EMT_ROMANO_BRITISH_CITY}				Ville britto-romaine
{EMT_ROMANO_BRITISH_LARGE_CITY}			Grande ville britto-romaine
{EMT_ROMANO_BRITISH_HUGE_CITY}			Métropole britto-romaine
{EMT_SLAVS_VILLAGE}			Village slave
{EMT_SLAVS_TOWN}			Bourg slave
{EMT_SLAVS_LARGE_TOWN}		Gros bourg slave
{EMT_SLAVS_CITY}			Ville slave
{EMT_SLAVS_LARGE_CITY}		Grande ville slave
{EMT_SLAVS_HUGE_CITY}		Métropole slave
{EMT_CELTS_VILLAGE}			Village celte
{EMT_CELTS_TOWN}			Bourg celte
{EMT_CELTS_LARGE_TOWN}		Gros bourg celte
{EMT_CELTS_CITY}			Ville celte
{EMT_CELTS_LARGE_CITY}		Grande ville celte
{EMT_CELTS_HUGE_CITY}		Métropole celte

{EMT_BERBERS_VILLAGE}			Village berbère
{EMT_BERBERS_TOWN}			Bourg berbère
{EMT_BERBERS_LARGE_TOWN}		Gros bourg berbère
{EMT_BERBERS_CITY}			Ville berbère
{EMT_BERBERS_LARGE_CITY}		Grande ville berbère
{EMT_BERBERS_HUGE_CITY}		Métropole berbère

{EMT_MOORS_VILLAGE}			Village maure
{EMT_MOORS_TOWN}			Bourg maure
{EMT_MOORS_LARGE_TOWN}		Gros bourg maure
{EMT_MOORS_CITY}			Ville maure
{EMT_MOORS_LARGE_CITY}		Grande ville maure
{EMT_MOORS_HUGE_CITY}		Métropole maure

{EMT_ROMANS_JULII_CAPITAL}					Capitale romaine (Julii)
{EMT_ROMANS_BRUTII_CAPITAL}					Capitale romaine (Brutii)
{EMT_ROMANS_SCIPII_CAPITAL}					Capitale romaine (Scipii)
{EMT_ROMANS_SENATE_CAPITAL}					Capitale romaine (sénat)
{EMT_MACEDON_CAPITAL}					Capitale macédonienne
{EMT_EGYPT_CAPITAL}					Capitale égyptienne
{EMT_SELEUCID_CAPITAL}					Capitale séleucide
{EMT_CARTHAGE_CAPITAL}					Capitale carthaginoise
{EMT_PARTHIA_CAPITAL}					Capitale parthe
{EMT_PONTUS_CAPITAL}					Capitale du Pont
{EMT_GAULS_CAPITAL}					Capitale gauloise
{EMT_GERMANS_CAPITAL}					Capitale germanique
{EMT_BRITONS_CAPITAL}					Capitale britonne
{EMT_ARMENIA_CAPITAL}					Capitale arménienne
{EMT_DACIA_CAPITAL}					Capitale dace
{EMT_GREEK_CITIES_CAPITAL}					Capitale grecque
{EMT_NUMIDIA_CAPITAL}					Capitale numide
{EMT_SCYTHIA_CAPITAL}					Capitale scythe
{EMT_SPAIN_CAPITAL}					Capitale espagnole
{EMT_THRACE_CAPITAL}					Capitale thrace
{EMT_ALEMANNI_CAPITAL}		Capitale alamane
{EMT_EMPIRE_EAST_CAPITAL}		Capitale romaine (empire d'orient)
{EMT_EMPIRE_WEST_CAPITAL}		Capitale romaine (empire d'occident)
{EMT_EMPIRE_EAST_REBELS_CAPITAL}		Capitale romaine (rebelles de l'empire d'orient)
{EMT_EMPIRE_WEST_REBELS_CAPITAL}		Capitale romaine (rebelles de l'empire d'occident)
{EMT_FRANKS_CAPITAL}		Capitale franque
{EMT_HUNS_CAPITAL}		Capitale hunnique
{EMT_SARMATIANS_CAPITAL}			Capitale sarmate
{EMT_SASSANIDS_CAPITAL}			Capitale sassanide
{EMT_SAXONS_CAPITAL}			Capitale saxonne
{EMT_VANDALS_CAPITAL}			Capitale vandale
{EMT_GOTHS_CAPITAL}			Capitale goth
{EMT_WHITE_HUNS_CAPITAL}		Capitale hunnique (Huns blancs)
{EMT_OSTROGOTHS_CAPITAL}			Capitale ostrogoth
{EMT_ROMANO_BRITISH_CAPITAL}			Capitale britto-romaine
{EMT_SLAVS_CAPITAL}			Capitale slave
{EMT_SLAVE_CAPITAL}					Capitale rebelle
{EMT_CELTS_CAPITAL}				Capitale celte
{EMT_BERBERS_CAPITAL}				Capitale berbère
{EMT_MOORS_CAPITAL}				Capitale maure



{EMT_ROMANS_JULII_FORT}					Fort romain (Julii)
{EMT_ROMANS_BRUTII_FORT}					Fort romain (Brutii)
{EMT_ROMANS_SCIPII_FORT}					Fort romain (Scipii)
{EMT_ROMANS_SENATE_FORT}					Fort romain (sénat)
{EMT_MACEDON_FORT}					Fort macédonien
{EMT_EGYPT_FORT}					Fort égyptien
{EMT_SELEUCID_FORT}					Fort séleucide
{EMT_CARTHAGE_FORT}					Fort carthaginois
{EMT_PARTHIA_FORT}					Fort parthe
{EMT_PONTUS_FORT}					Fort du Pont
{EMT_GAULS_FORT}					Fort gaulois
{EMT_GERMANS_FORT}					Fort germanique
{EMT_BRITONS_FORT}					Fort briton
{EMT_ARMENIA_FORT}					Fort arménien
{EMT_DACIA_FORT}					Fort dace
{EMT_GREEK_CITIES_FORT}					Fort grec
{EMT_NUMIDIA_FORT}					Fort numide
{EMT_SCYTHIA_FORT}					Fort scythe
{EMT_SPAIN_FORT}					Fort espagnol
{EMT_THRACE_FORT}					Fort thrace
{EMT_ALEMANNI_FORT}			Fort alaman
{EMT_EMPIRE_EAST_FORT}			Fort romain (empire d'orient)
{EMT_EMPIRE_WEST_FORT}			Fort romain (empire d'occident)
{EMT_EMPIRE_EAST_REBELS_FORT}			Fort romain (rebelles de l'empire d'orient)
{EMT_EMPIRE_WEST_REBELS_FORT}			Fort romain (rebelles de l'empire d'occident)
{EMT_FRANKS_FORT}			Fort franc
{EMT_HUNS_FORT}			Fort hun
{EMT_SARMATIANS_FORT}				Fort sarmate
{EMT_SASSANIDS_FORT}			Fort sassanide
{EMT_SAXONS_FORT}				Fort saxon
{EMT_VANDALS_FORT}				Fort vandale
{EMT_GOTHS_FORT}			Fort goth
{EMT_WHITE_HUNS_FORT}			Fort hun (Huns blancs)
{EMT_OSTROGOTHS_FORT}				Fort ostrogoth
{EMT_ROMANO_BRITISH_FORT}				Fort britto-romain
{EMT_SLAVS_FORT}			Fort slave
{EMT_SLAVE_FORT}					Fort rebelle
{EMT_CELTS_FORT}			Fort celte
{EMT_BERBERS_FORT}		Fort berbère
{EMT_MOORS_FORT}			Fort maure

{EMT_ROMANS_JULII_PORT}					Port romain (Julii)
{EMT_ROMANS_BRUTII_PORT}					Port romain (Brutii)
{EMT_ROMANS_SCIPII_PORT}					Port romain (Scipii)
{EMT_ROMANS_SENATE_PORT}					Port romain (sénat)
{EMT_MACEDON_PORT}					Port macédonien
{EMT_EGYPT_PORT}					Port égyptien
{EMT_SELEUCID_PORT}					Port séleucide
{EMT_CARTHAGE_PORT}					Port carthaginois
{EMT_PARTHIA_PORT}					Port parthe
{EMT_PONTUS_PORT}					Port du Pont
{EMT_GAULS_PORT}					Port gaulois
{EMT_GERMANS_PORT}					Port germanique
{EMT_BRITONS_PORT}					Port briton
{EMT_ARMENIA_PORT}					Port arménien
{EMT_DACIA_PORT}					Port dace
{EMT_GREEK_CITIES_PORT}					Port grec
{EMT_NUMIDIA_PORT}					Port numide
{EMT_SCYTHIA_PORT}					Port scythe
{EMT_SPAIN_PORT}					Port espagnol
{EMT_THRACE_PORT}					Port thrace
{EMT_ALEMANNI_PORT}			Port alaman
{EMT_EMPIRE_EAST_PORT}			Port romain (empire romain d'orient)
{EMT_EMPIRE_WEST_PORT}			Port romain (empire romain d'occident)
{EMT_EMPIRE_EAST_REBELS_PORT}			Port romain (rebelles de l'empire romain d'orient)
{EMT_EMPIRE_WEST_REBELS_PORT}			Port romain (rebelles de l'empire romain d'occident)
{EMT_FRANKS_PORT}			Port franc
{EMT_HUNS_PORT}			Port hun
{EMT_SARMATIANS_PORT}				Port sarmate
{EMT_SASSANIDS_PORT}			Port sassanide
{EMT_SAXONS_PORT}				Port saxon
{EMT_VANDALS_PORT}				Port vandale
{EMT_GOTHS_PORT}			Port goth
{EMT_WHITE_HUNS_PORT}			Port hun (Huns blancs)
{EMT_OSTROGOTHS_PORT}				Port ostrogoth
{EMT_ROMANO_BRITISH_PORT}				Port britto-romain
{EMT_SLAVS_PORT}			Port slave
{EMT_SLAVE_PORT}					Port rebelle
{EMT_CELTS_PORT}			Port celte
{EMT_BERBERS_PORT}		Port berbère
{EMT_MOORS_PORT}			Port maure

{EMT_ROMANS_JULII_DOCK}					Quais romains (Julii)
{EMT_ROMANS_BRUTII_DOCK}					Quais romains (Brutii)
{EMT_ROMANS_SCIPII_DOCK}					Quais romains (Scipii)
{EMT_ROMANS_SENATE_DOCK}					Quais romains (sénat)
{EMT_MACEDON_DOCK}					Quais macédoniens
{EMT_EGYPT_DOCK}					Quais égyptiens
{EMT_SELEUCID_DOCK}					Quais séleucides
{EMT_CARTHAGE_DOCK}					Quais carthaginois
{EMT_PARTHIA_DOCK}					Quais parthes
{EMT_PONTUS_DOCK}					Quais du Pont
{EMT_GAULS_DOCK}					Quais gaulois
{EMT_GERMANS_DOCK}					Quais germaniques
{EMT_BRITONS_DOCK}					Quais britons
{EMT_ARMENIA_DOCK}					Quais arméniens
{EMT_DACIA_DOCK}					Quais daces
{EMT_GREEK_CITIES_DOCK}					Quais grecs
{EMT_NUMIDIA_DOCK}					Quais numides
{EMT_SCYTHIA_DOCK}					Quais scythes
{EMT_SPAIN_DOCK}					Quais espagnols
{EMT_THRACE_DOCK}					Quais thraces
{EMT_ALEMANNI_DOCK}				Quais alamans
{EMT_EMPIRE_EAST_DOCK}				Quais romains (empire d'orient)
{EMT_EMPIRE_WEST_DOCK}				Quais romains (empire d'occident)
{EMT_EMPIRE_EAST_REBELS_DOCK}				Quais romains (rebelles de l'empire d'orient)
{EMT_EMPIRE_WEST_REBELS_DOCK}				Quais romains (rebelles de l'empire d'occident)
{EMT_FRANKS_DOCK}					Quais francs
{EMT_HUNS_DOCK}				Quais huns
{EMT_SARMATIANS_DOCK}				Quais sarmates
{EMT_SASSANIDS_DOCK}				Quais sassanides
{EMT_SAXONS_DOCK}					Quais saxons
{EMT_VANDALS_DOCK}					Quais vandales
{EMT_GOTHS_DOCK}				Quais goths
{EMT_WHITE_HUNS_DOCK}				Quais huns (Huns blancs)
{EMT_OSTROGOTHS_DOCK}				Quais ostrogoths
{EMT_ROMANO_BRITISH_DOCK}			Quais britto-romains
{EMT_SLAVS_DOCK}					Quais slaves
{EMT_SLAVE_DOCK}					Quais rebelles
{EMT_CELTS_DOCK}					Quais celtes
{EMT_BERBERS_DOCK}		Quais berbères
{EMT_MOORS_DOCK}			Quais maures


{EMT_ROMANS_JULII_FISHING_VILLAGE}					Village de pêcheurs romain (Julii)
{EMT_ROMANS_BRUTII_FISHING_VILLAGE}					Village de pêcheurs romain (Brutii)
{EMT_ROMANS_SCIPII_FISHING_VILLAGE}					Village de pêcheurs romain (Scipii)
{EMT_ROMANS_SENATE_FISHING_VILLAGE}					Village de pêcheurs romain (sénat)
{EMT_MACEDON_FISHING_VILLAGE}					Village de pêcheurs macédonien
{EMT_EGYPT_FISHING_VILLAGE}					Village de pêcheurs égyptien
{EMT_SELEUCID_FISHING_VILLAGE}					Village de pêcheurs séleucide
{EMT_CARTHAGE_FISHING_VILLAGE}					Village de pêcheurs carthaginois
{EMT_PARTHIA_FISHING_VILLAGE}					Village de pêcheurs parthe
{EMT_PONTUS_FISHING_VILLAGE}					Village de pêcheurs du Pont
{EMT_GAULS_FISHING_VILLAGE}					Village de pêcheurs gaulois
{EMT_GERMANS_FISHING_VILLAGE}					Village de pêcheurs germanique
{EMT_BRITONS_FISHING_VILLAGE}					Village de pêcheurs briton
{EMT_ARMENIA_FISHING_VILLAGE}					Village de pêcheurs arménien
{EMT_DACIA_FISHING_VILLAGE}					Village de pêcheurs dace
{EMT_GREEK_CITIES_FISHING_VILLAGE}					Village de pêcheurs grec
{EMT_NUMIDIA_FISHING_VILLAGE}					Village de pêcheurs numide
{EMT_SCYTHIA_FISHING_VILLAGE}					Village de pêcheurs scythe
{EMT_SPAIN_FISHING_VILLAGE}					Village de pêcheurs espagnol
{EMT_THRACE_FISHING_VILLAGE}					Village de pêcheurs thrace
{EMT_ALEMANNI_FISHING_VILLAGE}	Village de pêcheurs alaman
{EMT_EMPIRE_EAST_FISHING_VILLAGE}	Village de pêcheurs romain (empire d'orient)
{EMT_EMPIRE_WEST_FISHING_VILLAGE}	Village de pêcheurs romain (empire d'occident)
{EMT_EMPIRE_EAST_REBELS_FISHING_VILLAGE}	Village de pêcheurs romain (rebelles de l'empire d'orient)
{EMT_EMPIRE_WEST_REBELS_FISHING_VILLAGE}	Village de pêcheurs romain (rebelles de l'empire d'occident)
{EMT_FRANKS_FISHING_VILLAGE}	Village de pêcheurs franc
{EMT_HUNS_FISHING_VILLAGE}	Village de pêcheurs hun
{EMT_SARMATIANS_FISHING_VILLAGE}	Village de pêcheurs sarmate
{EMT_SASSANIDS_FISHING_VILLAGE}	Village de pêcheurs sassanide
{EMT_SAXONS_FISHING_VILLAGE}	Village de pêcheurs saxon
{EMT_VANDALS_FISHING_VILLAGE}	Village de pêcheurs vandale
{EMT_GOTHS_FISHING_VILLAGE}	Village de pêcheurs goth
{EMT_WHITE_HUNS_FISHING_VILLAGE}	Village de pêcheurs hun (Huns blancs)
{EMT_OSTROGOTHS_FISHING_VILLAGE}	Village de pêcheurs ostrogoth
{EMT_ROMANO_BRITISH_FISHING_VILLAGE}	Village de pêcheurs britto-romain
{EMT_SLAVS_FISHING_VILLAGE}			 Village de pêcheurs slave
{EMT_SLAVE_FISHING_VILLAGE}					Village de pêcheurs rebelle
{EMT_CELTS_FISHING_VILLAGE}			Village de pêcheurs celte
{EMT_BERBERS_FISHING_VILLAGE}					Village de pêcheurs berbère
{EMT_MOORS_FISHING_VILLAGE}			Village de pêcheurs maure

{EMT_ROMANS_JULII_WATCHTOWER}					Tour de guet romaine (Julii)
{EMT_ROMANS_BRUTII_WATCHTOWER}					Tour de guet romaine (Brutii)
{EMT_ROMANS_SCIPII_WATCHTOWER}					Tour de guet romaine (Scipii)
{EMT_ROMANS_SENATE_WATCHTOWER}					Tour de guet romaine (sénat)
{EMT_MACEDON_WATCHTOWER}					Tour de guet macédonienne
{EMT_EGYPT_WATCHTOWER}					Tour de guet égyptienne
{EMT_SELEUCID_WATCHTOWER}					Tour de guet séleucide
{EMT_CARTHAGE_WATCHTOWER}					Tour de guet carthaginoise
{EMT_PARTHIA_WATCHTOWER}					Tour de guet parthe
{EMT_PONTUS_WATCHTOWER}					Tour de guet du Pont
{EMT_GAULS_WATCHTOWER}					Tour de guet gauloise
{EMT_GERMANS_WATCHTOWER}					Tour de guet germanique
{EMT_BRITONS_WATCHTOWER}					Tour de guet britonne
{EMT_ARMENIA_WATCHTOWER}					Tour de guet arménienne
{EMT_DACIA_WATCHTOWER}					Tour de guet dace
{EMT_GREEK_CITIES_WATCHTOWER}					Tour de guet grecque
{EMT_NUMIDIA_WATCHTOWER}					Tour de guet numide
{EMT_SCYTHIA_WATCHTOWER}					Tour de guet scythe
{EMT_SPAIN_WATCHTOWER}					Tour de guet espagnole
{EMT_THRACE_WATCHTOWER}					Tour de guet thrace
{EMT_ALEMANNI_WATCHTOWER}	Tour de guet alamane
{EMT_EMPIRE_EAST_WATCHTOWER}	Tour de guet romaine (empire d'orient)
{EMT_EMPIRE_WEST_WATCHTOWER}	Tour de guet romaine (empire d'occident)
{EMT_EMPIRE_EAST_REBELS_WATCHTOWER}	Tour de guet romaine (rebelles de l'empire d'orient)
{EMT_EMPIRE_WEST_REBELS_WATCHTOWER}	Tour de guet romaine (rebelles de l'empire d'occident)
{EMT_FRANKS_WATCHTOWER}		Tour de guet franque
{EMT_HUNS_WATCHTOWER}		Tour de guet hunnique
{EMT_SARMATIANS_WATCHTOWER}			Tour de guet sarmate
{EMT_SASSANIDS_WATCHTOWER}		Tour de guet sassanide
{EMT_SAXONS_WATCHTOWER}			Tour de guet saxonne
{EMT_VANDALS_WATCHTOWER}		Tour de guet vandale
{EMT_GOTHS_WATCHTOWER}		Tour de guet goth
{EMT_WHITE_HUNS_WATCHTOWER}	Tour de guet hun (Huns blancs)
{EMT_OSTROGOTHS_WATCHTOWER}			Tour de guet ostrogoth
{EMT_ROMANO_BRITISH_WATCHTOWER}			Tour de guet britto-romaine
{EMT_SLAVS_WATCHTOWER}		Tour de guet slave
{EMT_SLAVE_WATCHTOWER}					Tour de guet rebelle
{EMT_CELTS_WATCHTOWER}				Tour de guet celte
{EMT_BERBERS_WATCHTOWER}			Tour de guet berbère
{EMT_MOORS_WATCHTOWER}				Tour de guet maure


{EMT_ROMANS_JULII_FACTION_LEADER}					Chef de faction romain (Julii)
{EMT_ROMANS_BRUTII_FACTION_LEADER}					Chef de faction romain (Brutii)
{EMT_ROMANS_SCIPII_FACTION_LEADER}					Chef de faction romain (Scipii)
{EMT_ROMANS_SENATE_FACTION_LEADER}					Chef de faction romain (sénat)
{EMT_MACEDON_FACTION_LEADER}					Chef de faction macédonien
{EMT_EGYPT_FACTION_LEADER}					Chef de faction égyptien
{EMT_SELEUCID_FACTION_LEADER}					Chef de faction séleucide
{EMT_CARTHAGE_FACTION_LEADER}					Chef de faction carthaginois
{EMT_PARTHIA_FACTION_LEADER}					Chef de faction parthe
{EMT_PONTUS_FACTION_LEADER}					Chef de faction du Pont
{EMT_GAULS_FACTION_LEADER}					Chef de faction gaulois
{EMT_GERMANS_FACTION_LEADER}					Chef de faction germanique
{EMT_BRITONS_FACTION_LEADER}					Chef de faction briton
{EMT_ARMENIA_FACTION_LEADER}					Chef de faction arménien
{EMT_DACIA_FACTION_LEADER}					Chef de faction dace
{EMT_GREEK_CITIES_FACTION_LEADER}					Chef de faction grec
{EMT_NUMIDIA_FACTION_LEADER}					Chef de faction numide
{EMT_SCYTHIA_FACTION_LEADER}					Chef de faction scythe
{EMT_SPAIN_FACTION_LEADER}					Chef de faction espagnol
{EMT_THRACE_FACTION_LEADER}					Chef de faction thrace
{EMT_ALEMANNI_FACTION_LEADER}		Chef de faction alaman
{EMT_EMPIRE_EAST_FACTION_LEADER}	Chef de faction romain (empire d'orient)
{EMT_EMPIRE_WEST_FACTION_LEADER}	Chef de faction romain (empire d'occident)
{EMT_EMPIRE_EAST_REBELS_FACTION_LEADER}	Chef de faction romain (rebelles de l'empire d'orient)
{EMT_EMPIRE_WEST_REBELS_FACTION_LEADER}	Chef de faction romain (rebelles de l'empire d'occident)
{EMT_FRANKS_FACTION_LEADER}			Chef de faction franc
{EMT_HUNS_FACTION_LEADER}		Chef de faction hun
{EMT_SARMATIANS_FACTION_LEADER}		Chef de faction sarmate
{EMT_SASSANIDS_FACTION_LEADER}		Chef de faction sassanide
{EMT_SAXONS_FACTION_LEADER}			Chef de faction saxon
{EMT_VANDALS_FACTION_LEADER}		Chef de faction vandale
{EMT_GOTHS_FACTION_LEADER}		Chef de faction goth
{EMT_WHITE_HUNS_FACTION_LEADER}		Chef de faction hun (Huns blancs)
{EMT_OSTROGOTHS_FACTION_LEADER}		Chef de faction ostrogoth
{EMT_ROMANO_BRITISH_FACTION_LEADER}	Chef de faction britto-romain
{EMT_SLAVS_FACTION_LEADER}			Chef de faction slave
{EMT_SLAVE_FACTION_LEADER}					Chef de faction rebelle
{EMT_CELTS_FACTION_LEADER}			Chef de faction celte
{EMT_BERBERS_FACTION_LEADER}			Chef de faction berbère
{EMT_MOORS_FACTION_LEADER}			Chef de faction maure

{EMT_ROMANS_JULII_FACTION_HEIR}					Héritier de faction romain (Julii)
{EMT_ROMANS_BRUTII_FACTION_HEIR}					Héritier de faction romain (Brutii)
{EMT_ROMANS_SCIPII_FACTION_HEIR}					Héritier de faction romain (Scipii)
{EMT_ROMANS_SENATE_FACTION_HEIR}					Héritier de faction romain (sénat)
{EMT_MACEDON_FACTION_HEIR}					Héritier de faction macédonien
{EMT_EGYPT_FACTION_HEIR}					Héritier de faction égyptien
{EMT_SELEUCID_FACTION_HEIR}					Héritier de faction séleucide
{EMT_CARTHAGE_FACTION_HEIR}					Héritier de faction carthaginois
{EMT_PARTHIA_FACTION_HEIR}					Héritier de faction parthe
{EMT_PONTUS_FACTION_HEIR}					Héritier de faction du Pont
{EMT_GAULS_FACTION_HEIR}					Héritier de faction gaulois
{EMT_GERMANS_FACTION_HEIR}					Héritier de faction germanique
{EMT_BRITONS_FACTION_HEIR}					Héritier de faction briton
{EMT_ARMENIA_FACTION_HEIR}					Héritier de faction arménien
{EMT_DACIA_FACTION_HEIR}					Héritier de faction dace
{EMT_GREEK_CITIES_FACTION_HEIR}					Héritier de faction grec
{EMT_NUMIDIA_FACTION_HEIR}					Héritier de faction numide
{EMT_SCYTHIA_FACTION_HEIR}					Héritier de faction scythe
{EMT_SPAIN_FACTION_HEIR}					Héritier de faction espagnol
{EMT_THRACE_FACTION_HEIR}					Héritier de faction thrace
{EMT_ALEMANNI_FACTION_HEIR}			Héritier de faction alaman
{EMT_EMPIRE_EAST_FACTION_HEIR}		Héritier de faction romain (empire d'orient)
{EMT_EMPIRE_WEST_FACTION_HEIR}		Héritier de faction romain (empire d'occident)
{EMT_EMPIRE_EAST_REBELS_FACTION_HEIR}		Héritier de faction romain (rebelles de l'empire d'orient)
{EMT_EMPIRE_WEST_REBELS_FACTION_HEIR}		Héritier de faction romain (rebelles de l'empire d'occident)
{EMT_FRANKS_FACTION_HEIR}			Héritier de faction franc
{EMT_HUNS_FACTION_HEIR}		Héritier de faction hun
{EMT_SARMATIANS_FACTION_HEIR}		Héritier de faction sarmate
{EMT_SASSANIDS_FACTION_HEIR}		Héritier de faction sassanide
{EMT_SAXONS_FACTION_HEIR}			Héritier de faction saxon
{EMT_VANDALS_FACTION_HEIR}			Héritier de faction vandale
{EMT_GOTHS_FACTION_HEIR}		Héritier de faction goth
{EMT_WHITE_HUNS_FACTION_HEIR}		Héritier de faction hun (Huns blancs)
{EMT_OSTROGOTHS_FACTION_HEIR}		Héritier de faction ostrogoth
{EMT_ROMANO_BRITISH_FACTION_HEIR}	Héritier de faction britto-romain
{EMT_SLAVS_FACTION_HEIR}			Héritier de faction slave
{EMT_SLAVE_FACTION_HEIR}					Héritier de faction rebelle
{EMT_CELTS_FACTION_HEIR}					Héritier de faction celte
{EMT_BERBERS_FACTION_HEIR}					Héritier de faction berbère
{EMT_MOORS_FACTION_HEIR}					Héritier de faction maure


{EMT_YOUR_FORCES_ATTACK_ARMY_ROMANS_JULII}					Vos forces attaquent une armée de la faction Julii
{EMT_YOUR_FORCES_ATTACK_ARMY_ROMANS_BRUTII}					Vos forces attaquent une armée de la faction Brutii
{EMT_YOUR_FORCES_ATTACK_ARMY_ROMANS_SCIPII}					Vos forces attaquent une armée de la faction Scipii
{EMT_YOUR_FORCES_ATTACK_ARMY_ROMANS_SENATE}					Vos forces attaquent une armée du sénat
{EMT_YOUR_FORCES_ATTACK_ARMY_MACEDON}					Vos forces attaquent une armée de Macédoine
{EMT_YOUR_FORCES_ATTACK_ARMY_EGYPT}					Vos forces attaquent une armée d’Egypte
{EMT_YOUR_FORCES_ATTACK_ARMY_SELEUCID}					Vos forces attaquent une armée de l’Empire séleucide
{EMT_YOUR_FORCES_ATTACK_ARMY_CARTHAGE}					Vos forces attaquent une armée de Carthage
{EMT_YOUR_FORCES_ATTACK_ARMY_PARTHIA}					Vos forces attaquent une armée de Parthie
{EMT_YOUR_FORCES_ATTACK_ARMY_PONTUS}					Vos forces attaquent une armée du Pont
{EMT_YOUR_FORCES_ATTACK_ARMY_GAULS}					Vos forces attaquent une armée de Gaule
{EMT_YOUR_FORCES_ATTACK_ARMY_GERMANS}					Vos forces attaquent une armée de Germanie
{EMT_YOUR_FORCES_ATTACK_ARMY_BRITONS}					Vos forces attaquent une armée de Britannie
{EMT_YOUR_FORCES_ATTACK_ARMY_ARMENIA}					Vos forces attaquent une armée d’Arménie
{EMT_YOUR_FORCES_ATTACK_ARMY_DACIA}					Vos forces attaquent une armée de Dacie
{EMT_YOUR_FORCES_ATTACK_ARMY_GREEK_CITIES}					Vos forces attaquent une armée des cités grecques
{EMT_YOUR_FORCES_ATTACK_ARMY_NUMIDIA}					Vos forces attaquent une armée de Numidie
{EMT_YOUR_FORCES_ATTACK_ARMY_SCYTHIA}					Vos forces attaquent une armée de Scythie
{EMT_YOUR_FORCES_ATTACK_ARMY_SPAIN}					Vos forces attaquent une armée d’Espagne
