¬ Text file converted with loc_parser
{SMT_CULTURE_ROMAN}				Romains
{SMT_OPEN_TRAINING_WINDOW}					Ouvrir le tableau de formation d’unité de la communauté sélectionnée
{SMT_NOTHING_TO_TRAIN}						Il est impossible de recruter des unités dans la communauté sélectionnée
{SMT_CURRENTLY_TRAINING}					En cours de formation
{SMT_OPEN_OPTIONS_WINDOW}					Définir les options de la partie
{SMT_OPEN_SENATE_WINDOW}					Afficher l’écran d’information du sénat
{SMT_OPEN_FINANCE_WINDOW}					Afficher la situation financière
{SMT_OPEN_DIPLOMACY_WINDOW}					Afficher les relations diplomatiques
{SMT_FACTION_BUTTON_TOOLTIP}					Afficher la situation de la faction\nFaire un clic droit pour localiser la capitale de la faction
{SMT_SELECTED_ITEM_TOOLTIP}					Objet actuellement sélectionné\nCliquer une fois pour zoomer sur l’objet
{SMT_BUILD_QUEUE_CONFLICT}					Ce bâtiment est déjà dans la file de construction de cette communauté
{SMT_BUILD_QUEUE_FULL}						Impossible d’ajouter cet objet : la file de construction est pleine
{SMT_BUILD_QUEUE_INSUFFICIENT_FUNDS}				Impossible d’ajouter ce bâtiment : fonds insuffisants
{SMT_TRAINING_INSUFFICIENT_POPULACE}				Impossible d’ajouter cet objet : pas assez d’habitants à recruter
{SMT_TRAINING_INSUFFICIENT_FUNDS}				Impossible d’ajouter cet objet à la file de formation : fonds insuffisants
{SMT_TRAINING_QUEUE_FULL}					Impossible d’ajouter cet objet : la file de formation est pleine
{SMT_DIPLOMACY_SUMMARY}					Situation diplomatique
{SMT_WE_HAVE_MILITARY_ACCESS}					Nous avons un accès militaire
{SMT_THEY_HAVE_MILITARY_ACCESS}				Ils ont un accès militaire
{SMT_PAYING_YOU_TRIBUTE_X_PER_TURN}				Vous offrir un tribut de %d deniers par tour
{SMT_PAYING_THEM_TRIBUTE_X_PER_TURN}				Leur offrir un tribut de %d deniers par tour
{SMT_ASSISTANCE_REQUESTED_AGAINST}				Aide demandée contre
{SMT_ASSISTANCE_PROVIDED_AGAINST}				Aide fournie contre
{SMT_CONFIRM_OFFER}						Confirmer les infos sur l’offre
{SMT_CANCEL_OFFER}						Annuler les infos sur l’offre
{SMT_OFFER_MONEY_TITLE}					Offrir de l’argent
{SMT_DEMAND_MONEY_TITLE}					Demander de l’argent
{SMT_AMOUNT_OF_DENARI}					Somme en deniers
{SMT_OFFER_TRIBUTE_TITLE}					Offrir un tribut
{SMT_DEMAND_TRIBUTE}						Demander un tribut
{SMT_NUMBER_OF_YEARS}						Nombre de tours
{SMT_OR_UNTIL_FURTHER_NOTICE}					ou jusqu’à avis contraire
{SMT_UNTIL_FURTHER_NOTICE}					jusqu’à avis contraire
{SMT_DEMAND_ATTACK_ON_FACTION}				Demander d’attaquer une faction
{SMT_OFFER_ATTACK_ON_FACTION}					Offrir d’attaquer une faction
{SMT_WITHIN}							En
{SMT_YEARS}							tours
{SMT_GIVE}							Donner
{SMT_DEMAND_SETTLEMENT_TITLE}					Demander des communautés
{SMT_OFFER_SETTLEMENT_TITLE}					Offrir des communautés
{SMT_CITY}							Ville
{SMT_CHARACTERS}						Personnages
{SMT_STATUS}							Statut
{SMT_CHARACTER_PERFORMED_TURNS_ACTION}			Ce personnage a déjà effectué une mission pendant ce tour
{SMT_TARGET_TILE_IS_IMPASSABLE}					L’emplacement de la cible est invalide pour ce type de personnage
{SMT_CANNOT_LEAVE_SIEGED_FORT}				Personne ne peut quitter un fort assiégé, sauf pour attaquer l'assiégeant
{SMT_CANNOT_LEAVE_SIEGED_SETTLEMENT}				Personne ne peut quitter une communauté assiégée, sauf pour attaquer l'assiégeant
{SMT_CANNOT_LEAVE_ENEMIES_ZOC}				Impossible de quitter la zone de contrôle ennemie
{SMT_CHARACTER_DETAILS}					Infos sur personnage
{SMT_ENEMY_CHARACTER_DETAILS}					Infos sur personnage ennemi
{SMT_NEUTRAL_CHARACTER_DETAILS}				Infos sur personnage neutre
{SMT_ALLIED_CHARACTER_DETAILS}					Infos sur personnage allié
{SMT_VICES}							Vices
{SMT_FACTION_SUMMARY}						Situation de la faction
{SMT_FACTION_LEADER}						Chef de faction :
{SMT_HEIRS}							Héritiers :
{SMT_REGIONS_GAINED}						Régions gagnées :
{SMT_BATTLES_WON}						Victoires :
{SMT_BATTLES_LOST}						Défaites :
{SMT_SHOW_FAMILY_TREE}					Afficher l’arbre généalogique
{SMT_SHOW_EVENT_LOG}						Afficher le registre des Evénements
{SMT_FINANCIAL_SUMMARY}					Situation financière
{SMT_INCOME}							Revenus
{SMT_EXPENDITURE}						Dépenses
{SMT_FARMING}							Agriculture
{SMT_RESOURCES}						Ressources
{SMT_TRADE}							Commerce
{SMT_TAXES}							Impôts
{SMT_WAGES}							Solde
{SMT_PROJECTED_INCOME}						Projection du total des revenus
{SMT_PROJECTED_EXPENDITURE}					Projection du total des dépenses
{SMT_PROJECTED_PROFIT}						Projection des bénéfices
{SMT_TOTAL_INCOME}						Total des revenus
{SMT_TOTAL_EXPENDITURE}					Total des dépenses
{SMT_TOTAL_PROFIT}						Bénéfices
{SMT_ARMY_RECRUIT}						Recrutement
{SMT_CONSTRUCTION}						Construction
{SMT_DIPLOMACY}						Diplomatie
{SMT_TRIBUTE}							Tributs
{SMT_OTHER}							Autres
{SMT_SENATE_TRANSACTIONS}					Transactions avec le sénat
{SMT_EVENT_LOG}						Registre des Evénements
{SMT_OFFICE}							Fonction
{SMT_CHARACTER}						Personnage
{SMT_SENATE_OFFICIALS}						Magistrats du sénat
{SMT_SENATE_MISSIONS}						Missions du sénat
{SMT_SHOW_SENATE_OFFICES}					Afficher la liste des offices sénatoriaux
{SMT_TIME_REMAINING}						Temps restant
{SMT_TARGETS}							Cibles
{SMT_TARGET}							Cible
{SMT_REWARD}							Récompense
{SMT_PENALTY}							Pénalité
{SMT_SETTLEMENT}						Communauté
{SMT_TRADE_DETAILS}						Situation commerciale
{SMT_SHOW_TRADE_SUMMARY}					Afficher la situation commerciale de cette communauté
{SMT_RESOURCE_GOLD}						Or
{SMT_RESOURCE_SILVER}						Argent
{SMT_RESOURCE_IRON}						Fer
{SMT_RESOURCE_POTTERY}						Poterie
{SMT_RESOURCE_FURS}						Fourrures
{SMT_RESOURCE_GRAIN}						Céréales
{SMT_RESOURCE_TIMBER}						Bois
{SMT_RESOURCE_ELEPHANT}					Eléphants
{SMT_RESOURCE_CAMEL}						Chameaux
{SMT_RESOURCE_DOG}						Chiens
{SMT_RESOURCE_PIG}						Cochons
{SMT_RESOURCE_OLIVE_OIL}					Huile d’olive
{SMT_RESOURCE_WINE}						Vin
{SMT_RESOURCE_SLAVES}						Esclaves
{SMT_RESOURCE_GLASS}						Verre
{SMT_RESOURCE_MARBLE}						Marbre
{SMT_RESOURCE_TEXTILES}					Textiles
{SMT_RESOURCE_PURPLE_DYE}					Teinture pourpre
{SMT_RESOURCE_INCENSE}						Encens
{SMT_RESOURCE_SILK}						Soie
{SMT_RESOURCE_WILD_ANIMALS}					Animaux sauvages
{SMT_RESOURCE_HIDES}						Peaux
{SMT_RESOURCE_TIN}						Etain
{SMT_RESOURCE_COPPER}						Cuivre
{SMT_RESOURCE_LEAD}						Plomb
{SMT_RESOURCE_AMBER}						Ambre
{SMT_HARVEST_POOR}						Mauvaise récolte
{SMT_HARVEST_NORMAL}						Récolte moyenne
{SMT_HARVEST_GOOD}						Bonne récolte
{SMT_HARVEST_EXCELLENT}					Excellente récolte
{SMT_MINING_INCOME}						Revenu minier
{SMT_FARM_INCOME}						Revenu agricole
{SMT_FIND_SELECTED_CHARACTER}					Localiser le personnage sélectionné sur la carte
{SMT_FAMILY_TREE_TITLE}						Arbre généalogique
{SMT_OWNED_BY}							Propriétaire :
{SMT_WEAPON_ARMOUR_PIERCING}					Utilise des armes perforantes
{SMT_WEAPON_BODY_PIERCING}					Utilise des armes antipersonnel
{SMT_WEAPON_PRECURSOR}					Utilise une arme initiale de jet
{SMT_WEAPON_AREA}						L’arme a une zone d’effet
{SMT_UNIT_IS_GENERAL}						Une unité digne d’un général
{SMT_UNIT_IS_COMMAND}						Une unité de commandement
{SMT_UNIT_CAN_CONCEAL}						Peut se camoufler
{SMT_UNIT_IS_HARDY}						Est hardi
{SMT_UNIT_IS_VERY_HARDY}					Est très hardi
{SMT_UNIT_IS_HEAVY}						Est une unité lourde
{SMT_CAN_DO_TESTUDO}						Peut former une tortue
{SMT_CAN_DO_PHALANX}						Peut former une phalange
{SMT_GOOD_ON_SCRUB}						Aime les broussailles
{SMT_GOOD_ON_SAND}						Aime les déserts
{SMT_GOOD_ON_FOREST}						Aime les forêts
{SMT_GOOD_ON_SNOW}						Aime la neige
{SMT_BAD_ON_SCRUB}						Déteste les broussailles
{SMT_BAD_ON_SAND}						Déteste les déserts
{SMT_BAD_ON_FOREST}						Déteste les forêts
{SMT_BAD_ON_SNOW}						Déteste la neige
{SMT_UNCOVERED_HIDDEN_AGENT_IN_SETTLEMENT_TITLE}		Espion démasqué
{SMT_UNCOVERED_HIDDEN_AGENT_IN_SETTLEMENT_DESCRIPTION}	Nous avons découvert dans cette communauté un espion fourbe et dangereux. Nos rivaux n’ont-ils donc aucun sens de l’honneur ?
{SMT_HIDDEN_AGENT_IN_SETTLEMENT_COMPROMISED_TITLE}		Espion dénoncé
{SMT_HIDDEN_AGENT_IN_SETTLEMENT_COMPROMISED_DESCRIPTION}	Notre espion a été dénoncé aux autorités de cette communauté. Nous supposerons qu’il est mort. 
{SMT_APPOINT_TO_GOVERNOR_TITLE}				Gouverneur nommé
{SMT_APPOINT_TO_GOVERNOR_DESCRIPTION}				Cet homme vient d’être nommé gouverneur.
{SMT_SETTLEMENT_BESIEGE_TITLE}					Communauté assiégée
{SMT_SETTLEMENT_BESIEGE_DESCRIPTION}				Cette communauté fait actuellement l’objet d’un siège qui nuit aux habitants. 
{SMT_SETTLEMENT_REVOLT_TITLE}					Communauté révoltée
{SMT_SETTLEMENT_REVOLT_DESCRIPTION}				Les habitants de cette communauté se sont révoltés. Voilà qui montre à quel point ils sont ingrats et torves.
{SMT_SETTLEMENT_LOST_TITLE}					Communauté perdue
{SMT_SETTLEMENT_LOST_DESCRIPTION}				Nous avons perdu le contrôle de cette communauté, ce qui nuit à notre fortune comme à notre prestige.
{SMT_SETTLEMENT_GAINED_TITLE}					Communauté acquise
{SMT_SETTLEMENT_GAINED_DESCRIPTION}				Nous avons pris le contrôle de cette communauté, ce qui accroît notre prestige et notre fortune !
{SMT_NAVY_BLOCKADED_TITLE}					Instauration d’un blocus
{SMT_NAVY_BLOCKADED_DESCRIPTION}				Le commerce maritime pâtit de ce blocus.
{SMT_BIRTH_TITLE}						Naissance
{SMT_BIRTH_DESCRIPTION}						Notre faction a le bonheur d’accueillir un nouvel enfant. Avec le temps, il atteindra sa maturité et contribuera à notre gloire.
{SMT_ADOPTION_TITLE}						Adoption
{SMT_ADOPTION_DESCRIPTION}					Notre famille a adopté cet homme, qui nous apportera gloire et honneur à travers ses hauts faits.
{SMT_COMING_OF_AGE_TITLE}					Majorité
{SMT_COMING_OF_AGE_DESCRIPTION}				Cet homme a atteint la majorité. Il est maintenant prêt à assumer les responsabilités qui incombent à un bon dirigeant.
{SMT_MARRIAGE_TITLE}						Mariage
{SMT_MARRIAGE_DESCRIPTION}					Cet homme s’est marié, posant ainsi les fondations de l’avenir de notre famille.
{SMT_NATURAL_DEATH_TITLE}					Mort naturelle
{SMT_NATURAL_DEATH_DESCRIPTION}				Cet homme, mort de cause naturelle, est parti rejoindre nos illustres ancêtres dans l’au-delà. 
{SMT_NEW_FACTION_LEADER_TITLE}					Nouveau chef de faction
{SMT_NEW_FACTION_LEADER_DESCRIPTION}				Un nouveau chef de faction est apparu pour prendre le pouvoir. 
{SMT_NEW_FACTION_HEIR_TITLE}					Nouvel héritier de faction
{SMT_NEW_FACTION_HEIR_DESCRIPTION}				Un nouvel héritier au commandement de la faction est apparu. Espérons ceci dit que sa succession au pouvoir n’est pas imminente.
{SMT_FACTION_DEFEATED_TITLE}					Faction vaincue
{SMT_FACTION_DEFEATED_DESCRIPTION}				Cette faction a été défaite. Elle ne nous importunera plus. 
{SMT_UNKNOWN}							Inconnu
{SMT_UNKNOWN_UNIT}						Type d’unité inconnu
{SMT_UNKNOWN_BUILDING}						Type de bâtiment inconnu
{SMT_ARMY_BREAKDOWN}						Infos sur armée
{SMT_SHOW_ARMY_DETAILS}					Afficher les infos sur l’armée
{SMT_SHOW_VNV_DETAILS}					Afficher les vices et vertus du personnage
{SMT_TRAITS_UKNOWN}						Traits de caractère inconnus
{SMT_STATUS_UNKNOWN}						Etat inconnu
{SMT_SPOTTED_BY}						Repéré par :
{SMT_WATCHTOWER}						Tour de guet
{SMT_EXCHANGE_COMMANDING_OFFICER}				Impossible de transférer l’officier en charge d'une armée.
{SMT_EXCHANGE_NO_MOVEMENT_POINTS}				Points de mouvements insuffisants pour ce transfert.
{SMT_EXCHANGE_NO_NAVY_PRESENT}				Un bateau ne peut être transféré dans une armée terrestre.
{SMT_EXCHANGE_SELECTED}					Utiliser le bouton Fusionner ou glisser-déposer pour transférer le portrait dans l’autre panneau.
{SMT_EXCHANGE_UNSELECTED}					Sélectionner le portrait à transférer dans l'autre panneau.
{SMT_EXCHANGE_NO_SELECTION}					Sélectionner les portraits à transférer ; pour visualiser les différentes catégories, utiliser les onglets.
{SMT_EXCHANGE_MERGE_OK}					Utiliser le bouton Fusionner pour transférer les portraits sélectionnés d’un panneau à l’autre.
{SMT_EXCHANGE_CAPACITY_EXCEEDED}				Les portraits sélectionnés ne peuvent être transférés sous peine de dépasser la capacité. Sélectionner des portraits dans les deux panneaux pour effectuer un échange.
{SMT_SHOW_MISSION_TARGET}					Afficher l’emplacement de la cible
{SMT_RALLY_POINTS}						Points de ralliement
{SMT_RALLY_POINT}						Point de ralliement
{SMT_CANNOT_MERGE_THIS_UNIT_SELECTION}			Cette sélection d’unités ne peut être fusionnée dans l’autre fenêtre
{SMT_CANNOT_MERGE_THIS_CHARACTER_SELECTION}			Cette sélection de personnages ne peut être fusionnée dans l’autre fenêtre
{SMT_ZOOM_DOWN_TO_CITY}					Visualiser la communauté sur la carte de bataille
{SMT_DESTROY_BUILDING}						Détruire le bâtiment
{SMT_RETAINERS}							Serviteurs
{SMT_RETAINERS_UNKNOWN}					Serviteurs inconnus
{SMT_SUCCESS_RATE}						Taux de réussite
{SMT_SHOW_CHARACTER_TARGETS}					Afficher les cibles potentielles parmi les personnages
{SMT_SHOW_BUILDING_TARGETS}					Afficher les cibles potentielles parmi les bâtiments
{SMT_ACCEPT_MISSION}						Accepter la mission
{SMT_BUILDING}							Bâtiment
{SMT_MILITARY_FORCES}						Forces militaires
{SMT_NUM_SOLDIERS}						Soldats
{SMT_ATTACK}							Attaque
{SMT_ATTACK_CHARGE}						Charge
{SMT_ARMOUR}							Armure
{SMT_DEFENCE}							Défense
{SMT_SHIELD}							Bouclier
{SMT_HP}							Coups
{SMT_CREATION_COST}						Coût de recrutement
{SMT_ARMY_STRENGTH_RATIO}					Rapport de forces terrestres
{SMT_NAVY_STRENGTH_RATIO}					Rapport de forces maritimes
{SMT_PROTECTOR}						Protecteur
{SMT_PROTECTORATES}						Protectorats
{SMT_YOU_ARE_PROTECTOR}					Vous êtes le protecteur de cette faction
{SMT_ENABLE_AUTO_TRAIN}					Activer la formation automatique
{SMT_ENABLE_AUTO_CONSTRUCT}					Activer la construction automatique
{SMT_AUTOMATE_ALL}						Automatiser toute la production
{SMT_AI_SPEND_POLICY}						Type d’automatisation des dépenses
{SMT_SAVE}							Economiser
{SMT_SPEND}							Dépenser
{SMT_CONSTRUCTION_OPTIONS}					Options de construction
{SMT_CONSTRUCTION_QUEUE}					File de construction
{SMT_LAND_EXPORTS}						Exportations terrestres
{SMT_SEA_EXPORTS}						Exportations maritimes
{SMT_IMPORTS}							Importations
{SMT_TRADE_INCOME}						Revenu commercial
{SMT_RECRUITMENT_QUEUE}					File de recrutement
{SMT_DEFENSES}							Défenses
{SMT_SIEGE_DETAILS}						Infos sur siège
{SMT_SETTLEMENT_HAS_FOOD_FOR_X_YEARS}			Cette communauté a assez de vivres pour %d ans
{SMT_FORT_HAS_FOOD_FOR_X_YEARS}				Ce fort a assez de vivres pour %d ans
{SMT_SETTLEMENT_HAS_FOOD_FOR_1_YEAR}				Cette communauté a assez de vivres pour un an
{SMT_FORT_HAS_FOOD_FOR_1_YEAR}				Ce fort a assez de vivres pour un an
{SMT_SETTLEMENT_HAS_NO_FOOD}					Il reste très peu de vivres dans cette communauté
{SMT_FORT_HAS__NO_FOOD}					Il reste très peu de vivres dans ce fort
{SMT_AUTOMANAGE_ALL_TOOLTIP}					Assigner automatiquement un assistant de construction IA à chaque communauté
{SMT_ALLOW_BUILDING_TOOLTIP}					Laisser l’assistant de construction gérer les bâtiments
{SMT_ALLOW_TROOP_PRODUCTION_TOOLTIP}				Laisser l’assistant de construction recruter les troupes
{SMT_SPEND_SLIDER_TOOLTIP}					Définir le budget que les assistants de construction peuvent dépenser
{SMT_BUILDING_ADVICE}						Demander l’avis du conseiller quant au prochain bâtiment à construire
{SMT_RECRUITMENT_ADVICE}					Demander l’avis du conseiller quant aux prochaines unités à recruter
{SMT_DAMAGE}							Dégâts
{SMT_INVALID_RALLY_POINT_POSITION}				Position invalide pour un point de ralliement
{SMT_CANNOT_PERFORM_MISSIONS_WITH_MULTIPLE_CHARACTERS}	Impossible d’effectuer une mission si plusieurs personnages sont sélectionnés
{SMT_OPEN_MERCENARY_RECRUITMENT}				Ouvrir le tableau de recrutement de mercenaires pour cette armée
{SMT_AVAILABLE_MERCENARIES}					Unités mercenaires disponibles
{SMT_HIRE_ALL_QUEUED_UNITS}					Engager toutes les unités de la file
{SMT_NO_ROOM_FOR_MERCENARIES}					Impossible d’engager d’autres mercenaires : il n’y a plus de place dans cette armée
{SMT_NO_MERCENARIES_AVAILABLE}					Il n’y a actuellement aucun mercenaire disponible dans cette région
{SMT_CANNOT_AFFORD_THIS_MERCENARY}				Vous n’avez pas les moyens d’engager ce mercenaire
{SMT_ONLY_FAMILY_CAN_RECRUIT_MERCENARIES}			Seuls les membres de la famille peuvent recruter des mercenaires
{SMT_ASSISTANCE_REQUESTED}					Demande d’aide
{SMT_WHICH_ALLY}						Armée alliée
{SMT_WHICH_ARMY_REQUESTED}					Aide demandée à
{SMT_ACCEPT_ASSISTANCE_REQUEST}				Votre allié vous a demandé de l’aider au combat. Si vous accédez à sa requête, votre armée ira lui prêter main-forte sur le champ de bataille. Voulez-vous accéder à cette requête ?
{SMT_ATTACKING_THIS_SETTLEMENT_WILL_BREAK_ALLIANCE}		Vous êtes actuellement allié à la faction possédant cette communauté. Si vous attaquez maintenant, votre alliance sera rompue et la guerre sera déclarée. Etes-vous sûr de vouloir continuer ?
{SMT_ATTACKING_THIS_FORT_WILL_BREAK_ALLIANCE}			Vous êtes actuellement allié à la faction possédant ce fort. Si vous attaquez maintenant, votre alliance sera rompue et la guerre sera déclarée. Etes-vous sûr de vouloir continuer ?
{SMT_ATTACKING_THIS_PORT_WILL_BREAK_ALLIANCE}			Vous êtes actuellement allié à la faction possédant ce port. Si vous attaquez maintenant, votre alliance sera rompue et la guerre sera déclarée. Etes-vous sûr de vouloir continuer ?
{SMT_ATTACKING_THIS_ARMY_WILL_BREAK_ALLIANCE}			Vous êtes actuellement allié à la faction contrôlant cette armée. Si vous attaquez maintenant, votre alliance sera rompue et la guerre sera déclarée. Etes-vous sûr de vouloir continuer ?
{SMT_ATTACKING_THIS_NAVY_WILL_BREAK_ALLIANCE}			Vous êtes actuellement allié à la faction contrôlant cette flottille. Si vous attaquez maintenant, votre alliance sera rompue et la guerre sera déclarée. Etes-vous sûr de vouloir continuer ?
{SMT_CANNOT_ATTACK_ALLY}					Vous ne pouvez pas encore attaquer Rome : le peuple ne vous soutient pas suffisamment pour prendre le pouvoir. 
{SMT_CONFIRM_ATTACK_ON_ALLY}					Attaquer un allié ?
{SMT_YOUR_FORCES}						Vos forces
{SMT_ENEMY_FORCES}						Forces ennemies
{SMT_AI_REINFORCEMENT}						Cette armée sera contrôlée par l’IA
{SMT_REINFORCEMENTS}						Renforts :
{SMT_BATTLE_DEPLOYMENT}					Déploiement
{SMT_YOUR_ARMY_SALLIES_FORTH}					Vous montez à l’assaut de l’ennemi
{SMT_ENEMY_SALLIES_FORTH}					Votre ennemi monte à l’assaut
{SMT_RIGHT_CLICK_FOR_CHARACTER_INFO}				Faire un clic droit sur le portrait pour afficher toutes les infos concernant le personnage et son armée
{SMT_FIELD_CONSTRUCTION}					Construction sur le champ de bataille
{SMT_PROVINCE}							Province :
{SMT_WATCHTOWER_DESCRIPTION}					Les tours de guet augmentent votre champ de vision des terres ennemies
{SMT_FORT_DESCRIPTION}						Les forts fournissent une défense temporaire aux armées en déplacement. Ils servent également à défendre un emplacement stratégique
{SMT_CANNOT_TRANSFER_GENERALS_UNIT}				Cette unité est le garde du corps du général ; vous ne pouvez pas la transférer
{SMT_FAMOUS_BATTLE_SITE}					Site d’une bataille célèbre
{SMT_BATTLE_YEAR}						Année
{SMT_VICTOR}							Vainqueur
{SMT_LOSER}							Perdant
{SMT_GAMES_FREQUENCY_YEARLY}					Jeux annuels
{SMT_GAMES_FREQUENCY_MONTHLY}				Jeux mensuels
{SMT_GAMES_FREQUENCY_DAILY}					Jeux quotidiens
{SMT_RACES_FREQUENCY_YEARLY}					Courses annuelles
{SMT_RACES_FREQUENCY_MONTHLY}					Courses mensuelles
{SMT_RACES_FREQUENCY_DAILY}					Courses quotidiennes
{SMT_GAMES_AND_RACES_FREQUENCY_YEARLY}			Courses et Jeux annuels
{SMT_GAMES_AND_RACES_FREQUENCY_MONTHLY}			Courses et Jeux mensuels
{SMT_GAMES_AND_RACES_FREQUENCY_DAILY}				Courses et Jeux quotidiens
{SMT_SHOW_SETTLEMENT_STATS}					Afficher les infos sur la communauté
{SMT_AUTOMANAGE}						Autogestion
{SMT_SETTLEMENT_STATISTICS}					Infos sur communauté
{SMT_PUBLIC_ORDER}						Ordre public
{SMT_POPULATION_GROWTH}					Croissance démographique
{SMT_SET_POLICIES}						Définir politiques
{SMT_POPULATION_REQUIRED}					Population requise pour faire évoluer la communauté :
{SMT_CONSTRUCTION_TIME}					Temps de construction
{SMT_CONSTRUCTION_COST}					Coût de construction
{SMT_ANCILLARIES}						Personnages secondaires
{SMT_TRAITS}							Traits de caractère
{SMT_RECRUITMENT_OPTIONS}					Options de recrutement
{SMT_MEN_IN_GARRISON}						Troupes en garnison
{SMT_MEN_IN_ARMY}						Troupes dans l’armée
{SMT_SELECTED_MERCENARIES}					Mercenaires sélectionnés
{SMT_SHOW_FACTION_RANKINGS}					Afficher le classement des factions
{SMT_FACTION_RANKINGS}						Classement des factions
{SMT_RANKING_SCORE}						Classement général
{SMT_RANKING_MILITARY}						Classement militaire
{SMT_RANKING_PRODUCTION}					Classement selon la production
{SMT_RANKING_REGIONS}						Classement territorial
{SMT_RANKING_FINANCIAL}						Classement financier
{SMT_RANKING_POPULATION}					Classement démographique
{SMT_FACTION_FILTER}						Filtre de factions
{SMT_OWN_FACTION}						Votre faction
{SMT_ALL_FACTIONS}						Toutes factions
{SMT_TOP_5_FACTIONS}						5 meilleures factions
{SMT_CUSTOM_SELECTION}					Sélection personnalisée
{SMT_FILTER_NEIGHBOURS}						Factions voisines
{SMT_TURNS}							Tours
{SMT_VICTORY}							VICTOIRE !
{SMT_DEFEAT}							DEFAITE !
{SMT_VICTORY_BODY}						Vous avez remporté la partie ! Votre peuple célèbre votre victoire ! Voulez-vous continuer pour acquérir plus de gloire encore ?
{SMT_DEFEAT_BODY}						Vous n’êtes pas parvenu à atteindre vos objectifs de victoire. Voulez-vous quand même continuer la partie ?
{SMT_DEFEAT_GAME_OVER}					Votre faction a été anéantie. D’autres écriront l’histoire et s'arrogeront vos exploits ! Vous ferez mieux la prochaine fois !
{SMT_CONTINUE_CAMPAIGN}					Continuer à jouer ?
{SMT_EXIT_CAMPAIGN}						Retourner au menu principal
{SMT_CAPTURED_SETTLEMENT}					Communauté capturée 
{SMT_DENARI_GAINED_FROM_LOOTING}				Deniers obtenus par le pillage
{SMT_POPULATION_GAINED_FROM_ENSLAVE}				Population à répartir parmi les communautés gouvernées
{SMT_POPULATION_KILLED}						Population à massacrer
{SMT_LOOT_SETTLEMENT}						Occuper la communauté
{SMT_ENSLAVE_POPULACE}						Asservir la population
{SMT_EXTERMINATE}						Exterminer la population
{SMT_SETTLEMENT_LOOT_BODY_STRING}				Cette communauté est tombée devant la puissance de votre armée. La victoire est à vous, et avec elle le sort de cette communauté !
{SMT_BUILDINGS_NEEDING_REPAIR}					Bâtiments ayant besoin d’être réparés
{SMT_SHOW_NEW_BUILDINGS}					Afficher les bâtiments que vous pouvez construire
{SMT_SHOW_REPAIRABLE_BUILDINGS}				Afficher les bâtiments ayant besoin d’être réparés
{SMT_REPAIR_TIME}						Temps de réparation
{SMT_REPAIR_COST}						Coût de réparation
{SMT_BUILD_POINTS}						Points de construction :
{SMT_ALWAYS_SHOW_ADVANCED_STATS}				Toujours afficher les infos sur la communauté
{SMT_ADVANCED_STATS}						Infos sur communauté
{SMT_SHOW_TECH_TREE}						Afficher la liste des bâtiments
{SMT_BUILDING_BROWSER}						Liste des bâtiments
{SMT_STATE_ICON_FARMING_LEVEL}					Niveau agricole
{SMT_STATE_ICON_FARMS_BUILT}					Fermes construites
{SMT_STATE_ICON_FOOD_IMPORTS}					Importations de nourriture
{SMT_STATE_ICON_HEALTH}					Santé
{SMT_STATE_ICON_BUILDINGS}					Bâtiments
{SMT_STATE_ICON_TAX_RATE_BONUS}				Bonus de taux d’imposition
{SMT_STATE_ICON_UNIT_DISBANDS}					L'unité se disperse
{SMT_STATE_ICON_SLAVERY}					Esclavage
{SMT_STATE_ICON_SQUALOUR}					Insalubrité
{SMT_STATE_ICON_DISASTERS}					Désastres
{SMT_STATE_ICON_UNIT_RECRUITS}					Population recrutée
{SMT_STATE_ICON_TAX_RATE_PENALTY}				Pénalité de taux d’imposition
{SMT_STATE_ICON_GARRISON}					Garnison
{SMT_STATE_ICON_BUILDINGS_LAW}					Bâtiments de la loi et de l’ordre public
{SMT_STATE_ICON_BUILDINGS_FUN}					Bâtiments des loisirs et distractions
{SMT_STATE_ICON_GOVERNORS_INFLUENCE}				Influence du gouverneur
{SMT_STATE_ICON_TAX_BONUS}					Bonus d’impôts
{SMT_STATE_ICON_TRIUMPH}					Triomphe
{SMT_STATE_ICON_WONDER}					Merveille
{SMT_STATE_ICON_BOOM}						Essor démographique
{SMT_STATE_ICON_DISTANCE_TO_CAPITAL}				Distance de la capitale
{SMT_STATE_ICON_CULTURE_PENALTY}				Pénalité de culture
{SMT_STATE_ICON_NO_GOVERNANCE}				Aucun gouverneur
{SMT_STATE_ICON_TAX_PENALTY}					Pénalité d’impôts
{SMT_STATE_ICON_TURMOIL}					Agitation
{SMT_STATE_ICON_UNDERPOPULATION}				Sous-peuplement
{SMT_STATE_ICON_BESIEGED}					Assiégé
{SMT_STATE_ICON_BLOCKADED}					Blocus
{SMT_STATE_ICON_RECESSION}					Récession
{SMT_STATE_ICON_ENTERTAINED}					Festivités
{SMT_STATE_ICON_FARMS}						Fermes
{SMT_STATE_ICON_TAXES}						Impôts
{SMT_STATE_ICON_RESOURCES}					Ressources
{SMT_STATE_ICON_TRADE}						Commerce
{SMT_STATE_ICON_DIPLOMATIC_INCOME}				Revenu diplomatique
{SMT_STATE_ICON_DEMOLITION}					Démolition
{SMT_STATE_ICON_LOOTING}					Pillage
{SMT_STATE_ICON_ADMIN}						Admin
{SMT_STATE_ICON_WAGES}					Solde
{SMT_STATE_ICON_UPKEEP}					Frais d’entretien
