¬Strings that use a base enumeration and add to it with a faction index to attain the proper string
¬ alemanni, empire_east, empire_west, empire_east_rebels, empire_west_rebels, franks, huns, sarmatians, sassanids, saxons, vandals, goths, 
¬ white_huns, ostrogoths, romano_british, slavs, celts, slave

¬ Faction Names
{ROMANS_JULII}					Los Julios
{EMT_FRANKS_TOWN}			Pueblo franco
{EMT_FRANKS_LARGE_TOWN}		Pueblo grande franco
{EMT_FRANKS_CITY}			Ciudad franca
{EMT_FRANKS_LARGE_CITY}		Urbe franca
{EMT_FRANKS_HUGE_CITY}		Metrópolis franca
{EMT_HUNS_VILLAGE}		Aldea huna
{EMT_HUNS_TOWN}			Pueblo huno
{EMT_HUNS_LARGE_TOWN}		Pueblo grande huno
{EMT_HUNS_CITY}			Ciudad huna
{EMT_HUNS_LARGE_CITY}		Urbe huna
{EMT_HUNS_HUGE_CITY}		Metrópolis huna
{EMT_SARMATIANS_VILLAGE}			Aldea sármata
{EMT_SARMATIANS_TOWN}				Pueblo sármata
{EMT_SARMATIANS_LARGE_TOWN}			Pueblo grande sármata
{EMT_SARMATIANS_CITY}				Ciudad sármata
{EMT_SARMATIANS_LARGE_CITY}			Urbe sármata
{EMT_SARMATIANS_HUGE_CITY}			Metrópolis sármata
{EMT_SASSANIDS_VILLAGE}			Aldea sasánida
{EMT_SASSANIDS_TOWN}			Pueblo sasánida
{EMT_SASSANIDS_LARGE_TOWN}		Pueblo grande sasánida
{EMT_SASSANIDS_CITY}			Ciudad sasánida
{EMT_SASSANIDS_LARGE_CITY}		Urbe sasánida
{EMT_SASSANIDS_HUGE_CITY}		Metrópolis sasánida
{EMT_SAXONS_VILLAGE}			Aldea sajona
{EMT_SAXONS_TOWN}				Pueblo sajón
{EMT_SAXONS_LARGE_TOWN}			Pueblo grande sajón
{EMT_SAXONS_CITY}				Ciudad sajona
{EMT_SAXONS_LARGE_CITY}			Urbe sajona
{EMT_SAXONS_HUGE_CITY}			Metrópolis sajona
{EMT_VANDALS_VILLAGE}			Aldea vándala
{EMT_VANDALS_TOWN}				Pueblo vándalo
{EMT_VANDALS_LARGE_TOWN}		Pueblo grande vándalo
{EMT_VANDALS_CITY}				Ciudad vándala
{EMT_VANDALS_LARGE_CITY}		Urbe vándala
{EMT_VANDALS_HUGE_CITY}			Metrópolis vándala
{EMT_GOTHS_VILLAGE}			Aldea goda
{EMT_GOTHS_TOWN}			Pueblo godo
{EMT_GOTHS_LARGE_TOWN}		Pueblo grande godo
{EMT_GOTHS_CITY}			Ciudad goda
{EMT_GOTHS_LARGE_CITY}		Urbe goda
{EMT_GOTHS_HUGE_CITY}		Metrópolis goda
{EMT_WHITE_HUNS_VILLAGE}		Aldea huna (blanca)
{EMT_WHITE_HUNS_TOWN}			Pueblo huno (blanco)
{EMT_WHITE_HUNS_LARGE_TOWN}		Pueblo grande huno (blanco)
{EMT_WHITE_HUNS_CITY}			Ciudad huna (blanca)
{EMT_WHITE_HUNS_LARGE_CITY}		Urbe huna (blanca)
{EMT_WHITE_HUNS_HUGE_CITY}		Metrópolis huna (blanca)
{EMT_OSTROGOTHS_VILLAGE}			Aldea ostrogoda
{EMT_OSTROGOTHS_TOWN}				Pueblo ostrogodo
{EMT_OSTROGOTHS_LARGE_TOWN}			Pueblo grande ostrogodo
{EMT_OSTROGOTHS_CITY}				Ciudad ostrogoda
{EMT_OSTROGOTHS_LARGE_CITY}			Urbe ostrogoda
{EMT_OSTROGOTHS_HUGE_CITY}			Metrópolis ostrogoda
{EMT_ROMANO_BRITISH_VILLAGE}			Aldea britanorromana
{EMT_ROMANO_BRITISH_TOWN}				Pueblo britanorromano
{EMT_ROMANO_BRITISH_LARGE_TOWN}			Pueblo grande britanorromano
{EMT_ROMANO_BRITISH_CITY}				Ciudad britanorromana
{EMT_ROMANO_BRITISH_LARGE_CITY}			Urbe britanorromana
{EMT_ROMANO_BRITISH_HUGE_CITY}			Metrópolis britanorromana
{EMT_SLAVS_VILLAGE}			Aldea eslava
{EMT_SLAVS_TOWN}			Pueblo eslavo
{EMT_SLAVS_LARGE_TOWN}		Pueblo grande eslavo
{EMT_SLAVS_CITY}			Ciudad eslava
{EMT_SLAVS_LARGE_CITY}		Urbe eslava
{EMT_SLAVS_HUGE_CITY}		Metrópolis eslava
{EMT_CELTS_VILLAGE}			Aldea celta
{EMT_CELTS_TOWN}			Pueblo celta
{EMT_CELTS_LARGE_TOWN}		Pueblo grande celta
{EMT_CELTS_CITY}			Ciudad celta
{EMT_CELTS_LARGE_CITY}		Urbe celta
{EMT_CELTS_HUGE_CITY}		Metrópolis celta

{EMT_BERBERS_VILLAGE}			Aldea bereber
{EMT_BERBERS_TOWN}			Pueblo bereber
{EMT_BERBERS_LARGE_TOWN}		Pueblo grande bereber
{EMT_BERBERS_CITY}			Ciudad bereber
{EMT_BERBERS_LARGE_CITY}		Urbe bereber
{EMT_BERBERS_HUGE_CITY}		Metrópolis bereber

{EMT_MOORS_VILLAGE}			Aldea sarracena
{EMT_MOORS_TOWN}			Pueblo sarraceno
{EMT_MOORS_LARGE_TOWN}		Pueblo grande sarraceno
{EMT_MOORS_CITY}			Ciudad sarracena
{EMT_MOORS_LARGE_CITY}		Urbe sarracena
{EMT_MOORS_HUGE_CITY}		Metrópolis sarracena

{EMT_ROMANS_JULII_CAPITAL}					Capital romana (Julios)
{EMT_ROMANS_BRUTII_CAPITAL}					Capital romana (Brutos)
{EMT_ROMANS_SCIPII_CAPITAL}					Capital romana (Escipiones)
{EMT_ROMANS_SENATE_CAPITAL}					Capital romana (Senado)
{EMT_MACEDON_CAPITAL}					Capital macedonia
{EMT_EGYPT_CAPITAL}					Capital egipcia
{EMT_SELEUCID_CAPITAL}					Capital seléucida
{EMT_CARTHAGE_CAPITAL}					Capital cartaginesa
{EMT_PARTHIA_CAPITAL}					Capital parta
{EMT_PONTUS_CAPITAL}					Capital póntica
{EMT_GAULS_CAPITAL}					Capital gala
{EMT_GERMANS_CAPITAL}					Capital germana
{EMT_BRITONS_CAPITAL}					Capital britana
{EMT_ARMENIA_CAPITAL}					Capital armenia
{EMT_DACIA_CAPITAL}					Capital dacia
{EMT_GREEK_CITIES_CAPITAL}					Capital griega
{EMT_NUMIDIA_CAPITAL}					Capital númida
{EMT_SCYTHIA_CAPITAL}					Capital escita
{EMT_SPAIN_CAPITAL}					Capital hispana
{EMT_THRACE_CAPITAL}					Capital tracia
{EMT_ALEMANNI_CAPITAL}		Capital alamana
{EMT_EMPIRE_EAST_CAPITAL}		Capital romana (imperio de oriente)
{EMT_EMPIRE_WEST_CAPITAL}		Capital romana (imperio de occidente)
{EMT_EMPIRE_EAST_REBELS_CAPITAL}		Capital romana (rebeldes del imperio de oriente)
{EMT_EMPIRE_WEST_REBELS_CAPITAL}		Capital romana (rebeldes del imperio de occidente)
{EMT_FRANKS_CAPITAL}		Capital franca
{EMT_HUNS_CAPITAL}		Capital huna
{EMT_SARMATIANS_CAPITAL}			Capital sármata
{EMT_SASSANIDS_CAPITAL}			Capital sasánida
{EMT_SAXONS_CAPITAL}			Capital sajona
{EMT_VANDALS_CAPITAL}			Capital vándala
{EMT_GOTHS_CAPITAL}			Capital goda
{EMT_WHITE_HUNS_CAPITAL}		Capital huna (blanca)
{EMT_OSTROGOTHS_CAPITAL}			Capital ostrogoda
{EMT_ROMANO_BRITISH_CAPITAL}			Capital britanorromana
{EMT_SLAVS_CAPITAL}			Capital eslava
{EMT_SLAVE_CAPITAL}					Capital rebelde
{EMT_CELTS_CAPITAL}				Capital celta
{EMT_BERBERS_CAPITAL}				Capital bereber
{EMT_MOORS_CAPITAL}				Capital sarracena



{EMT_ROMANS_JULII_FORT}					Fuerte romano (Julios)
{EMT_ROMANS_BRUTII_FORT}					Fuerte romano (Brutos)
{EMT_ROMANS_SCIPII_FORT}					Fuerte romano (Escipiones)
{EMT_ROMANS_SENATE_FORT}					Fuerte romano (Senado)
{EMT_MACEDON_FORT}					Fuerte macedonio
{EMT_EGYPT_FORT}					Fuerte egipcio
{EMT_SELEUCID_FORT}					Fuerte seléucida
{EMT_CARTHAGE_FORT}					Fuerte cartaginés
{EMT_PARTHIA_FORT}					Fuerte parto
{EMT_PONTUS_FORT}					Fuerte póntico
{EMT_GAULS_FORT}					Fuerte galo
{EMT_GERMANS_FORT}					Fuerte germano
{EMT_BRITONS_FORT}					Fuerte britano
{EMT_ARMENIA_FORT}					Fuerte armenio
{EMT_DACIA_FORT}					Fuerte dacio
{EMT_GREEK_CITIES_FORT}					Fuerte griego
{EMT_NUMIDIA_FORT}					Fuerte númida
{EMT_SCYTHIA_FORT}					Fuerte escita
{EMT_SPAIN_FORT}					Fuerte hispano
{EMT_THRACE_FORT}					Fuerte tracio
{EMT_ALEMANNI_FORT}			Fuerte alamán
{EMT_EMPIRE_EAST_FORT}			Fuerte romano (imperio de oriente)
{EMT_EMPIRE_WEST_FORT}			Fuerte romano (imperio de occidente)
{EMT_EMPIRE_EAST_REBELS_FORT}			Fuerte romano (rebeldes del imperio de oriente)
{EMT_EMPIRE_WEST_REBELS_FORT}			Fuerte romano (rebeldes del imperio de occidente)
{EMT_FRANKS_FORT}			Fuerte franco
{EMT_HUNS_FORT}			Fuerte huno
{EMT_SARMATIANS_FORT}				Fuerte sármata
{EMT_SASSANIDS_FORT}			Fuerte sasánida
{EMT_SAXONS_FORT}				Fuerte sajón
{EMT_VANDALS_FORT}				Fuerte vándalo
{EMT_GOTHS_FORT}			Fuerte godo
{EMT_WHITE_HUNS_FORT}			Fuerte huno (blanco)
{EMT_OSTROGOTHS_FORT}				Fuerte ostrogodo
{EMT_ROMANO_BRITISH_FORT}				Fuerte britanorromano
{EMT_SLAVS_FORT}			Fuerte eslavo
{EMT_SLAVE_FORT}					Fuerte rebelde
{EMT_CELTS_FORT}			Fuerte celta
{EMT_BERBERS_FORT}		Fuerte bereber
{EMT_MOORS_FORT}			Fuerte sarraceno

{EMT_ROMANS_JULII_PORT}					Puerto romano (Julios)
{EMT_ROMANS_BRUTII_PORT}					Puerto romano (Brutos)
{EMT_ROMANS_SCIPII_PORT}					Puerto romano (Escipiones)
{EMT_ROMANS_SENATE_PORT}					Puerto romano (Senado)
{EMT_MACEDON_PORT}					Puerto macedonio
{EMT_EGYPT_PORT}					Puerto egipcio
{EMT_SELEUCID_PORT}					Puerto seléucida
{EMT_CARTHAGE_PORT}					Puerto cartaginés
{EMT_PARTHIA_PORT}					Puerto parto
{EMT_PONTUS_PORT}					Puerto póntico
{EMT_GAULS_PORT}					Puerto galo
{EMT_GERMANS_PORT}					Puerto germano
{EMT_BRITONS_PORT}					Puerto britano
{EMT_ARMENIA_PORT}					Puerto armenio
{EMT_DACIA_PORT}					Puerto dacio
{EMT_GREEK_CITIES_PORT}					Puerto griego
{EMT_NUMIDIA_PORT}					Puerto númida
{EMT_SCYTHIA_PORT}					Puerto escita
{EMT_SPAIN_PORT}					Puerto hispano
{EMT_THRACE_PORT}					Puerto tracio
{EMT_ALEMANNI_PORT}			Puerto alamán
{EMT_EMPIRE_EAST_PORT}			Puerto romano (imperio de oriente)
{EMT_EMPIRE_WEST_PORT}			Puerto romano (imperio de occidente)
{EMT_EMPIRE_EAST_REBELS_PORT}			Puerto romano (rebeldes del imperio de oriente)
{EMT_EMPIRE_WEST_REBELS_PORT}			Puerto romano (rebeldes del imperio de occidente)
{EMT_FRANKS_PORT}			Puerto franco
{EMT_HUNS_PORT}			Puerto huno
{EMT_SARMATIANS_PORT}				Puerto sármata
{EMT_SASSANIDS_PORT}			Puerto sasánida
{EMT_SAXONS_PORT}				Puerto sajón
{EMT_VANDALS_PORT}				Puerto vándalo
{EMT_GOTHS_PORT}			Puerto godo
{EMT_WHITE_HUNS_PORT}			Puerto huno (blanco)
{EMT_OSTROGOTHS_PORT}				Puerto ostrogodo
{EMT_ROMANO_BRITISH_PORT}				Puerto britanorromano
{EMT_SLAVS_PORT}			Puerto eslavo
{EMT_SLAVE_PORT}					Puerto rebelde
{EMT_CELTS_PORT}			Puerto celta
{EMT_BERBERS_PORT}		Puerto bereber
{EMT_MOORS_PORT}			Puerto sarraceno

{EMT_ROMANS_JULII_DOCK}					Muelles romanos (Julios)
{EMT_ROMANS_BRUTII_DOCK}					Muelles romanos (Brutos)
{EMT_ROMANS_SCIPII_DOCK}					Muelles romanos (Escipiones)
{EMT_ROMANS_SENATE_DOCK}					Muelles romanos (Senado)
{EMT_MACEDON_DOCK}					Muelles macedonios
{EMT_EGYPT_DOCK}					Muelles egipcios
{EMT_SELEUCID_DOCK}					Muelles seléucidas
{EMT_CARTHAGE_DOCK}					Muelles cartagineses
{EMT_PARTHIA_DOCK}					Muelles partos
{EMT_PONTUS_DOCK}					Muelles pónticos
{EMT_GAULS_DOCK}					Muelles galos
{EMT_GERMANS_DOCK}					Muelles germanos
{EMT_BRITONS_DOCK}					Muelles britanos
{EMT_ARMENIA_DOCK}					Muelles armenios
{EMT_DACIA_DOCK}					Muelles dacios
{EMT_GREEK_CITIES_DOCK}					Muelles griegos
{EMT_NUMIDIA_DOCK}					Muelles númidas
{EMT_SCYTHIA_DOCK}					Muelles escitas
{EMT_SPAIN_DOCK}					Muelles hispanos
{EMT_THRACE_DOCK}					Muelles tracios
{EMT_ALEMANNI_DOCK}				Muelles alamanes
{EMT_EMPIRE_EAST_DOCK}				Muelles romanos (imperio de oriente)
{EMT_EMPIRE_WEST_DOCK}				Muelles romanos (imperio de occidente)
{EMT_EMPIRE_EAST_REBELS_DOCK}				Muelles romanos (rebeldes del imperio de oriente)
{EMT_EMPIRE_WEST_REBELS_DOCK}				Muelles romanos (rebeldes del imperio de occidente)
{EMT_FRANKS_DOCK}					Muelles francos
{EMT_HUNS_DOCK}				Muelles hunos
{EMT_SARMATIANS_DOCK}				Muelles sármatas
{EMT_SASSANIDS_DOCK}				Muelles sasánidas
{EMT_SAXONS_DOCK}					Muelles sajones
{EMT_VANDALS_DOCK}					Muelles vándalos
{EMT_GOTHS_DOCK}				Muelles godos
{EMT_WHITE_HUNS_DOCK}				Muelles hunos (blancos)
{EMT_OSTROGOTHS_DOCK}				Muelles ostrogodos
{EMT_ROMANO_BRITISH_DOCK}			Muelles britanorromanos
{EMT_SLAVS_DOCK}					Muelles eslavos
{EMT_SLAVE_DOCK}					Muelles rebeldes
{EMT_CELTS_DOCK}					Muelles celtas
{EMT_BERBERS_DOCK}		Muelles bereberes
{EMT_MOORS_DOCK}			Muelles sarracenos


{EMT_ROMANS_JULII_FISHING_VILLAGE}					Aldea pesquera romana (Julios)
{EMT_ROMANS_BRUTII_FISHING_VILLAGE}					Aldea pesquera romana (Brutos)
{EMT_ROMANS_SCIPII_FISHING_VILLAGE}					Aldea pesquera romana (Escipiones)
{EMT_ROMANS_SENATE_FISHING_VILLAGE}					Aldea pesquera romana (Senado)
{EMT_MACEDON_FISHING_VILLAGE}					Aldea pesquera macedonia
{EMT_EGYPT_FISHING_VILLAGE}					Aldea pesquera egipcia
{EMT_SELEUCID_FISHING_VILLAGE}					Aldea pesquera seléucida
{EMT_CARTHAGE_FISHING_VILLAGE}					Aldea pesquera cartaginesa
{EMT_PARTHIA_FISHING_VILLAGE}					Aldea pesquera parta
{EMT_PONTUS_FISHING_VILLAGE}					Aldea pesquera póntica
{EMT_GAULS_FISHING_VILLAGE}					Aldea pesquera gala
{EMT_GERMANS_FISHING_VILLAGE}					Aldea pesquera germana
{EMT_BRITONS_FISHING_VILLAGE}					Aldea pesquera britana
{EMT_ARMENIA_FISHING_VILLAGE}					Aldea pesquera armenia
{EMT_DACIA_FISHING_VILLAGE}					Aldea pesquera dacia
{EMT_GREEK_CITIES_FISHING_VILLAGE}					Aldea pesquera griega
{EMT_NUMIDIA_FISHING_VILLAGE}					Aldea pesquera númida
{EMT_SCYTHIA_FISHING_VILLAGE}					Aldea pesquera escita
{EMT_SPAIN_FISHING_VILLAGE}					Aldea pesquera hispana
{EMT_THRACE_FISHING_VILLAGE}					Aldea pesquera tracia
{EMT_ALEMANNI_FISHING_VILLAGE}	Aldea pesquera alamana 
{EMT_EMPIRE_EAST_FISHING_VILLAGE}	Aldea pesquera romana (imperio de oriente)
{EMT_EMPIRE_WEST_FISHING_VILLAGE}	Aldea pesquera romana (imperio de occidente)
{EMT_EMPIRE_EAST_REBELS_FISHING_VILLAGE}	Aldea pesquera romana (rebeldes del imperio de oriente)
{EMT_EMPIRE_WEST_REBELS_FISHING_VILLAGE}	Aldea pesquera romana (rebeldes del imperio de occidente)
{EMT_FRANKS_FISHING_VILLAGE}	Aldea pesquera franca
{EMT_HUNS_FISHING_VILLAGE}	Aldea pesquera huna
{EMT_SARMATIANS_FISHING_VILLAGE}	Aldea pesquera sármata
{EMT_SASSANIDS_FISHING_VILLAGE}	Aldea pesquera sasánida
{EMT_SAXONS_FISHING_VILLAGE}	Aldea pesquera sajona
{EMT_VANDALS_FISHING_VILLAGE}	Aldea pesquera vándala
{EMT_GOTHS_FISHING_VILLAGE}	Aldea pesquera goda
{EMT_WHITE_HUNS_FISHING_VILLAGE}	Aldea pesquera huna (blanca)
{EMT_OSTROGOTHS_FISHING_VILLAGE}	Aldea pesquera ostrogoda
{EMT_ROMANO_BRITISH_FISHING_VILLAGE}	Aldea pesquera britanorromana
{EMT_SLAVS_FISHING_VILLAGE}			Aldea pesquera eslava
{EMT_SLAVE_FISHING_VILLAGE}					Aldea pesquera rebelde
{EMT_CELTS_FISHING_VILLAGE}			Aldea pesquera celta
{EMT_BERBERS_FISHING_VILLAGE}					Aldea pesquera bereber
{EMT_MOORS_FISHING_VILLAGE}			Aldea pesquera sarracena

{EMT_ROMANS_JULII_WATCHTOWER}					Atalaya romana (Julios)
{EMT_ROMANS_BRUTII_WATCHTOWER}					Atalaya romana (Brutos)
{EMT_ROMANS_SCIPII_WATCHTOWER}					Atalaya romana (Escipiones)
{EMT_ROMANS_SENATE_WATCHTOWER}					Atalaya romana (Senado)
{EMT_MACEDON_WATCHTOWER}					Atalaya macedonia
{EMT_EGYPT_WATCHTOWER}					Atalaya egipcia
{EMT_SELEUCID_WATCHTOWER}					Atalaya seléucida
{EMT_CARTHAGE_WATCHTOWER}					Atalaya cartaginesa
{EMT_PARTHIA_WATCHTOWER}					Atalaya parta
{EMT_PONTUS_WATCHTOWER}					Atalaya póntica
{EMT_GAULS_WATCHTOWER}					Atalaya gala
{EMT_GERMANS_WATCHTOWER}					Atalaya germana
{EMT_BRITONS_WATCHTOWER}					Atalaya britana
{EMT_ARMENIA_WATCHTOWER}					Atalaya armenia
{EMT_DACIA_WATCHTOWER}					Atalaya dacia
{EMT_GREEK_CITIES_WATCHTOWER}					Atalaya griega
{EMT_NUMIDIA_WATCHTOWER}					Atalaya númida
{EMT_SCYTHIA_WATCHTOWER}					Atalaya escita
{EMT_SPAIN_WATCHTOWER}					Atalaya hispana
{EMT_THRACE_WATCHTOWER}					Atalaya tracia
{EMT_ALEMANNI_WATCHTOWER}	Atalaya alamana
{EMT_EMPIRE_EAST_WATCHTOWER}	Atalaya romana (imperio de oriente)
{EMT_EMPIRE_WEST_WATCHTOWER}	Atalaya romana (imperio de occidente)
{EMT_EMPIRE_EAST_REBELS_WATCHTOWER}	Atalaya romana (rebeldes del imperio de oriente)
{EMT_EMPIRE_WEST_REBELS_WATCHTOWER}	Atalaya romana (rebeldes del imperio de occidente)
{EMT_FRANKS_WATCHTOWER}		Atalaya franca
{EMT_HUNS_WATCHTOWER}		Atalaya huna
{EMT_SARMATIANS_WATCHTOWER}			Atalaya sármata
{EMT_SASSANIDS_WATCHTOWER}		Atalaya sasánida
{EMT_SAXONS_WATCHTOWER}			Atalaya sajona
{EMT_VANDALS_WATCHTOWER}		Atalaya vándala
{EMT_GOTHS_WATCHTOWER}		Atalaya goda
{EMT_WHITE_HUNS_WATCHTOWER}	Atalaya huna (blanca)
{EMT_OSTROGOTHS_WATCHTOWER}			Atalaya ostrogoda
{EMT_ROMANO_BRITISH_WATCHTOWER}			Atalaya britanorromana
{EMT_SLAVS_WATCHTOWER}		Atalaya eslava
{EMT_SLAVE_WATCHTOWER}					Atalaya rebelde
{EMT_CELTS_WATCHTOWER}				Atalaya celta
{EMT_BERBERS_WATCHTOWER}			Atalaya bereber
{EMT_MOORS_WATCHTOWER}				Atalaya sarracena


{EMT_ROMANS_JULII_FACTION_LEADER}					Líder de la facción romana (Julios)
{EMT_ROMANS_BRUTII_FACTION_LEADER}					Líder de la facción romana (Brutos)
{EMT_ROMANS_SCIPII_FACTION_LEADER}					Líder de la facción romana (Escipiones)
{EMT_ROMANS_SENATE_FACTION_LEADER}					Líder de la facción romana (Senado)
{EMT_MACEDON_FACTION_LEADER}					Líder de la facción macedonia
{EMT_EGYPT_FACTION_LEADER}					Líder de la facción egipcia
{EMT_SELEUCID_FACTION_LEADER}					Líder de la facción seléucida
{EMT_CARTHAGE_FACTION_LEADER}					Líder de la facción cartaginesa
{EMT_PARTHIA_FACTION_LEADER}					Líder de la facción parta
{EMT_PONTUS_FACTION_LEADER}					Líder de la facción póntica
{EMT_GAULS_FACTION_LEADER}					Líder de la facción gala
{EMT_GERMANS_FACTION_LEADER}					Líder de la facción germana
{EMT_BRITONS_FACTION_LEADER}					Líder de la facción britana
{EMT_ARMENIA_FACTION_LEADER}					Líder de la facción armenia
{EMT_DACIA_FACTION_LEADER}					Líder de la facción dacia
{EMT_GREEK_CITIES_FACTION_LEADER}					Líder de la facción griega
{EMT_NUMIDIA_FACTION_LEADER}					Líder de la facción númida
{EMT_SCYTHIA_FACTION_LEADER}					Líder de la facción escita
{EMT_SPAIN_FACTION_LEADER}					Líder de la facción hispana
{EMT_THRACE_FACTION_LEADER}					Líder de la facción tracia
{EMT_ALEMANNI_FACTION_LEADER}		Líder de la facción alamana
{EMT_EMPIRE_EAST_FACTION_LEADER}	Líder de la facción romana (imperio de oriente)
{EMT_EMPIRE_WEST_FACTION_LEADER}	Líder de la facción romana (imperio de occidente)
{EMT_EMPIRE_EAST_REBELS_FACTION_LEADER}	Líder de la facción romana (rebeldes del imperio de oriente)
{EMT_EMPIRE_WEST_REBELS_FACTION_LEADER}	Líder de la facción romana (rebeldes del imperio de occidente)
{EMT_FRANKS_FACTION_LEADER}			Líder de la facción franca
{EMT_HUNS_FACTION_LEADER}		Líder de la facción huna
{EMT_SARMATIANS_FACTION_LEADER}		Líder de la facción sármata
{EMT_SASSANIDS_FACTION_LEADER}		Líder de la facción sasánida
{EMT_SAXONS_FACTION_LEADER}			Líder de la facción sajona
{EMT_VANDALS_FACTION_LEADER}		Líder de la facción vándala
{EMT_GOTHS_FACTION_LEADER}		Líder de la facción goda
{EMT_WHITE_HUNS_FACTION_LEADER}		Líder de la facción huna (blanca)
{EMT_OSTROGOTHS_FACTION_LEADER}		Líder de la facción ostrogoda
{EMT_ROMANO_BRITISH_FACTION_LEADER}	Líder de la facción britanorromana
{EMT_SLAVS_FACTION_LEADER}			Líder de la facción eslava
{EMT_SLAVE_FACTION_LEADER}					Líder de la facción rebelde
{EMT_CELTS_FACTION_LEADER}			Líder de la facción celta
{EMT_BERBERS_FACTION_LEADER}			Líder de la facción bereber
{EMT_MOORS_FACTION_LEADER}			Líder de la facción sarracena

{EMT_ROMANS_JULII_FACTION_HEIR}					Heredero de la facción romana (Julios)
{EMT_ROMANS_BRUTII_FACTION_HEIR}					Heredero de la facción romana (Brutos)
{EMT_ROMANS_SCIPII_FACTION_HEIR}					Heredero de la facción romana (Escipiones)
{EMT_ROMANS_SENATE_FACTION_HEIR}					Heredero de la facción romana (Senado)
{EMT_MACEDON_FACTION_HEIR}					Heredero de la facción macedonia
{EMT_EGYPT_FACTION_HEIR}					Heredero de la facción egipcia
{EMT_SELEUCID_FACTION_HEIR}					Heredero de la facción seléucida
{EMT_CARTHAGE_FACTION_HEIR}					Heredero de la facción cartaginesa
{EMT_PARTHIA_FACTION_HEIR}					Heredero de la facción parta
{EMT_PONTUS_FACTION_HEIR}					Heredero de la facción póntica
{EMT_GAULS_FACTION_HEIR}					Heredero de la facción gala
{EMT_GERMANS_FACTION_HEIR}					Heredero de la facción germana
{EMT_BRITONS_FACTION_HEIR}					Heredero de la facción britana
{EMT_ARMENIA_FACTION_HEIR}					Heredero de la facción armenia
{EMT_DACIA_FACTION_HEIR}					Heredero de la facción dacia
{EMT_GREEK_CITIES_FACTION_HEIR}					Heredero de la facción griega
{EMT_NUMIDIA_FACTION_HEIR}					Heredero de la facción númida
{EMT_SCYTHIA_FACTION_HEIR}					Heredero de la facción escita
{EMT_SPAIN_FACTION_HEIR}					Heredero de la facción hispana
{EMT_THRACE_FACTION_HEIR}					Heredero de la facción tracia
{EMT_ALEMANNI_FACTION_HEIR}			Heredero de la facción alamana 
{EMT_EMPIRE_EAST_FACTION_HEIR}		Heredero de la facción romana (imperio de oriente)
{EMT_EMPIRE_WEST_FACTION_HEIR}		Heredero de la facción romana (imperio de occidente)
{EMT_EMPIRE_EAST_REBELS_FACTION_HEIR}		Heredero de la facción romana (rebeldes del imperio de oriente)
{EMT_EMPIRE_WEST_REBELS_FACTION_HEIR}		Heredero de la facción romana (rebeldes del imperio de occidente)
{EMT_FRANKS_FACTION_HEIR}			Heredero de la facción franca
{EMT_HUNS_FACTION_HEIR}		Heredero de la facción huna
{EMT_SARMATIANS_FACTION_HEIR}		Heredero de la facción sármata
{EMT_SASSANIDS_FACTION_HEIR}		Heredero de la facción sasánida
{EMT_SAXONS_FACTION_HEIR}			Heredero de la facción sajona
{EMT_VANDALS_FACTION_HEIR}			Heredero de la facción vándala
{EMT_GOTHS_FACTION_HEIR}		Heredero de la facción goda
{EMT_WHITE_HUNS_FACTION_HEIR}		Heredero de la facción huna (blanca)
{EMT_OSTROGOTHS_FACTION_HEIR}		Heredero de la facción ostrogoda
{EMT_ROMANO_BRITISH_FACTION_HEIR}	Heredero de la facción britanorromana
{EMT_SLAVS_FACTION_HEIR}			Heredero de la facción eslava
{EMT_SLAVE_FACTION_HEIR}					Heredero de la facción rebelde
{EMT_CELTS_FACTION_HEIR}					Heredero de la facción celta
{EMT_BERBERS_FACTION_HEIR}					Heredero de la facción bereber
{EMT_MOORS_FACTION_HEIR}					Heredero de la facción sarracena


{EMT_YOUR_FORCES_ATTACK_ARMY_ROMANS_JULII}					Tus fuerzas atacan a un ejército de la facción de los Julios.
{EMT_YOUR_FORCES_ATTACK_ARMY_ROMANS_BRUTII}					Tus fuerzas atacan a un ejército de la facción de los Brutos.
{EMT_YOUR_FORCES_ATTACK_ARMY_ROMANS_SCIPII}					Tus fuerzas atacan a un ejército de la facción de los Escipiones.
{EMT_YOUR_FORCES_ATTACK_ARMY_ROMANS_SENATE}					Tus fuerzas atacan a un ejército de la facción del Senado.
{EMT_YOUR_FORCES_ATTACK_ARMY_MACEDON}					Tus fuerzas atacan a un ejército de Macedonia.
{EMT_YOUR_FORCES_ATTACK_ARMY_EGYPT}					Tus fuerzas atacan a un ejército de Egipto.
{EMT_YOUR_FORCES_ATTACK_ARMY_SELEUCID}					Tus fuerzas atacan a un ejército del imperio seléucida.
{EMT_YOUR_FORCES_ATTACK_ARMY_CARTHAGE}					Tus fuerzas atacan a un ejército de Cartago.
{EMT_YOUR_FORCES_ATTACK_ARMY_PARTHIA}					Tus fuerzas atacan a un ejército de Partia.
{EMT_YOUR_FORCES_ATTACK_ARMY_PONTUS}					Tus fuerzas atacan a un ejército de Ponto.
{EMT_YOUR_FORCES_ATTACK_ARMY_GAULS}					Tus fuerzas atacan a un ejército de la Galia.
{EMT_YOUR_FORCES_ATTACK_ARMY_GERMANS}					Tus fuerzas atacan a un ejército de Germania.
{EMT_YOUR_FORCES_ATTACK_ARMY_BRITONS}					Tus fuerzas atacan a un ejército de Britania.
