¬ Text file converted with loc_parser
{SMT_CULTURE_ROMAN}				Romano
{SMT_CURRENTLY_TRAINING}					Instruyéndose
{SMT_OPEN_OPTIONS_WINDOW}					Fijar las opciones de juego
{SMT_OPEN_SENATE_WINDOW}					Abrir la pantalla de información del Senado
{SMT_OPEN_FINANCE_WINDOW}					Abrir la ventana de finanzas
{SMT_OPEN_DIPLOMACY_WINDOW}					Abrir la ventana de situación diplomática
{SMT_FACTION_BUTTON_TOOLTIP}					Abrir la ventana de estado de la facción\nUtiliza el botón derecho para localizar la capital de la facción
{SMT_SELECTED_ITEM_TOOLTIP}					Elemento seleccionado\nHaz clic una vez para ampliar el elemento
{SMT_BUILD_QUEUE_CONFLICT}					Este edificio ya está en la cola de construcción de este enclave
{SMT_BUILD_QUEUE_FULL}						No es posible añadir este elemento ya que la cola de construcción está llena
{SMT_BUILD_QUEUE_INSUFFICIENT_FUNDS}				No es posible añadir este edificio ya que no dispones de fondos suficientes
{SMT_TRAINING_INSUFFICIENT_POPULACE}				No es posible añadir este elemento ya que no hay suficiente gente a la que reclutar en este enclave
{SMT_TRAINING_INSUFFICIENT_FUNDS}				No es posible añadir este elemento a la cola de reclutamiento ya que no dispones de fondos suficientes
{SMT_TRAINING_QUEUE_FULL}					No es posible añadir este elemento, ya que la cola de reclutamiento está llena
{SMT_DIPLOMACY_SUMMARY}					Estado de la diplomacia
{SMT_WE_HAVE_MILITARY_ACCESS}					Disponemos de acceso militar
{SMT_THEY_HAVE_MILITARY_ACCESS}				Disponen de acceso militar
{SMT_PAYING_YOU_TRIBUTE_X_PER_TURN}				Te pagan un tributo de %d denarios por turno
{SMT_PAYING_THEM_TRIBUTE_X_PER_TURN}				Les pagas un tributo de %d denarios por turno
{SMT_ASSISTANCE_REQUESTED_AGAINST}				Se solicita ayuda contra
{SMT_ASSISTANCE_PROVIDED_AGAINST}				Se proporciona ayuda contra
{SMT_CONFIRM_OFFER}						Confirmar los detalles de la oferta
{SMT_CANCEL_OFFER}						Cancelar los detalles de la oferta
{SMT_OFFER_MONEY_TITLE}					Ofrecer dinero
{SMT_DEMAND_MONEY_TITLE}					Exigir dinero
{SMT_AMOUNT_OF_DENARI}					Cantidad de denarios
{SMT_OFFER_TRIBUTE_TITLE}					Ofrecer tributo
{SMT_DEMAND_TRIBUTE}						Exigir tributo
{SMT_NUMBER_OF_YEARS}						Número de turnos
{SMT_OR_UNTIL_FURTHER_NOTICE}					O hasta nuevo aviso
{SMT_UNTIL_FURTHER_NOTICE}					Hasta nuevo aviso
{SMT_DEMAND_ATTACK_ON_FACTION}				Exigir ataque a una facción
{SMT_OFFER_ATTACK_ON_FACTION}					Ofrecer ataque a una facción
{SMT_WITHIN}							Dentro de
{SMT_YEARS}							turno(s)
{SMT_GIVE}							Entregar
{SMT_DEMAND_SETTLEMENT_TITLE}					Exigir enclaves
{SMT_OFFER_SETTLEMENT_TITLE}					Ofrecer enclaves
{SMT_CITY}							Ciudad
{SMT_CHARACTERS}						Personajes
{SMT_STATUS}							Estado
{SMT_CHARACTER_PERFORMED_TURNS_ACTION}			El personaje seleccionado ha llevado a cabo una misión en este turno
{SMT_TARGET_TILE_IS_IMPASSABLE}					La posición indicada no es válida para este tipo de personaje
{SMT_CANNOT_LEAVE_SIEGED_FORT}				Nadie puede abandonar un fuerte asediado salvo para atacar al ejército que mantenga el asedio
{SMT_CANNOT_LEAVE_SIEGED_SETTLEMENT}				Nadie puede abandonar un enclave asediado salvo para atacar al ejército que mantenga el asedio
{SMT_CANNOT_LEAVE_ENEMIES_ZOC}				No es posible abandonar la zona de control del enemigo
{SMT_CHARACTER_DETAILS}					Detalles del personaje
{SMT_ENEMY_CHARACTER_DETAILS}					Detalles del personaje enemigo
{SMT_NEUTRAL_CHARACTER_DETAILS}				Detalles del personaje neutral
{SMT_ALLIED_CHARACTER_DETAILS}					Detalles del personaje aliado
{SMT_VICES}							Vicios
{SMT_FACTION_SUMMARY}						Estado de la facción
{SMT_FACTION_LEADER}						Líder de la facción:
{SMT_HEIRS}							Herederos:
{SMT_REGIONS_GAINED}						Regiones obtenidas:
{SMT_BATTLES_WON}						Batallas ganadas:
{SMT_BATTLES_LOST}						Batallas perdidas:
{SMT_SHOW_FAMILY_TREE}					Mostrar árbol genealógico
{SMT_SHOW_EVENT_LOG}						Mostrar registro de sucesos
{SMT_FINANCIAL_SUMMARY}					Estado de las finanzas
{SMT_INCOME}							Ingresos
{SMT_EXPENDITURE}						Gastos
{SMT_FARMING}							Agricultura
{SMT_RESOURCES}						Recursos
{SMT_TRADE}							Comercio
{SMT_TAXES}							Impuestos
{SMT_WAGES}							Salarios
{SMT_PROJECTED_INCOME}						Total de ingresos previstos
{SMT_PROJECTED_EXPENDITURE}					Total de gastos previstos
{SMT_PROJECTED_PROFIT}						Beneficios previstos
{SMT_TOTAL_INCOME}						Total de ingresos
{SMT_TOTAL_EXPENDITURE}					Total de gastos
{SMT_TOTAL_PROFIT}						Beneficios
{SMT_ARMY_RECRUIT}						Reclutamiento
{SMT_CONSTRUCTION}						Construcción
{SMT_DIPLOMACY}						Diplomacia
{SMT_TRIBUTE}							Tributos
{SMT_OTHER}							Otros
{SMT_SENATE_TRANSACTIONS}					Transacciones del Senado
{SMT_EVENT_LOG}						Registro de sucesos
{SMT_OFFICE}							Cargo
{SMT_CHARACTER}						Personaje
{SMT_SENATE_OFFICIALS}						Funcionarios del Senado
{SMT_SENATE_MISSIONS}						Misiones del Senado
{SMT_SHOW_SENATE_OFFICES}					Mostrar la lista de cargos del Senado
{SMT_TIME_REMAINING}						Tiempo restante
{SMT_TARGETS}							Objetivos
{SMT_TARGET}							Objetivo
{SMT_REWARD}							Recompensa
{SMT_PENALTY}							Penalización
{SMT_SETTLEMENT}						Enclave
{SMT_TRADE_DETAILS}						Detalles comerciales
{SMT_SHOW_TRADE_SUMMARY}					Mostrar el pergamino de estado del comercio para este enclave
{SMT_RESOURCE_GOLD}						Oro
{SMT_RESOURCE_SILVER}						Plata
{SMT_RESOURCE_IRON}						Hierro
{SMT_RESOURCE_POTTERY}						Cerámica
{SMT_RESOURCE_FURS}						Pieles
{SMT_RESOURCE_GRAIN}						Grano
{SMT_RESOURCE_TIMBER}						Madera
{SMT_RESOURCE_ELEPHANT}					Elefantes
{SMT_RESOURCE_CAMEL}						Camellos
{SMT_RESOURCE_DOG}						Perros
{SMT_RESOURCE_PIG}						Cerdos
{SMT_RESOURCE_OLIVE_OIL}					Aceite de oliva
{SMT_RESOURCE_WINE}						Vino
{SMT_RESOURCE_SLAVES}						Esclavos
{SMT_RESOURCE_GLASS}						Vidrio
{SMT_RESOURCE_MARBLE}						Mármol
{SMT_RESOURCE_TEXTILES}					Telas
{SMT_RESOURCE_PURPLE_DYE}					Tinte púrpura
{SMT_RESOURCE_INCENSE}						Incienso
{SMT_RESOURCE_SILK}						Seda
{SMT_RESOURCE_WILD_ANIMALS}					Animales salvajes
{SMT_RESOURCE_HIDES}						Cueros
{SMT_RESOURCE_TIN}						Estaño
{SMT_RESOURCE_COPPER}						Cobre
{SMT_RESOURCE_LEAD}						Plomo
{SMT_RESOURCE_AMBER}						Ámbar
{SMT_HARVEST_POOR}						Cosecha pobre
{SMT_HARVEST_NORMAL}						Cosecha corriente
{SMT_HARVEST_GOOD}						Cosecha buena
{SMT_HARVEST_EXCELLENT}					Cosecha excelente
{SMT_MINING_INCOME}						Ingresos por minería
{SMT_FARM_INCOME}						Ingresos por cultivos
{SMT_FIND_SELECTED_CHARACTER}					Localizar en el mapa al personaje seleccionado
{SMT_FAMILY_TREE_TITLE}						Árbol genealógico
{SMT_OWNED_BY}							Propiedad de:
{SMT_WEAPON_ARMOUR_PIERCING}					Utiliza armamento que atraviesa armaduras
{SMT_WEAPON_BODY_PIERCING}					Utiliza armamento que atraviesa el cuerpo
{SMT_WEAPON_PRECURSOR}					Utiliza un arma arrojadiza inicial
{SMT_WEAPON_AREA}						El arma afecta a un área
{SMT_UNIT_IS_GENERAL}						Es una unidad adecuada para un general
{SMT_UNIT_IS_COMMAND}						Es una unidad de mando
{SMT_UNIT_CAN_CONCEAL}						Puede esconderse
{SMT_UNIT_IS_HARDY}						Es robusta
{SMT_UNIT_IS_VERY_HARDY}					Es muy robusta
{SMT_UNIT_IS_HEAVY}						Es una unidad pesada
{SMT_CAN_DO_TESTUDO}						Puede emplear la formación en testudo
{SMT_CAN_DO_PHALANX}						Puede emplear la formación de falange
{SMT_GOOD_ON_SCRUB}						Es buena entre los matorrales
{SMT_GOOD_ON_SAND}						Es buena en el desierto
{SMT_GOOD_ON_FOREST}						Es buena en el bosque
{SMT_GOOD_ON_SNOW}						Es buena en la nieve
{SMT_BAD_ON_SCRUB}						Es mala entre los matorrales
{SMT_BAD_ON_SAND}						Es mala en el desierto
{SMT_BAD_ON_FOREST}						Es mala en el bosque
{SMT_BAD_ON_SNOW}						Es mala en la nieve
{SMT_UNCOVERED_HIDDEN_AGENT_IN_SETTLEMENT_TITLE}		Agente descubierto
{SMT_UNCOVERED_HIDDEN_AGENT_IN_SETTLEMENT_DESCRIPTION}	Hemos descubierto un traicionero y peligroso espía en este enclave. ¿Es que no hay honor entre nuestros rivales?
{SMT_HIDDEN_AGENT_IN_SETTLEMENT_COMPROMISED_TITLE}		Agente traicionado
{SMT_HIDDEN_AGENT_IN_SETTLEMENT_COMPROMISED_DESCRIPTION}	Nuestro agente ha sido delatado ante las autoridades de este enclave. Debemos darlo por muerto. 
{SMT_APPOINT_TO_GOVERNOR_TITLE}				Gobernante nombrado
{SMT_APPOINT_TO_GOVERNOR_DESCRIPTION}				Este hombre ha sido nombrado el nuevo gobernante.
{SMT_SETTLEMENT_BESIEGE_TITLE}					Enclave asediado
{SMT_SETTLEMENT_BESIEGE_DESCRIPTION}				Este enclave está siendo asediado y, como consecuencia, la población sufre.
{SMT_SETTLEMENT_REVOLT_TITLE}					Enclave rebelándose
{SMT_SETTLEMENT_REVOLT_DESCRIPTION}				La población de este enclave se ha rebelado, mostrando la profundidad de su ingratitud y engaño.
{SMT_SETTLEMENT_LOST_TITLE}					Enclave perdido
{SMT_SETTLEMENT_LOST_DESCRIPTION}				Ya no controlamos este enclave; es un revés para nuestra riqueza y prestigio.
{SMT_SETTLEMENT_GAINED_TITLE}					Enclave obtenido
{SMT_SETTLEMENT_GAINED_DESCRIPTION}				Nos hemos hecho con el control de este enclave; ¡es muy beneficioso para nuestro prestigio y riqueza!
{SMT_NAVY_BLOCKADED_TITLE}					Bloqueo en práctica
{SMT_NAVY_BLOCKADED_DESCRIPTION}				El comercio marítimo está sufriendo a consecuencia de este bloqueo.
{SMT_BIRTH_TITLE}						Un nacimiento en la familia
{SMT_BIRTH_DESCRIPTION}						Nuestra facción ha sido bendecida con la llegada de un nuevo hijo. Con el tiempo, alcanzará la mayoría de edad y aumentará nuestra gloria.
{SMT_ADOPTION_TITLE}						Adopción
{SMT_ADOPTION_DESCRIPTION}					Este hombre ha sido adoptado por nuestra familia, y sus gestas aportarán gloria y honor a nuestro nombre.
{SMT_COMING_OF_AGE_TITLE}					Mayoría de edad
{SMT_COMING_OF_AGE_DESCRIPTION}				La mayoría de edad que este hombre ha alcanzado le capacita para asumir su cuota de responsabilidad de un buen gobierno.
{SMT_MARRIAGE_TITLE}						Matrimonio
{SMT_MARRIAGE_DESCRIPTION}					Este hombre se ha casado, colocando así los cimientos de la futura fuerza de nuestra familia.
{SMT_NATURAL_DEATH_TITLE}					Muerte natural
{SMT_NATURAL_DEATH_DESCRIPTION}				Tras morir por causas naturales, este hombre nos deja para unirse a nuestros ilustres antepasados en el más allá. 
{SMT_NEW_FACTION_LEADER_TITLE}					Nuevo líder de la facción
{SMT_NEW_FACTION_LEADER_DESCRIPTION}				Ha surgido un nuevo líder de la facción y ahora está al mando. 
{SMT_NEW_FACTION_HEIR_TITLE}					Nuevo heredero de la facción
{SMT_NEW_FACTION_HEIR_DESCRIPTION}				Ha surgido un nuevo heredero del líder de la facción, pero esperemos que su ascenso al poder no sea inminente.
{SMT_FACTION_DEFEATED_TITLE}					Facción derrotada
{SMT_FACTION_DEFEATED_DESCRIPTION}				Esta facción ha sido derrotada, y no volverá a molestarnos. 
{SMT_UNKNOWN}							Desconocido
{SMT_UNKNOWN_UNIT}						Tipo de unidad desconocida
{SMT_UNKNOWN_BUILDING}						Tipo de edificio desconocido
{SMT_ARMY_BREAKDOWN}						Desglose del ejército
{SMT_SHOW_ARMY_DETAILS}					Ver detalles del ejército
{SMT_SHOW_VNV_DETAILS}					Mostrar los vicios y virtudes del personaje
{SMT_TRAITS_UKNOWN}						Rasgos no conocidos
{SMT_STATUS_UNKNOWN}						Estado desconocido
{SMT_SPOTTED_BY}						Avistado por:
{SMT_WATCHTOWER}						Atalaya
{SMT_EXCHANGE_COMMANDING_OFFICER}				No es posible transferir al oficial al mando de un ejército.
{SMT_EXCHANGE_NO_MOVEMENT_POINTS}				Puntos de movimiento insuficientes para la transferencia.
{SMT_EXCHANGE_NO_NAVY_PRESENT}				El barco no se puede transferir a un ejército terrestre.
{SMT_EXCHANGE_SELECTED}					Utiliza el botón de fusionar o arrastra y suelta para transferir la ficha al otro panel.
{SMT_EXCHANGE_UNSELECTED}					Selecciona la ficha a transferir al otro panel.
{SMT_EXCHANGE_NO_SELECTION}					Selecciona las fichas a transferir; utiliza las pestañas para ver las diferentes categorías.
{SMT_EXCHANGE_MERGE_OK}					Utiliza el botón de fusionar para transferir las fichas seleccionadas de un panel a otro.
{SMT_EXCHANGE_CAPACITY_EXCEEDED}				Las fichas seleccionadas no pueden transferirse ya que exceden la capacidad. Selecciona fichas en ambos paneles para realizar un intercambio.
{SMT_SHOW_MISSION_TARGET}					Mostrar la posición del objetivo de la misión
{SMT_RALLY_POINTS}						Puntos de reunión
{SMT_RALLY_POINT}						Punto de reunión
{SMT_CANNOT_MERGE_THIS_UNIT_SELECTION}			Esta selección de unidades no puede fusionarse con la ventana opuesta
{SMT_CANNOT_MERGE_THIS_CHARACTER_SELECTION}			Esta selección de personajes no puede fusionarse con la ventana opuesta
{SMT_ZOOM_DOWN_TO_CITY}					Ver el enclave en el mapa de batalla
{SMT_DESTROY_BUILDING}						Destruir edificio
{SMT_RETAINERS}							Séquito
{SMT_RETAINERS_UNKNOWN}					Séquito desconocido
{SMT_SUCCESS_RATE}						Tasa de éxito
{SMT_SHOW_CHARACTER_TARGETS}					Mostrar los posibles personajes objetivo
{SMT_SHOW_BUILDING_TARGETS}					Mostrar los posibles edificios objetivo
{SMT_ACCEPT_MISSION}						Aceptar misión
{SMT_BUILDING}							Edificio
{SMT_MILITARY_FORCES}						Fuerzas militares
{SMT_NUM_SOLDIERS}						Soldados
{SMT_ATTACK}							Ataque
{SMT_ATTACK_CHARGE}						Carga
{SMT_ARMOUR}							Armadura
{SMT_DEFENCE}							Defensa
{SMT_SHIELD}							Escudo
{SMT_HP}							Puntos de golpe
{SMT_CREATION_COST}						Coste del reclutamiento
{SMT_ARMY_STRENGTH_RATIO}					Proporción de fuerza de los ejércitos
{SMT_NAVY_STRENGTH_RATIO}					Proporción de fuerza de las armadas
{SMT_PROTECTOR}						Protector
{SMT_PROTECTORATES}						Protectorados
{SMT_YOU_ARE_PROTECTOR}					Eres un protector de esta facción
{SMT_ENABLE_AUTO_TRAIN}					Activar la instrucción automática de las unidades
{SMT_ENABLE_AUTO_CONSTRUCT}					Activar la construcción automática de los edificios
{SMT_AUTOMATE_ALL}						Automatizar toda la producción
{SMT_AI_SPEND_POLICY}						Política de gasto de la IA
{SMT_SAVE}							Ahorrar
{SMT_SPEND}							Gastar
{SMT_CONSTRUCTION_OPTIONS}					Opciones de construcción
{SMT_CONSTRUCTION_QUEUE}					Cola de construcción
{SMT_LAND_EXPORTS}						Exportaciones terrestres
{SMT_SEA_EXPORTS}						Exportaciones marítimas
{SMT_IMPORTS}							Importaciones
{SMT_TRADE_INCOME}						Ingresos por comercio
{SMT_RECRUITMENT_QUEUE}					Cola de reclutamiento
{SMT_DEFENSES}							Defensas
{SMT_SIEGE_DETAILS}						Detalles del asedio
{SMT_SETTLEMENT_HAS_FOOD_FOR_X_YEARS}			Este enclave tiene suficiente comida para resistir %d años
{SMT_FORT_HAS_FOOD_FOR_X_YEARS}				Este fuerte tiene suficiente comida para resistir %d años
{SMT_SETTLEMENT_HAS_FOOD_FOR_1_YEAR}				Este enclave tiene suficiente comida para resistir un año
{SMT_FORT_HAS_FOOD_FOR_1_YEAR}				Este fuerte tiene suficiente comida para resistir un año
{SMT_SETTLEMENT_HAS_NO_FOOD}					A este enclave le queda muy poca comida en su reserva
{SMT_FORT_HAS__NO_FOOD}					A este fuerte le queda muy poca comida en su reserva
{SMT_AUTOMANAGE_ALL_TOOLTIP}					Utilizar automáticamente un ayudante de construcción de IA para cada enclave
{SMT_ALLOW_BUILDING_TOOLTIP}					Permitir que el ayudante de construcción construya edificios
{SMT_ALLOW_TROOP_PRODUCTION_TOOLTIP}				Permitir que el ayudante de construcción reclute tropas
{SMT_SPEND_SLIDER_TOOLTIP}					Determina la cantidad de dinero que los ayudantes de construcción tienen permitido gastar
{SMT_BUILDING_ADVICE}						Pedir a la consejera que recomiende qué edificio construir a continuación
{SMT_RECRUITMENT_ADVICE}					Pedir a la consejera que recomiende qué unidades reclutar a continuación
{SMT_DAMAGE}							Daño
{SMT_INVALID_RALLY_POINT_POSITION}				Esta posición no es válida para un punto de reunión
{SMT_CANNOT_PERFORM_MISSIONS_WITH_MULTIPLE_CHARACTERS}	No es posible realizar misiones con varios personajes seleccionados
{SMT_OPEN_MERCENARY_RECRUITMENT}				Abrir el pergamino de reclutamiento de mercenarios para el ejército seleccionado
{SMT_AVAILABLE_MERCENARIES}					Unidades de mercenarios disponibles para ser contratadas
{SMT_HIRE_ALL_QUEUED_UNITS}					Contratar todas las unidades en la cola
{SMT_NO_ROOM_FOR_MERCENARIES}					No es posible contratar más mercenarios ya que no quedan plazas en el ejército receptor
{SMT_NO_MERCENARIES_AVAILABLE}					En estos momentos, no hay mercenarios a los que reclutar en esta región
{SMT_CANNOT_AFFORD_THIS_MERCENARY}				No puedes permitirte contratar a este mercenario
{SMT_ONLY_FAMILY_CAN_RECRUIT_MERCENARIES}			Solo los miembros de la familia pueden reclutar mercenarios
{SMT_ASSISTANCE_REQUESTED}					Ayuda solicitada
{SMT_WHICH_ALLY}						Ejército aliado
{SMT_WHICH_ARMY_REQUESTED}					Ayuda solicitada por parte de
{SMT_ACCEPT_ASSISTANCE_REQUEST}				Tu aliado ha solicitado ayuda en una batalla. Si aceptas su petición, tu ejército reforzará al suyo en el campo de batalla. ¿Deseas aceptarla?
{SMT_ATTACKING_THIS_SETTLEMENT_WILL_BREAK_ALLIANCE}		Estás aliado con la facción que posee este enclave. Si atacas, la alianza se romperá y se declarará la guerra. ¿Seguro que deseas seguir adelante?
{SMT_ATTACKING_THIS_FORT_WILL_BREAK_ALLIANCE}			Estás aliado con la facción que posee este fuerte. Si atacas, la alianza se romperá y se declarará la guerra. ¿Seguro que deseas seguir adelante?
{SMT_ATTACKING_THIS_PORT_WILL_BREAK_ALLIANCE}			Estás aliado con la facción que posee este puerto. Si atacas, la alianza se romperá y se declarará la guerra. ¿Seguro que deseas seguir adelante?
{SMT_ATTACKING_THIS_ARMY_WILL_BREAK_ALLIANCE}			Estás aliado con la facción que controla este ejército. Si atacas, la alianza se romperá y se declarará la guerra. ¿Seguro que deseas seguir adelante?
{SMT_ATTACKING_THIS_NAVY_WILL_BREAK_ALLIANCE}			Estás aliado con la facción que controla esta armada. Si atacas, la alianza se romperá y se declarará la guerra. ¿Seguro que deseas seguir adelante?
{SMT_CANNOT_ATTACK_ALLY}					Todavía no puedes atacar Roma. No dispones de suficiente apoyo popular para hacerte con el poder. 
{SMT_CONFIRM_ATTACK_ON_ALLY}					¿Atacar al aliado?
{SMT_YOUR_FORCES}						Tus fuerzas
{SMT_ENEMY_FORCES}						Fuerzas enemigas
{SMT_AI_REINFORCEMENT}						La IA controlará este ejército
{SMT_REINFORCEMENTS}						Refuerzos:
{SMT_BATTLE_DEPLOYMENT}					Despliegue de la batalla
{SMT_YOUR_ARMY_SALLIES_FORTH}					Sales al encuentro del enemigo
{SMT_ENEMY_SALLIES_FORTH}					El enemigo sale a tu encuentro
{SMT_RIGHT_CLICK_FOR_CHARACTER_INFO}				Haz clic derecho sobre el retrato para obtener información completa del personaje y un desglose del ejército
{SMT_FIELD_CONSTRUCTION}					Construcción de campo
{SMT_PROVINCE}							Provincia:
{SMT_WATCHTOWER_DESCRIPTION}					Las atalayas amplían tu horizonte visual en el territorio enemigo
{SMT_FORT_DESCRIPTION}						Los fuertes proporcionan defensa temporal a ejércitos en ruta, y pueden emplearse para defender posiciones estratégicas
{SMT_CANNOT_TRANSFER_GENERALS_UNIT}				Esta unidad es la guardia personal del general; no se la puede transferir
{SMT_FAMOUS_BATTLE_SITE}					Escenario de una batalla famosa
{SMT_BATTLE_YEAR}						Año
{SMT_VICTOR}							Vencedor
{SMT_LOSER}							Vencido
{SMT_GAMES_FREQUENCY_YEARLY}					Juegos anuales
{SMT_GAMES_FREQUENCY_MONTHLY}				Juegos mensuales
{SMT_GAMES_FREQUENCY_DAILY}					Juegos diarios
{SMT_RACES_FREQUENCY_YEARLY}					Carreras anuales
{SMT_RACES_FREQUENCY_MONTHLY}					Carreras mensuales
{SMT_RACES_FREQUENCY_DAILY}					Carreras diarias
{SMT_GAMES_AND_RACES_FREQUENCY_YEARLY}			Juegos y carreras anuales
{SMT_GAMES_AND_RACES_FREQUENCY_MONTHLY}			Juegos y carreras mensuales
{SMT_GAMES_AND_RACES_FREQUENCY_DAILY}				Juegos y carreras a diario
{SMT_SHOW_SETTLEMENT_STATS}					Mostrar detalles del enclave
{SMT_AUTOMANAGE}						Gestión automática
{SMT_SETTLEMENT_STATISTICS}					Detalles del enclave
{SMT_PUBLIC_ORDER}						Orden público
{SMT_POPULATION_GROWTH}					Crecimiento demográfico
{SMT_SET_POLICIES}						Fijar políticas
{SMT_POPULATION_REQUIRED}					Población necesaria para el siguiente nivel de enclave:
{SMT_CONSTRUCTION_TIME}					Tiempo de la construcción
{SMT_CONSTRUCTION_COST}					Coste de la construcción
{SMT_ANCILLARIES}						Auxiliares
{SMT_TRAITS}							Rasgos
{SMT_RECRUITMENT_OPTIONS}					Opciones de reclutamiento
{SMT_MEN_IN_GARRISON}						Hombres en la guarnición
{SMT_MEN_IN_ARMY}						Hombres en el ejército
{SMT_SELECTED_MERCENARIES}					Mercenarios seleccionados
{SMT_SHOW_FACTION_RANKINGS}					Mostrar pergamino de clasificación de facciones
{SMT_FACTION_RANKINGS}						Clasificación de la facción
{SMT_RANKING_SCORE}						Clasificación global
{SMT_RANKING_MILITARY}						Clasificación militar
{SMT_RANKING_PRODUCTION}					Clasificación productiva
{SMT_RANKING_REGIONS}						Clasificación territorial
{SMT_RANKING_FINANCIAL}						Clasificación financiera
{SMT_RANKING_POPULATION}					Clasificación demográfica
{SMT_FACTION_FILTER}						Filtro por facción
{SMT_OWN_FACTION}						Facción propia
{SMT_ALL_FACTIONS}						Todas las facciones
{SMT_TOP_5_FACTIONS}						Las cinco mejores
{SMT_CUSTOM_SELECTION}					Selección personalizada
{SMT_FILTER_NEIGHBOURS}						Facciones vecinas
{SMT_TURNS}							Turnos
{SMT_VICTORY}							¡VICTORIA!
{SMT_DEFEAT}							¡DERROTA!
{SMT_VICTORY_BODY}						¡Has ganado esta partida! ¡Toda tu gente celebra esta victoria! ¿Quieres continuar y alcanzar una gloria aún mayor?
{SMT_DEFEAT_BODY}						No has logrado alcanzar los objetivos para obtener la victoria, pero ¿quieres continuar la partida de todos modos?
{SMT_DEFEAT_GAME_OVER}					Tu facción ha sido borrada del mapa. ¡Serán otros los que escriban la historia y se adjudiquen tus logros como propios! ¡A ver si tienes más suerte la próxima vez!
{SMT_CONTINUE_CAMPAIGN}					¿Seguir jugando?
{SMT_EXIT_CAMPAIGN}						Volver al menú principal
{SMT_CAPTURED_SETTLEMENT}					Enclave capturado
{SMT_DENARI_GAINED_FROM_LOOTING}				Denarios obtenidos del saqueo
{SMT_POPULATION_GAINED_FROM_ENSLAVE}				Población a dispersar entre los enclaves gobernados
{SMT_POPULATION_KILLED}						Población a masacrar
{SMT_LOOT_SETTLEMENT}						Ocupar el enclave
{SMT_ENSLAVE_POPULACE}						Esclavizar a la plebe
{SMT_EXTERMINATE}						Exterminar a la plebe
{SMT_SETTLEMENT_LOOT_BODY_STRING}				Este enclave ha sucumbido ante el poder de tu ejército. ¡La victoria te pertenece y el destino del lugar está en tus manos!
{SMT_BUILDINGS_NEEDING_REPAIR}					Edificios que necesitan reparación
{SMT_SHOW_NEW_BUILDINGS}					Mostrar edificios que puedan construirse
{SMT_SHOW_REPAIRABLE_BUILDINGS}				Mostrar edificios que necesiten reparación
{SMT_REPAIR_TIME}						Tiempo de la reparación
{SMT_REPAIR_COST}						Coste de la reparación
{SMT_BUILD_POINTS}						Puntos de construcción:
{SMT_ALWAYS_SHOW_ADVANCED_STATS}				Mostrar siempre los detalles del enclave
{SMT_ADVANCED_STATS}						Detalles del enclave
{SMT_SHOW_TECH_TREE}						Mostrar explorador de edificios
{SMT_BUILDING_BROWSER}						Explorador de edificios
{SMT_STATE_ICON_FARMING_LEVEL}					Nivel agrícola
{SMT_STATE_ICON_FARMS_BUILT}					Cultivos creados
{SMT_STATE_ICON_FOOD_IMPORTS}					Importaciones de alimento
{SMT_STATE_ICON_HEALTH}					Salud
{SMT_STATE_ICON_BUILDINGS}					Edificios
{SMT_STATE_ICON_TAX_RATE_BONUS}				Bonif. nivel impuestos
{SMT_STATE_ICON_UNIT_DISBANDS}					Disolución de la unidad
{SMT_STATE_ICON_SLAVERY}					Esclavitud
{SMT_STATE_ICON_SQUALOUR}					Miseria
{SMT_STATE_ICON_DISASTERS}					Desastres
{SMT_STATE_ICON_UNIT_RECRUITS}					Reclutamiento de la unidad
{SMT_STATE_ICON_TAX_RATE_PENALTY}				Penaliz. nivel impuestos
{SMT_STATE_ICON_GARRISON}					Guarnición
{SMT_STATE_ICON_BUILDINGS_LAW}					Edificios de la ley y el orden
{SMT_STATE_ICON_BUILDINGS_FUN}					Edificios de ocio y recreo
{SMT_STATE_ICON_GOVERNORS_INFLUENCE}				Influencia del gobernante
{SMT_STATE_ICON_TAX_BONUS}					Bonificación fiscal
{SMT_STATE_ICON_TRIUMPH}					Triunfo
{SMT_STATE_ICON_WONDER}					Maravilla
{SMT_STATE_ICON_BOOM}						Explosión demográfica
{SMT_STATE_ICON_DISTANCE_TO_CAPITAL}				Distancia a la capital
{SMT_STATE_ICON_CULTURE_PENALTY}				Penalización cultural
{SMT_STATE_ICON_NO_GOVERNANCE}				Sin gobierno
{SMT_STATE_ICON_TAX_PENALTY}					Penalización fiscal
{SMT_STATE_ICON_TURMOIL}					Agitación
{SMT_STATE_ICON_UNDERPOPULATION}				Población escasa
{SMT_STATE_ICON_BESIEGED}					Bajo asedio
{SMT_STATE_ICON_BLOCKADED}					Bajo bloqueo
{SMT_STATE_ICON_RECESSION}					En recesión
{SMT_STATE_ICON_ENTERTAINED}					Con entretenimientos
{SMT_STATE_ICON_FARMS}						Cultivos
{SMT_STATE_ICON_TAXES}						Impuestos
{SMT_STATE_ICON_RESOURCES}					Recursos
{SMT_STATE_ICON_TRADE}						Comercio
{SMT_STATE_ICON_DIPLOMATIC_INCOME}				Ingresos diplomáticos
{SMT_STATE_ICON_DEMOLITION}					Demolición
{SMT_STATE_ICON_LOOTING}					Saqueo
{SMT_STATE_ICON_ADMIN}						Administración
{SMT_STATE_ICON_WAGES}					Salarios
{SMT_STATE_ICON_UPKEEP}					Mantenimiento
