rebel_type			Brigantes	//Britons
unit				greek peasant
unit				greek peltast
unit				greek hoplite militia
unit				greek hoplite militia
unit				greek hoplite militia
unit				greek hoplite
unit				greek cavalry
unit				generic rebel general	

rebel_type 			Corinthians	//Macedon
category			peasant_revolt 
chance				0					
description			Corinthians
unit				greek peasant
unit				greek peltast
unit				greek heavy peltast
unit				greek hoplite militia
unit				greek hoplite militia
unit				greek hoplite
unit				greek cavalry
unit				greek medium cavalry
unit				generic rebel general	

rebel_type 			Argolians	//Macedon
category			peasant_revolt 
chance				0					
description			Argolians
unit				greek peasant
unit				greek peltast
unit				greek hoplite militia
unit				greek hoplite militia
unit				greek hoplite militia
unit				greek hoplite
unit				greek hoplite
unit				greek hoplite
unit				greek cavalry
unit				generic rebel general	

rebel_type 			Thebans	//Macedon
category			peasant_revolt 
chance				0					
description			Thebans
unit				greek peasant
unit				greek peltast
unit				greek heavy peltast
unit				greek hoplite militia
unit				greek hoplite militia
unit				greek hoplite
unit				greek cavalry
unit				greek medium cavalry
unit				generic rebel general	

rebel_type 			Delphians	//Macedon
category			peasant_revolt 
chance				0					
description			Delphians
unit				greek peasant
unit				greek peltast
unit				greek hoplite militia
unit				greek hoplite militia
unit				greek hoplite militia
unit				greek hoplite
unit				greek cavalry
unit				generic rebel general	

rebel_type 			Acarnanians	//Macedon
category			peasant_revolt 
chance				0					
description			Acarnanians
unit				greek peasant
unit				greek peltast
unit				greek hoplite militia
unit				greek hoplite militia
unit				greek hoplite militia
unit				greek hoplite
unit				greek cavalry
unit				generic rebel general	

rebel_type 			Magnesians	//Macedon
category			peasant_revolt 
chance				0					
description			Magnesians
unit				greek peasant
unit				greek peltast
unit				greek hoplite militia
unit				greek hoplite militia
unit				greek hoplite militia
unit				greek hoplite
unit				greek cavalry
unit				generic rebel general	

rebel_type 			Gortynians		//macedon
category			peasant_revolt 
chance				0					
description			Gortynians
unit				greek peasant
unit				greek peltast
unit				greek hoplite militia
unit				greek hoplite
unit				merc cretan archers
unit				merc cretan archers
unit				merc cilician pirate
unit				generic rebel general		

rebel_type 			Knossians		//macedon
category			peasant_revolt 
chance				0					
description			Knossians
unit				greek peasant
unit				greek peltast
unit				greek hoplite militia
unit				greek hoplite
unit				merc cretan archers
unit				merc cretan archers
unit				merc cilician pirate
unit				generic rebel general		

rebel_type 			Melians		//macedon
category			peasant_revolt 
chance				0					
description			Melians
unit				greek peasant
unit				greek peltast
unit				greek hoplite militia
unit				greek hoplite
unit				merc cretan archers
unit				merc cretan archers
unit				merc cilician pirate
unit				generic rebel general	
	

rebel_type 			Moesians	//thrace
category			peasant_revolt 
chance				0					
description			Moesians
unit				merc thracian
unit				barb horse archers slave
unit				greek peasant
unit				greek peltast
;unit				barbarian rebel general

rebel_type 			Byzantions	//Macedon
category			peasant_revolt 
chance				0					
description			Byzantions
unit				greek peasant
unit				greek peltast
unit				greek heavy peltast
unit				greek hoplite militia
unit				greek cavalry
unit				merc thracian		
unit				generic rebel general	

rebel_type 			Chersonians	//thrace
category			peasant_revolt 
chance				0					
description			Chersonians
unit				greek peasant
unit				greek peltast
unit				greek hoplite militia
unit				greek hoplite militia
unit				greek hoplite militia
unit				greek hoplite
unit				greek cavalry
unit				generic rebel general		

rebel_type 			Lepontians	//gauls
category			peasant_revolt 
chance				0					
description			Lepontians
unit				barb peasant slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb naked fanatics slave
unit				barbarian rebel general

rebel_type 			Raetians	//gauls
category			peasant_revolt 
chance				0					
description			Raetians
unit				barb peasant slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb naked fanatics slave
unit				barbarian rebel general

rebel_type 			Cenomans	//gauls
category			peasant_revolt 
chance				0					
description			Cenomans
unit				barb peasant slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb naked fanatics slave
unit				barbarian rebel general

rebel_type 			Taurinians	//gauls
category			peasant_revolt 
chance				0					
description			Taurinians
unit				barb peasant slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb naked fanatics slave
unit				barbarian rebel general

rebel_type 			Histrians		//dacia
category			peasant_revolt 
chance				0					
description			Histrians
unit				barb peasant slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb cavalry slave
unit				barb archer slave
unit				barb archer slave
unit				barbarian rebel general

rebel_type 			Catanians	//Macedon
category			peasant_revolt 
chance				0					
description			Catanians
unit				greek peasant
unit				greek peltast
unit				greek heavy peltast
unit				greek hoplite militia
unit				greek hoplite militia
unit				greek hoplite
unit				greek cavalry
unit				generic rebel general	

rebel_type 			Agyrians	//Macedon
category			peasant_revolt 
chance				0					
description			Agyrians
unit				greek peasant
unit				greek peltast
unit				greek heavy peltast
unit				greek hoplite militia
unit				greek hoplite militia
unit				greek hoplite
unit				greek cavalry
unit				generic rebel general	

rebel_type 			Gelians	//Macedon
category			peasant_revolt 
chance				0					
description			Gelians
unit				greek peasant
unit				greek peltast
unit				greek heavy peltast
unit				greek hoplite militia
unit				greek hoplite militia
unit				greek hoplite
unit				greek cavalry
unit				generic rebel general

rebel_type 			Akragians	//Macedon
category			peasant_revolt 
chance				0					
description			Akragians
unit				greek peasant
unit				greek peltast
unit				greek heavy peltast
unit				greek hoplite militia
unit				greek hoplite militia
unit				greek hoplite
unit				greek cavalry
unit				generic rebel general

rebel_type 			Panormians	//Macedon
category			peasant_revolt 
chance				0					
description			Panormians
unit				greek peasant
unit				greek peltast
unit				greek heavy peltast
unit				greek hoplite militia
unit				greek hoplite militia
unit				greek hoplite
unit				greek cavalry
unit				generic rebel general

rebel_type 			Dalmatians		//Macedon
category			peasant_revolt 
chance				0					
description			Dalmatians
unit				greek peasant
unit				greek peltast
unit				greek heavy peltast
unit				greek hoplite militia
unit				greek cavalry
unit				merc illyrian	
unit				generic rebel general	

rebel_type 			Libernians		//Macedon
category			peasant_revolt 
chance				0					
description			Libernians
unit				greek peasant
unit				greek peltast
unit				greek heavy peltast
unit				greek hoplite militia
unit				greek cavalry
unit				merc illyrian	
unit				generic rebel general	

rebel_type 			Daorsians		//Macedon
category			peasant_revolt 
chance				0					
description			Daorsians
unit				greek peasant
unit				greek peltast
unit				greek heavy peltast
unit				greek hoplite militia
unit				greek cavalry
unit				merc illyrian	
unit				generic rebel general	

rebel_type 			Dardanians		//Macedon
category			peasant_revolt 
chance				0					
description			Dardanians
unit				greek peasant
unit				greek peltast
unit				greek heavy peltast
unit				greek hoplite militia
unit				greek cavalry
unit				merc illyrian	
unit				generic rebel general	

rebel_type 			Dindarians		//Macedon
category			peasant_revolt 
chance				0					
description			Dindarians
unit				greek peasant
unit				greek peltast
unit				greek heavy peltast
unit				greek hoplite militia
unit				greek cavalry
unit				merc illyrian	
unit				generic rebel general	

rebel_type 			Triballians	//thrace
category			peasant_revolt 
chance				0					
description			Triballians
unit				merc thracian
unit				barb horse archers slave
unit				greek peasant
unit				greek peltast
;unit				barbarian rebel general

rebel_type 			Picensians	//thrace
category			peasant_revolt 
chance				0					
description			Picensians
unit				merc thracian
unit				barb horse archers slave
unit				greek peasant
unit				greek peltast
;unit				barbarian rebel general

rebel_type 			Felathrians		//Romans
category			peasant_revolt 
chance				0					
description			Felathrians
unit				roman peasant
unit				roman city militia
unit				roman city militia
unit				roman hastati
unit				roman light cavalry
unit				generic rebel general	

rebel_type 			Ioelians		//Romans
category			peasant_revolt 
chance				0					
description			Ioelians
unit				roman peasant
unit				roman city militia
unit				roman city militia
unit				roman hastati
unit				generic rebel general	

rebel_type 			Balarians		//Romans
category			peasant_revolt 
chance				0					
description			Balarians
unit				roman peasant
unit				roman city militia
unit				roman city militia
unit				roman hastati
unit				generic rebel general	

rebel_type 			Corsians		//Romans
category			peasant_revolt 
chance				0					
description			Corsians
unit				roman peasant
unit				roman city militia
unit				roman city militia
unit				roman hastati
unit				generic rebel general	
					
rebel_type 			Alerians	//Macedon
category			peasant_revolt 
chance				0					
description			Alerians
unit				greek peasant
unit				greek peltast
unit				greek heavy peltast
unit				greek hoplite militia
unit				greek hoplite militia
unit				greek hoplite
unit				generic rebel general	

rebel_type 			Carnians	//gauls
category			peasant_revolt 
chance				0					
description			Carnians
unit				barb peasant slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb naked fanatics slave
unit				barbarian rebel general

rebel_type 			Veians		//Romans
category			peasant_revolt 
chance				0					
description			Veians
unit				roman peasant
unit				roman city militia
unit				roman city militia
unit				roman hastati
unit				roman light cavalry
unit				generic rebel general	

rebel_type 			Gauls_Generic		//gauls
category			peasant_revolt 
chance				0					
description			Gauls_Generic
unit				barb peasant slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb cavalry slave
unit				barb noble cavalry slave
unit				barb naked fanatics slave
unit				barbarian rebel general

rebel_type 			Aquitanian_Generic		//gauls
category			peasant_revolt 
chance				0					
description			Aquitanian_Generic
unit				barb peasant slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb cavalry slave
unit				barb noble cavalry slave
unit				barb naked fanatics slave
unit				barbarian rebel general

rebel_type 			Belgic_Generic		//gauls
category			peasant_revolt 
chance				0					
description			Belgic_Generic
unit				barb peasant slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb cavalry slave
unit				barb noble cavalry slave
unit				barb naked fanatics slave
unit				barbarian rebel general

rebel_type 			Briton_Generic		//britons
category			peasant_revolt 
chance				0					
description			Briton_Generic
unit				barb peasant slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb chariot heavy slave
unit				barb druids slave
unit				barbarian rebel general

rebel_type 			Anatolian_Generic		//seleucids
category			peasant_revolt 
chance				0					
description			Anatolian_Generic
unit				greek peasant
unit				greek peltast
unit				greek heavy peltast
unit				greek hoplite militia
unit				greek hoplite militia
unit				greek hoplite
unit				greek cavalry
unit				generic rebel general	

rebel_type 			Anatolian_Generic2	//Pontus
category			peasant_revolt 
chance				0					
description			Anatolian_Generic2
unit				east peasant
unit				east archer
unit				east infantry
unit				east infantry
unit				east infantry
unit				east infantry
unit				east heavy cavalry
unit				eastern rebel general	

rebel_type 			Illyrian_Generic		//macedonia
category			peasant_revolt 
chance				0				
description			Illyrian_Generic
unit				greek peasant
unit				greek peltast
unit				greek peltast
unit				merc illyrian	
unit				merc illyrian	
unit				merc illyrian	
unit				greek cavalry
unit				generic rebel general	

rebel_type 			Illyrian_Generic2		//dacia
category			peasant_revolt 
chance				0					
description			Illyrian_Generic2
unit				barb peasant slave
unit				barb archer slave
unit				barb archer slave
unit				barb infantry slave
unit				barb infantry slave
unit				merc illyrian
unit				barb cavalry slave
unit				barbarian rebel general

rebel_type 			Celtic_Generic	//dacia
category			peasant_revolt 
chance				0					
description			Celtic_Generic
unit				barb peasant slave
unit				barb archer slave
unit				barb archer slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb cavalry slave
unit				barbarian rebel general

rebel_type 			Thracian_Generic		//thrace
category			peasant_revolt 
chance				0					
description			Thracian_Generic
unit				greek peasant
unit				greek peltast
unit				merc thracian
unit				merc thracian
unit				merc thracian
unit				merc bastarnae	
unit				merc bastarnae	
unit				greek cavalry
unit				generic rebel general	

rebel_type 			Thracian_Generic2	//dacia
category			peasant_revolt 
chance				0					
description			Thracian_Generic2
unit				barb peasant slave
unit				barb archer slave
unit				merc bastarnae
unit				barb infantry slave
unit				barb infantry slave
unit				merc thracian
unit				barb cavalry slave
unit				barbarian rebel general

rebel_type 			Greek_Generic	//Macedon
category			peasant_revolt 
chance				0					
description			Greek_Generic
unit				greek peasant
unit				greek peltast
unit				greek hoplite militia
unit				greek hoplite militia
unit				greek hoplite
unit				greek hoplite
unit				greek cavalry
unit				generic rebel general	

rebel_type 			Egypt_Generic		//egypt
category			peasant_revolt 
chance				0					
description			Egypt_Generic
unit				egyptian peasant
unit				egyptian archer
unit				greek hoplite militia
unit				greek hoplite militia
unit				greek hoplite
unit				greek hoplite
unit				greek cavalry
unit				eastern rebel general	

rebel_type 			Arab_Generic		//parthia
category			peasant_revolt 
chance				0					
description			Arab_Generic
unit				east peasant
unit				east archer
unit				east infantry
unit				east infantry
unit				east infantry
unit				east horse archer
unit				east horse archer
unit				eastern rebel general	

rebel_type 			Syrian_Generic		//parthia
category			peasant_revolt 
chance				0					
description			Syrian_Generic
unit				east peasant
unit				east archer
unit				east infantry
unit				east infantry
unit				east infantry
unit				east horse archer
unit				east horse archer
unit				eastern rebel general	

rebel_type 			Mesopotamian_Generic		//parthia
category			peasant_revolt 
chance				0					
description			Mesopotamian_Generic
unit				east peasant
unit				east archer
unit				east archer
unit				east infantry
unit				east infantry
unit				east infantry
unit				east infantry
unit				eastern rebel general	

rebel_type 			Iberian_Generic	//Spain
category			peasant_revolt 
chance				3					
description			Iberian_Generic
unit				carthaginian peasant
unit				carthaginian peltast
unit				carthaginian city militia
unit				carthaginian infantry
unit				carthaginian infantry
unit				carthaginian cavalry
unit				barb naked fanatics slave
unit				barbarian rebel general

rebel_type 			African_Generic		//Carthage
category			peasant_revolt 
chance				0					
description			African_Generic	
unit				carthaginian peasant
unit				carthaginian peltast
unit				carthaginian city militia
unit				carthaginian city militia
unit				carthaginian infantry
unit				carthaginian infantry
unit				carthaginian cavalry
unit				generic rebel general	

rebel_type 			Italic_Generic		//Romans
category			peasant_revolt 
chance				0					
description			Italic_Generic	
unit				roman peasant
unit				roman velite
unit				roman city militia
unit				roman city militia
unit				roman hastati
unit				roman hastati
unit				roman light cavalry
unit				generic rebel general	

rebel_type 			Armenian_Generic	//armenia
category			peasant_revolt 
chance				0					
description			Armenian_Generic
unit				east peasant
unit				east archer
unit				east infantry
unit				east infantry
unit				east infantry
unit				east infantry
unit				east heavy cavalry
unit				eastern rebel general	

rebel_type 			Dacian_Generic		//dacians
category			peasant_revolt 
chance				0					
description			Dacian_Generic
unit				barb peasant slave
unit				barb archer slave
unit				barb archer slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb cavalry slave
unit				barbarian rebel general


rebel_type 			German_Generic	//germans
category			peasant_revolt 
chance				0					
description			German_Generic
unit				barb peasant slave
unit				barb archer slave
unit				barb archer slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb naked fanatics slave
unit				barbarian rebel general


rebel_type 			Caucasian_Generic	//armenia
category			peasant_revolt 
chance				0					
description			Caucasian_Generic
unit				east peasant
unit				east archer
unit				east infantry
unit				east infantry
unit				east infantry
unit				east infantry
unit				east heavy cavalry
unit				eastern rebel general	

		
rebel_type 			Scythian_Generic	//scythia
category			peasant_revolt 
chance				0					
description			Scythian_Generic
unit				barb peasant slave
unit				barb archer slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb cavalry slave
unit				barb cavalry slave
unit				barb horse archers slave
unit				barbarian rebel general

rebel_type 			Scythian2_Generic	//scythia
category			peasant_revolt 
chance				0					
description			Scythian2_Generic
unit				barb peasant slave
unit				barb archer slave
unit				barb infantry slave
unit				barb infantry slave
unit				barb cavalry slave
unit				barb cavalry slave
unit				barb horse archers slave
unit				barbarian rebel general

rebel_type 			Terra_Incognita		//Germans
category			peasant_revolt
chance				0					
description			Terra_Incognita
unit				barb peasant slave
unit				barbarian rebel general

;;;;;;;;;; NEW REBEL TYPES

rebel_type 			Sinhalas		//parthia
category			peasant_revolt 
chance				0					
description			Sinhalas
unit				east peasant
unit				east archer
unit				east archer
unit				east infantry
unit				east infantry
unit				east infantry
unit				east infantry
unit				eastern rebel general

rebel_type 			Tamils		//parthia
category			peasant_revolt 
chance				0					
description			Tamils
unit				east peasant
unit				east archer
unit				east archer
unit				east infantry
unit				east infantry
unit				east infantry
unit				east infantry
unit				eastern rebel general

rebel_type 			Indians		//parthia
category			peasant_revolt 
chance				0					
description			Indians
unit				east peasant
unit				east archer
unit				east archer
unit				east infantry
unit				east infantry
unit				east infantry
unit				east infantry
unit				eastern rebel general

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;; NEW REBEL TYPES ;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

rebel_type 			Argives	//Macedon
category			peasant_revolt 
chance				0					
description			Argives
unit				greek peasant
unit				greek peltast
unit				greek hoplite militia
unit				greek hoplite militia
unit				greek hoplite
unit				greek hoplite
unit				greek hoplite
unit				greek hoplite
unit				greek cavalry
unit				generic rebel general


rebel_type 			Tirynthians	//Macedon
category			peasant_revolt 
chance				0					
description			Tirynthians
unit				greek peasant
unit				greek peltast
unit				greek hoplite militia
unit				greek hoplite militia
unit				greek hoplite
unit				greek hoplite
unit				greek hoplite
unit				greek hoplite
unit				greek cavalry
unit				generic rebel general

rebel_type 			Mycenaeans	//Macedon
category			peasant_revolt 
chance				0					
description			Mycenaeans
unit				greek peasant
unit				greek peltast
unit				greek hoplite militia
unit				greek hoplite militia
unit				greek hoplite
unit				greek hoplite
unit				greek hoplite
unit				greek hoplite
unit				greek cavalry
unit				generic rebel general

rebel_type 			Troezenians	//Macedon
category			peasant_revolt 
chance				0					
description			Troezenians
unit				greek peasant
unit				greek peltast
unit				greek hoplite militia
unit				greek hoplite militia
unit				greek hoplite militia
unit				greek hoplite
unit				greek hoplite
unit				greek hoplite
unit				greek cavalry
unit				generic rebel general

rebel_type 			Salamis_Ionians	//Macedon
category			peasant_revolt 
chance				0					
description			Salamis_Ionians
unit				greek peasant
unit				greek peltast
unit				greek hoplite militia
unit				greek hoplite militia
unit				greek hoplite militia
unit				greek hoplite
unit				greek hoplite
unit				greek hoplite
unit				greek cavalry
unit				generic rebel general

rebel_type 			Doric_Pelasgians	//Macedon
category			peasant_revolt 
chance				0					
description			Doric_Pelasgians
unit				greek peasant
unit				greek peltast
unit				greek hoplite militia
unit				greek hoplite militia
unit				greek hoplite militia
unit				greek hoplite
unit				greek hoplite
unit				greek hoplite
unit				greek cavalry
unit				generic rebel general

rebel_type 			Cephellenians	//Macedon
category			peasant_revolt 
chance				0					
description			Cephellenians
unit				greek peasant
unit				greek peltast
unit				greek hoplite militia
unit				greek hoplite militia
unit				greek hoplite militia
unit				greek hoplite
unit				greek hoplite
unit				greek hoplite
unit				greek cavalry
unit				generic rebel general

rebel_type 			Dryopes	//Macedon
category			peasant_revolt 
chance				0					
description			Dryopes
unit				greek peasant
unit				greek peltast
unit				greek hoplite militia
unit				greek hoplite militia
unit				greek hoplite militia
unit				greek hoplite
unit				greek hoplite
unit				greek hoplite
unit				greek cavalry
unit				generic rebel general

rebel_type 			Cyclado_Ionians	//Macedon
category			peasant_revolt 
chance				0					
description			Cyclado_Ionians
unit				greek peasant
unit				greek peltast
unit				greek heavy peltast
unit				greek hoplite militia
unit				greek peltast
unit				greek hoplite militia
unit				greek hoplite militia
unit				greek hoplite militia
unit				greek hoplite
unit				greek hoplite
unit				greek hoplite
unit				greek cavalry
unit				generic rebel general

rebel_type  		Northwest_Dorians   //Macedon
category			peasant_revolt 
chance				0					
description			Northwest_Dorians
unit				greek peasant
unit				greek peltast
unit				greek hoplite militia
unit				greek hoplite militia
unit				greek peltast
unit				greek hoplite militia
unit				greek hoplite militia
unit				greek hoplite militia
unit				greek hoplite
unit				greek hoplite
unit				greek hoplite
unit				greek cavalry
unit				generic rebel general

rebel_type  		Corcyrans   //Macedon
category			peasant_revolt 
chance				0					
description			Corcyrans
unit				greek peasant
unit				greek peltast
unit				greek hoplite militia
unit				greek hoplite militia
unit				greek peltast
unit				greek hoplite militia
unit				greek hoplite militia
unit				greek hoplite militia
unit				greek hoplite
unit				greek hoplite
unit				greek hoplite
unit				greek cavalry
unit				generic rebel general

rebel_type 			Lelegians	//Pontus
category			peasant_revolt 
chance				0					
description			Lelegians
unit				east peasant
unit				east archer
unit				greek hoplite militia
unit				east infantry
unit				east infantry
unit				greek hoplite
unit				east infantry
unit				east infantry
unit				east heavy cavalry
unit				eastern rebel general

rebel_type 			Phoenicio_Laconians	//Macedon
category			peasant_revolt 
chance				0					
description			Phoenicio_Laconians
unit				greek peasant
unit				greek peltast
unit				greek heavy peltast
unit				greek hoplite militia
unit				greek hoplite militia
unit				carthaginian city militia
unit				carthaginian city militia
unit				carthaginian city militia
unit				carthaginian city militia
unit				greek medium cavalry
unit				generic rebel general

;;;;;;;;;;;;		;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;				
;non region			based
;;;;;;;;;;;;		;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
					
rebel_type			gladiator_uprising
category			gladiator_revolt
chance				100
description			gladiator_uprising
unit				roman peasant		
unit				roman peasant		
unit				roman velite gladiator	
unit				roman samnite gladiator	
unit				roman mirmillo gladiator
					
rebel_type			brigands
category			brigands
chance				50
description			brigands
unit				merc peltast		
unit				merc illyrian	
unit				merc samnite
unit				merc thracian		
unit				merc bastarnae	
unit				merc sarmatian cavalry
unit				merc horse archers
unit				merc spanish infantry
unit				merc eastern infantry
unit				merc rhodian slingers
unit				merc cretan archers
unit				merc greek hoplites
unit				merc libyan infantry
unit				merc numidian cavalry
unit				merc arab cavalry
unit				merc bedouin
unit				merc bedouin archers
unit				merc balearic slingers
unit				merc barbarian infantry
unit				merc barbarian cavalry		
					
rebel_type			pirates
category			pirates
chance				50
description			pirates
unit				naval pirate ships		
					
			
