¬ Strings that only appear in battle
{BMT_TURTLE}											Spezialfähigkeit: Schildkrötenformation
¬****************************************************************************************
¬****************************************************************************************

{BMT_RETURN_OUTSIDE_PLAYABLE_AREA}		Diese Position liegt außerhalb des Schlachtfelds
{BMT_RETURN_OUTSIDE_DEPLOYMENT_AREA}	Positionierung außerhalb des markierten Bereichs unmöglich
{BMT_RETURN_SIEGE_ENGINES_IN_FOREST}	Belagerungsmaschinen können nicht in Waldgebiete bewegt werden
{BMT_RETURN_SIEGE_ENGINES_IN_SETTLEMENTS}	Belagerungsmaschinen können nicht bewegt werden, wenn sie in Siedlungen sind
{BMT_RETURN_UNITS_ON_SIEGE_TOWER}		Die gewählten Einheiten können nicht auf Belagerungstürme bewegt werden
{BMT_RETURN_UNIT_ON_SIEGE_TOWER}		Die gewählte Einheit kann nicht auf Belagerungstürme bewegt werden
{BMT_RETURN_OBSTRUCTION}			Erreichen dieses Orts nicht möglich, da der Weg blockiert ist
{BMT_THIS_UNIT_IS_YET_TO_JOIN_BATTLE}	Die Einheit muss das Schlachtfeld noch erreichen
{BMT_PLAZA_PREVIOUS_BANNER_TOOLTIP}		Haltet die Piazza, bis der Zähler 0 erreicht, um die Siedlung einzunehmen
{BMT_PLAZA_CURRENT_BANNER_TOOLTIP}		Haltet die Piazza, bis der Zähler 0 erreicht, um die Siedlung einzunehmen
{BMT_ZOOM_TO_UNIT}				Einheit finden
{BMT_WITH_MIN_1_ALLY}				mit mindestens 1 verbündeten Soldaten
{BMT_WITH_MAX_1_ENEMY}				und höchstens 1 feindlichen Soldaten
{BMT_WITH_MAX_0_ENEMY}				und keinem feindlichen Soldaten
{BMT_WARCRY_SPECIAL_OFF}			Spezialfähigkeit: Schlachtruf verwenden
{BMT_RALLY_SPECIAL_OFF}				Spezialfähigkeit: Versuch, die Truppen zu sammeln

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 19/08/2004 16:05:00
¬*
¬****************************************************************************************
¬****************************************************************************************

{BMT_GROUP_FORMATION_2}		Sortierte Reihenformation: Einheiten in einer Reihe anordnen, schwere Infanterie in der Mitte, leichte Infanterie und Fernkampf-Truppen an den Flanken und Kavallerie auf dem Flügel

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 01/09/2004 09:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 03/09/2004 09:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

{BMT_CANNOT_MOVE_MULTIPLE_UNITS_ON_BRIDGES}	Mehrere Einheiten können nicht auf Brücken bewegt werden
{BMT_CANNOT_MOVE_ONTO_SIEGE_TOWERS}			Ziehen direkt auf Belagerungstürme nicht möglich
{BMT_CANNOT_MOVE_ON_WATER}				Ziehen aufs Wasser nicht möglich
{BMT_FIELD_CURRENT_BANNER_TOOLTIP}			Der Verteidiger gewinnt diese Schlacht, wenn die Zeit abgelaufen ist.
{BMT_NETWORK_STALL_DIALOG_TITLE}			Mögliche Verbindungsprobleme
{BMT_NETWORK_DROP_DROP_PLAYER}			Spieler rauswerfen?
{BMT_QUIT_FROM_NETWORK_DROP}				Spiel verlassen?

{BMT_THIS_UNIT_SELECTION_CANNOT_EQUIP}	Die gewählte Einheit kann dieses Objekt nicht benutzen.
{BMT_THESE_UNITS_CANNOT_EQUIP}		Die gewählten Einheiten können dieses Objekt nicht benutzen.



¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
¬*******************************************************************************************************
¬*******************************************************************************************************
¬*
¬*			EXPANSION PACK TEXT BEGINS HERE!!!
¬*		ALL TEXT BELOW THIS LINE SHOULD BE EXPANSION ADDITIONS/CHANGES ONLY!!!
¬*
¬*¬***** Changes made after 05/01/2005 15:18:00
¬*
¬*******************************************************************************************************
¬*******************************************************************************************************
¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

{BMT_SCHILTROM}		Spezialfähigkeit: Schiltron-Formation
{BMT_SCHILTROM_OFF}		Spezialfähigkeit deaktivieren: Schiltron-Formation auflösen
{BMT_SHIELD_WALL_SPECIAL_OFF}	Spezialfähigkeit deaktivieren: Schildmauer-Formation auflösen
{BMT_ACT_BERSERK}		Berserker
{BMT_MOR_BESERK}		Heroisch
{BMT_STATE_BERSERK}		Berserkerangriff

{BMT_CHANT_SPECIAL}		Spezialfähigkeit: Druidengesang
{BMT_CHANT_SPECIAL_OFF}	Spezialfähigkeit deaktivieren: Druidengesang stoppen

¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
¬*******************************************************************************************************
¬*******************************************************************************************************
¬*
¬*			CHANGES BENEATH THIS LINE!!!
¬*		
¬*
¬*			Only changes made after 18/04/2005 12:45:00
¬*
¬*******************************************************************************************************
¬*******************************************************************************************************
¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

{BMT_STATE_SWIMMING}		Schwimmt
{BMT_DISABLE_AI_GROUPING}	Gruppe der KI-Hilfe entziehen

¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
¬*******************************************************************************************************
¬*******************************************************************************************************
¬*
¬*			CHANGES BENEATH THIS LINE!!!
¬*		
¬*
¬*			Only changes made after 27/06/2005 11:45:00
¬*
¬*******************************************************************************************************
¬*******************************************************************************************************
¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

{BMT_CONCERNED_GENERAL_JUST_FLED}	Beunruhigt wegen Flucht des Generals vom Schlachtfeld

¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
¬*******************************************************************************************************
¬*******************************************************************************************************
¬*
¬*			CHANGES BENEATH THIS LINE!!!
¬*		
¬*
¬*			Only changes made after 08/07/2005 17:40:00
¬*
¬*******************************************************************************************************
¬*******************************************************************************************************
¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++


¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
¬*******************************************************************************************************
¬*******************************************************************************************************
¬*
¬*			CHANGES BENEATH THIS LINE!!!
¬*		
¬*
¬*			Only changes made after 20/07/2005 12:22:00
¬*
¬*******************************************************************************************************
¬*******************************************************************************************************
¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
