¬Strings that use a base enumeration and add to it with a faction index to attain the proper string
¬ Alemannen, empire_east, empire_west, empire_east_rebels, empire_west_rebels, franks, huns, sarmatians, sassanids, saxons, vandals, goths, 
¬ white_huns, ostrogoths, romano_british, slavs, celts, slave

¬ Faction Names
{ROMANS_JULII}					Das Haus der Julier
{EMT_EMPIRE_WEST_VILLAGE}		Römisches Dorf (Westliches Reich)
{EMT_EMPIRE_WEST_TOWN}			Römische Ortschaft (Westliches Reich)
{EMT_EMPIRE_WEST_LARGE_TOWN}	Römische Kleinstadt (Westliches Reich)
{EMT_EMPIRE_WEST_CITY}			Römische Stadt (Westliches Reich)
{EMT_EMPIRE_WEST_LARGE_CITY}	Römische Großstadt (Westliches Reich)
{EMT_EMPIRE_WEST_HUGE_CITY}		Römische Metropole (Westliches Reich)
{EMT_EMPIRE_EAST_REBELS_VILLAGE}		Römisches Dorf (Östliches Reich-Rebellen)
{EMT_EMPIRE_EAST_REBELS_TOWN}			Römische Ortschaft (Östliches Reich-Rebellen)
{EMT_EMPIRE_EAST_REBELS_LARGE_TOWN}		Römische Kleinstadt (Östliches Reich-Rebellen)
{EMT_EMPIRE_EAST_REBELS_CITY}			Römische Stadt (Östliches Reich-Rebellen)
{EMT_EMPIRE_EAST_REBELS_LARGE_CITY}		Römische Großstadt (Östliches Reich-Rebellen)
{EMT_EMPIRE_EAST_REBELS_HUGE_CITY}		Römische Metropole (Östliches Reich-Rebellen)
{EMT_EMPIRE_WEST_REBELS_VILLAGE}		Römisches Dorf (Westliches Reich-Rebellen)
{EMT_EMPIRE_WEST_REBELS_TOWN}			Römische Ortschaft (Westliches Reich-Rebellen)
{EMT_EMPIRE_WEST_REBELS_LARGE_TOWN}		Römische Kleinstadt (Westliches Reich-Rebellen)
{EMT_EMPIRE_WEST_REBELS_CITY}			Römische Stadt (Westliches Reich-Rebellen)
{EMT_EMPIRE_WEST_REBELS_LARGE_CITY}		Römische Großstadt (Westliches Reich-Rebellen)
{EMT_EMPIRE_WEST_REBELS_HUGE_CITY}		Römische Metropole (Westliches Reich-Rebellen)
{EMT_FRANKS_VILLAGE}		Fränkisches Dorf
{EMT_FRANKS_TOWN}			Fränkische Ortschaft
{EMT_FRANKS_LARGE_TOWN}		Fränkische Kleinstadt
{EMT_FRANKS_CITY}			Fränkische Stadt
{EMT_FRANKS_LARGE_CITY}		Fränkische Großstadt
{EMT_FRANKS_HUGE_CITY}		Fränkische Metropole
{EMT_HUNS_VILLAGE}		Hunnisches Dorf
{EMT_HUNS_TOWN}			Hunnische Ortschaft
{EMT_HUNS_LARGE_TOWN}		Hunnische Kleinstadt
{EMT_HUNS_CITY}			Hunnische Stadt
{EMT_HUNS_LARGE_CITY}		Hunnische Großstadt
{EMT_HUNS_HUGE_CITY}		Hunnische Metropole
{EMT_SARMATIANS_VILLAGE}			Sarmatisches Dorf
{EMT_SARMATIANS_TOWN}				Sarmatische Ortschaft
{EMT_SARMATIANS_LARGE_TOWN}			Sarmatische Kleinstadt
{EMT_SARMATIANS_CITY}				Sarmatische Stadt
{EMT_SARMATIANS_LARGE_CITY}			Sarmatische Großstadt
{EMT_SARMATIANS_HUGE_CITY}			Sarmatische Metropole
{EMT_SASSANIDS_VILLAGE}			Sassanidisches Dorf
{EMT_SASSANIDS_TOWN}			Sassanidische Ortschaft
{EMT_SASSANIDS_LARGE_TOWN}		Sassanidische Kleinstadt
{EMT_SASSANIDS_CITY}			Sassanidische Stadt
{EMT_SASSANIDS_LARGE_CITY}		Sassanidische Großstadt
{EMT_SASSANIDS_HUGE_CITY}		Sassanidische Metropole
{EMT_SAXONS_VILLAGE}			Sächsisches Dorf
{EMT_SAXONS_TOWN}				Sächsische Ortschaft
{EMT_SAXONS_LARGE_TOWN}			Sächsische Kleinstadt
{EMT_SAXONS_CITY}				Sächsische Stadt
{EMT_SAXONS_LARGE_CITY}			Sächsische Großstadt
{EMT_SAXONS_HUGE_CITY}			Sächsische Metropole
{EMT_VANDALS_VILLAGE}			Wandalisches Dorf
{EMT_VANDALS_TOWN}				Wandalische Ortschaft
{EMT_VANDALS_LARGE_TOWN}		Wandalische Kleinstadt
{EMT_VANDALS_CITY}				Wandalische Stadt
{EMT_VANDALS_LARGE_CITY}		Wandalische Großstadt
{EMT_VANDALS_HUGE_CITY}			Wandalische Metropole
{EMT_GOTHS_VILLAGE}			Gotisches Dorf
{EMT_GOTHS_TOWN}			Gotische Ortschaft
{EMT_GOTHS_LARGE_TOWN}		Gotische Kleinstadt
{EMT_GOTHS_CITY}			Gotische Stadt
{EMT_GOTHS_LARGE_CITY}		Gotische Großstadt
{EMT_GOTHS_HUGE_CITY}		Gotische Metropole
{EMT_WHITE_HUNS_VILLAGE}		Weiß-hunnisches Dorf
{EMT_WHITE_HUNS_TOWN}			Weiß-hunnische Ortschaft
{EMT_WHITE_HUNS_LARGE_TOWN}		Weiß-hunnische Kleinstadt
{EMT_WHITE_HUNS_CITY}			Weiß-hunnische Stadt
{EMT_WHITE_HUNS_LARGE_CITY}		Weiß-hunnische Großstadt
{EMT_WHITE_HUNS_HUGE_CITY}		Weiß-hunnische Metropole
{EMT_OSTROGOTHS_VILLAGE}			Ostgotisches Dorf
{EMT_OSTROGOTHS_TOWN}				Ostgotische Ortschaft
{EMT_OSTROGOTHS_LARGE_TOWN}			Ostgotische Kleinstadt
{EMT_OSTROGOTHS_CITY}				Ostgotische Stadt
{EMT_OSTROGOTHS_LARGE_CITY}			Ostgotische Großstadt
{EMT_OSTROGOTHS_HUGE_CITY}			Ostgotische Metropole
{EMT_ROMANO_BRITISH_VILLAGE}			Romano-britisches Dorf
{EMT_ROMANO_BRITISH_TOWN}				Romano-britische Ortschaft
{EMT_ROMANO_BRITISH_LARGE_TOWN}			Romano-britische Kleinstadt
{EMT_ROMANO_BRITISH_CITY}				Romano-britische Stadt
{EMT_ROMANO_BRITISH_LARGE_CITY}			Romano-britische Großstadt
{EMT_ROMANO_BRITISH_HUGE_CITY}			Romano-britische Metropole
{EMT_SLAVS_VILLAGE}			Slawisches Dorf
{EMT_SLAVS_TOWN}			Slawische Ortschaft
{EMT_SLAVS_LARGE_TOWN}		Slawische Kleinstadt
{EMT_SLAVS_CITY}			Slawische Stadt
{EMT_SLAVS_LARGE_CITY}		Slawische Großstadt
{EMT_SLAVS_HUGE_CITY}		Slawische Metropole
{EMT_CELTS_VILLAGE}			Keltisches Dorf
{EMT_CELTS_TOWN}			Keltische Ortschaft
{EMT_CELTS_LARGE_TOWN}		Keltische Kleinstadt
{EMT_CELTS_CITY}			Keltische Stadt
{EMT_CELTS_LARGE_CITY}		Keltische Großstadt
{EMT_CELTS_HUGE_CITY}		Keltische Metropole

{EMT_BERBERS_VILLAGE}			Berberisches Dorf
{EMT_BERBERS_TOWN}			Berberische Ortschaft
{EMT_BERBERS_LARGE_TOWN}		Berberische Kleinstadt
{EMT_BERBERS_CITY}			Berberische Stadt
{EMT_BERBERS_LARGE_CITY}		Berberische Großstadt
{EMT_BERBERS_HUGE_CITY}		Berberische Metropole

{EMT_MOORS_VILLAGE}			Maurisches Dorf
{EMT_MOORS_TOWN}			Maurische Ortschaft
{EMT_MOORS_LARGE_TOWN}		Maurische Kleinstadt
{EMT_MOORS_CITY}			Maurische Stadt
{EMT_MOORS_LARGE_CITY}		Maurische Großstadt
{EMT_MOORS_HUGE_CITY}		Maurische Metropole

{EMT_ROMANS_JULII_CAPITAL}					Römische Hauptstadt (Julier)
{EMT_ROMANS_BRUTII_CAPITAL}					Römische Hauptstadt (Bruti)
{EMT_ROMANS_SCIPII_CAPITAL}					Römische Hauptstadt (Scipionen)
{EMT_ROMANS_SENATE_CAPITAL}					Römische Hauptstadt (Senat)
{EMT_MACEDON_CAPITAL}					Makedonische Hauptstadt
{EMT_EGYPT_CAPITAL}					Ägyptische Hauptstadt
{EMT_SELEUCID_CAPITAL}					Seleukidische Hauptstadt
{EMT_CARTHAGE_CAPITAL}					Karthagische Hauptstadt
{EMT_PARTHIA_CAPITAL}					Parthische Hauptstadt
{EMT_PONTUS_CAPITAL}					Pontische Hauptstadt
{EMT_GAULS_CAPITAL}					Gallische Hauptstadt
{EMT_GERMANS_CAPITAL}					Germanische Hauptstadt
{EMT_BRITONS_CAPITAL}					Britannische Hauptstadt
{EMT_ARMENIA_CAPITAL}					Armenische Hauptstadt
{EMT_DACIA_CAPITAL}					Dakische Hauptstadt
{EMT_GREEK_CITIES_CAPITAL}					Griechische Hauptstadt
{EMT_NUMIDIA_CAPITAL}					Numidische Hauptstadt
{EMT_SCYTHIA_CAPITAL}					Skythische Hauptstadt
{EMT_SPAIN_CAPITAL}					Spanische Hauptstadt
{EMT_THRACE_CAPITAL}					Thrakische Hauptstadt
{EMT_ALEMANNI_CAPITAL}		Alemannische Hauptstadt
{EMT_EMPIRE_EAST_CAPITAL}		Römische Hauptstadt (Östliches Reich)
{EMT_EMPIRE_WEST_CAPITAL}		Römische Hauptstadt (Westliches Reich)
{EMT_EMPIRE_EAST_REBELS_CAPITAL}		Römische Hauptstadt (Östliches Reich-Rebellen)
{EMT_EMPIRE_WEST_REBELS_CAPITAL}		Römische Hauptstadt (Westliches Reich-Rebellen)
{EMT_FRANKS_CAPITAL}		Fränkische Hauptstadt
{EMT_HUNS_CAPITAL}		Hunnische Hauptstadt
{EMT_SARMATIANS_CAPITAL}			Sarmatische Hauptstadt
{EMT_SASSANIDS_CAPITAL}			Sassanidische Hauptstadt
{EMT_SAXONS_CAPITAL}			Sächsische Hauptstadt
{EMT_VANDALS_CAPITAL}			Wandalische Hauptstadt
{EMT_GOTHS_CAPITAL}			Gotische Hauptstadt
{EMT_WHITE_HUNS_CAPITAL}		Weiß-hunnische Hauptstadt
{EMT_OSTROGOTHS_CAPITAL}			Ostgotische Hauptstadt
{EMT_ROMANO_BRITISH_CAPITAL}			Romano-britische Hauptstadt
{EMT_SLAVS_CAPITAL}			Slawische Hauptstadt
{EMT_SLAVE_CAPITAL}					Rebellen-Hauptstadt
{EMT_CELTS_CAPITAL}				Keltische Hauptstadt
{EMT_BERBERS_CAPITAL}				Berberische Hauptstadt
{EMT_MOORS_CAPITAL}				Maurische Hauptstadt



{EMT_ROMANS_JULII_FORT}					Römisches Fort (Julier)
{EMT_ROMANS_BRUTII_FORT}					Römisches Fort (Bruti)
{EMT_ROMANS_SCIPII_FORT}					Römisches Fort (Scipionen)
{EMT_ROMANS_SENATE_FORT}					Römisches Fort (Senat)
{EMT_MACEDON_FORT}					Makedonisches Fort
{EMT_EGYPT_FORT}					Ägyptisches Fort
{EMT_SELEUCID_FORT}					Seleukidisches Fort
{EMT_CARTHAGE_FORT}					Karthagisches Fort
{EMT_PARTHIA_FORT}					Parthisches Fort
{EMT_PONTUS_FORT}					Pontisches Fort
{EMT_GAULS_FORT}					Gallisches Fort
{EMT_GERMANS_FORT}					Germanisches Fort
{EMT_BRITONS_FORT}					Britannisches Fort
{EMT_ARMENIA_FORT}					Armenisches Fort
{EMT_DACIA_FORT}					Dakisches Fort
{EMT_GREEK_CITIES_FORT}					Griechisches Fort
{EMT_NUMIDIA_FORT}					Numidisches Fort
{EMT_SCYTHIA_FORT}					Skythisches Fort
{EMT_SPAIN_FORT}					Spanisches Fort
{EMT_THRACE_FORT}					Thrakisches Fort
{EMT_ALEMANNI_FORT}			Alemannisches Fort
{EMT_EMPIRE_EAST_FORT}			Römisches Fort (Östliches Reich)
{EMT_EMPIRE_WEST_FORT}			Römisches Fort (Westliches Reich)
{EMT_EMPIRE_EAST_REBELS_FORT}			Römisches Fort (Östliches Reich-Rebellen)
{EMT_EMPIRE_WEST_REBELS_FORT}			Römisches Fort (Westliches Reich-Rebellen)
{EMT_FRANKS_FORT}			Fränkisches Fort
{EMT_HUNS_FORT}			Hunnisches Fort
{EMT_SARMATIANS_FORT}				Sarmatisches Fort
{EMT_SASSANIDS_FORT}			Sassanidisches Fort
{EMT_SAXONS_FORT}				Sächsisches Fort
{EMT_VANDALS_FORT}				Wandalisches Fort
{EMT_GOTHS_FORT}			Gotisches Fort
{EMT_WHITE_HUNS_FORT}			Weiß-hunnisches Fort
{EMT_OSTROGOTHS_FORT}				Ostgotisches Fort
{EMT_ROMANO_BRITISH_FORT}				Romano-britisches Fort
{EMT_SLAVS_FORT}			Slawisches Fort
{EMT_SLAVE_FORT}					Rebellen-Fort
{EMT_CELTS_FORT}			Keltisches Fort
{EMT_BERBERS_FORT}		Berberisches Fort
{EMT_MOORS_FORT}			Maurisches Fort

{EMT_ROMANS_JULII_PORT}					Römischer Hafen (Julier)
{EMT_ROMANS_BRUTII_PORT}					Römischer Hafen (Bruti)
{EMT_ROMANS_SCIPII_PORT}					Römischer Hafen (Scipionen)
{EMT_ROMANS_SENATE_PORT}					Römischer Hafen (Senat)
{EMT_MACEDON_PORT}					Makedonischer Hafen
{EMT_EGYPT_PORT}					Ägyptischer Hafen
{EMT_SELEUCID_PORT}					Seleukidischer Hafen
{EMT_CARTHAGE_PORT}					Karthagischer Hafen
{EMT_PARTHIA_PORT}					Parthischer Hafen
{EMT_PONTUS_PORT}					Pontischer Hafen
{EMT_GAULS_PORT}					Gallischer Hafen
{EMT_GERMANS_PORT}					Germanischer Hafen
{EMT_BRITONS_PORT}					Britannischer Hafen
{EMT_ARMENIA_PORT}					Armenischer Hafen
{EMT_DACIA_PORT}					Dakischer Hafen
{EMT_GREEK_CITIES_PORT}					Griechischer Hafen
{EMT_NUMIDIA_PORT}					Numidischer Hafen
{EMT_SCYTHIA_PORT}					Skythischer Hafen
{EMT_SPAIN_PORT}					Spanischer Hafen
{EMT_THRACE_PORT}					Thrakischer Hafen
{EMT_ALEMANNI_PORT}			Alemannischer Hafen
{EMT_EMPIRE_EAST_PORT}			Römischer Hafen (Östliches Reich)
{EMT_EMPIRE_WEST_PORT}			Römischer Hafen (Westliches Reich)
{EMT_EMPIRE_EAST_REBELS_PORT}			Römischer Hafen (Östliches Reich-Rebellen)
{EMT_EMPIRE_WEST_REBELS_PORT}			Römischer Hafen (Westliches Reich-Rebellen)
{EMT_FRANKS_PORT}			Fränkischer Hafen
{EMT_HUNS_PORT}			Hunnischer Hafen
{EMT_SARMATIANS_PORT}				Sarmatischer Hafen
{EMT_SASSANIDS_PORT}			Sassanidischer Hafen
{EMT_SAXONS_PORT}				Sächsischer Hafen
{EMT_VANDALS_PORT}				Wandalischer Hafen
{EMT_GOTHS_PORT}			Gotischer Hafen
{EMT_WHITE_HUNS_PORT}			Weiß-hunnischer Hafen
{EMT_OSTROGOTHS_PORT}				Ostgotischer Hafen
{EMT_ROMANO_BRITISH_PORT}				Romano-britischer Hafen
{EMT_SLAVS_PORT}			Slawischer Hafen
{EMT_SLAVE_PORT}					Rebellen-Hafen
{EMT_CELTS_PORT}			Keltischer Hafen
{EMT_BERBERS_PORT}		Berberischer Hafen
{EMT_MOORS_PORT}			Maurischer Hafen

{EMT_ROMANS_JULII_DOCK}					Römische Werft (Julier)
{EMT_ROMANS_BRUTII_DOCK}					Römische Werft (Bruti)
{EMT_ROMANS_SCIPII_DOCK}					Römische Werft (Scipionen)
{EMT_ROMANS_SENATE_DOCK}					Römische Werft (Senat)
{EMT_MACEDON_DOCK}					Makedonische Werft
{EMT_EGYPT_DOCK}					Ägyptische Werft
{EMT_SELEUCID_DOCK}					Seleukidische Werft
{EMT_CARTHAGE_DOCK}					Karthagische Werft
{EMT_PARTHIA_DOCK}					Parthische Werft
{EMT_PONTUS_DOCK}					Pontische Werft
{EMT_GAULS_DOCK}					Gallische Werft
{EMT_GERMANS_DOCK}					Germanische Werft
{EMT_BRITONS_DOCK}					Britannische Werft
{EMT_ARMENIA_DOCK}					Armenische Werft
{EMT_DACIA_DOCK}					Dakische Werft
{EMT_GREEK_CITIES_DOCK}					Griechische Werft
{EMT_NUMIDIA_DOCK}					Numidische Werft
{EMT_SCYTHIA_DOCK}					Skythische Werft
{EMT_SPAIN_DOCK}					Spanische Werft
{EMT_THRACE_DOCK}					Thrakische Werft
{EMT_ALEMANNI_DOCK}				Alemannische Werft
{EMT_EMPIRE_EAST_DOCK}				Römische Werft (Östliches Reich)
{EMT_EMPIRE_WEST_DOCK}				Römische Werft (Westliches Reich)
{EMT_EMPIRE_EAST_REBELS_DOCK}				Römische Werft (Östliches Reich-Rebellen)
{EMT_EMPIRE_WEST_REBELS_DOCK}				Römische Werft (Westliches Reich-Rebellen)
{EMT_FRANKS_DOCK}					Fränkische Werft
{EMT_HUNS_DOCK}				Hunnische Werft
{EMT_SARMATIANS_DOCK}				Sarmatische Werft
{EMT_SASSANIDS_DOCK}				Sassanidische Werft
{EMT_SAXONS_DOCK}					Sächsische Werft
{EMT_VANDALS_DOCK}					Wandalische Werft
{EMT_GOTHS_DOCK}				Gotische Werft
{EMT_WHITE_HUNS_DOCK}				Weiß-hunnische Werft
{EMT_OSTROGOTHS_DOCK}				Ostgotische Werft
{EMT_ROMANO_BRITISH_DOCK}			Romano-britische Werft
{EMT_SLAVS_DOCK}					Slawische Werft
{EMT_SLAVE_DOCK}					Rebellen-Werft
{EMT_CELTS_DOCK}					Keltische Werft
{EMT_BERBERS_DOCK}		Berberische Werft
{EMT_MOORS_DOCK}			Maurische Werft


{EMT_ROMANS_JULII_FISHING_VILLAGE}					Römisches Fischerdorf (Julier)
{EMT_ROMANS_BRUTII_FISHING_VILLAGE}					Römisches Fischerdorf (Bruti)
{EMT_ROMANS_SCIPII_FISHING_VILLAGE}					Römisches Fischerdorf (Scipionen)
{EMT_ROMANS_SENATE_FISHING_VILLAGE}					Römisches Fischerdorf (Senat)
{EMT_MACEDON_FISHING_VILLAGE}					Makedonisches Fischerdorf
{EMT_EGYPT_FISHING_VILLAGE}					Ägyptisches Fischerdorf
{EMT_SELEUCID_FISHING_VILLAGE}					Seleukidisches Fischerdorf
{EMT_CARTHAGE_FISHING_VILLAGE}					Karthagisches Fischerdorf
{EMT_PARTHIA_FISHING_VILLAGE}					Parthisches Fischerdorf
{EMT_PONTUS_FISHING_VILLAGE}					Pontisches Fischerdorf
{EMT_GAULS_FISHING_VILLAGE}					Gallisches Fischerdorf
{EMT_GERMANS_FISHING_VILLAGE}					Germanisches Fischerdorf
{EMT_BRITONS_FISHING_VILLAGE}					Britannisches Fischerdorf
{EMT_ARMENIA_FISHING_VILLAGE}					Armenisches Fischerdorf
{EMT_DACIA_FISHING_VILLAGE}					Dakisches Fischerdorf
{EMT_GREEK_CITIES_FISHING_VILLAGE}					Griechisches Fischerdorf
{EMT_NUMIDIA_FISHING_VILLAGE}					Numidisches Fischerdorf
{EMT_SCYTHIA_FISHING_VILLAGE}					Skythisches Fischerdorf
{EMT_SPAIN_FISHING_VILLAGE}					Spanisches Fischerdorf
{EMT_THRACE_FISHING_VILLAGE}					Thrakisches Fischerdorf
{EMT_ALEMANNI_FISHING_VILLAGE}	Alemannisches Fischerdorf
{EMT_EMPIRE_EAST_FISHING_VILLAGE}	Römisches Fischerdorf (Östliches Reich)
{EMT_EMPIRE_WEST_FISHING_VILLAGE}	Römisches Fischerdorf (Westliches Reich)
{EMT_EMPIRE_EAST_REBELS_FISHING_VILLAGE}	Römisches Fischerdorf (Östliches Reich-Rebellen)
{EMT_EMPIRE_WEST_REBELS_FISHING_VILLAGE}	Römisches Fischerdorf (Westliches Reich-Rebellen)
{EMT_FRANKS_FISHING_VILLAGE}	Fränkisches Fischerdorf
{EMT_HUNS_FISHING_VILLAGE}	Hunnisches Fischerdorf
{EMT_SARMATIANS_FISHING_VILLAGE}	Sarmatisches Fischerdorf
{EMT_SASSANIDS_FISHING_VILLAGE}	Sassanidisches Fischerdorf
{EMT_SAXONS_FISHING_VILLAGE}	Sächsisches Fischerdorf
{EMT_VANDALS_FISHING_VILLAGE}	Wandalisches Fischerdorf
{EMT_GOTHS_FISHING_VILLAGE}	Gotisches Fischerdorf
{EMT_WHITE_HUNS_FISHING_VILLAGE}	Weiß-hunnisches Fischerdorf
{EMT_OSTROGOTHS_FISHING_VILLAGE}	Ostgotisches Fischerdorf
{EMT_ROMANO_BRITISH_FISHING_VILLAGE}	Romano-britisches Fischerdorf
{EMT_SLAVS_FISHING_VILLAGE}			Slawisches Fischerdorf
{EMT_SLAVE_FISHING_VILLAGE}					Rebellen-Fischerdorf
{EMT_CELTS_FISHING_VILLAGE}			Keltisches Fischerdorf
{EMT_BERBERS_FISHING_VILLAGE}					Berberisches Fischerdorf
{EMT_MOORS_FISHING_VILLAGE}			Maurisches Fischerdorf

{EMT_ROMANS_JULII_WATCHTOWER}					Römischer Wachturm (Julier)
{EMT_ROMANS_BRUTII_WATCHTOWER}					Römischer Wachturm (Bruti)
{EMT_ROMANS_SCIPII_WATCHTOWER}					Römischer Wachturm (Scipionen)
{EMT_ROMANS_SENATE_WATCHTOWER}					Römischer Wachturm (Senat)
{EMT_MACEDON_WATCHTOWER}					Makedonischer Wachturm
{EMT_EGYPT_WATCHTOWER}					Ägyptischer Wachturm
{EMT_SELEUCID_WATCHTOWER}					Seleukidischer Wachturm
{EMT_CARTHAGE_WATCHTOWER}					Karthagischer Wachturm
{EMT_PARTHIA_WATCHTOWER}					Parthischer Wachturm
{EMT_PONTUS_WATCHTOWER}					Pontischer Wachturm
{EMT_GAULS_WATCHTOWER}					Gallischer Wachturm
{EMT_GERMANS_WATCHTOWER}					Germanischer Wachturm
{EMT_BRITONS_WATCHTOWER}					Britannischer Wachturm
{EMT_ARMENIA_WATCHTOWER}					Armenischer Wachturm
{EMT_DACIA_WATCHTOWER}					Dakischer Wachturm
{EMT_GREEK_CITIES_WATCHTOWER}					Griechischer Wachturm
{EMT_NUMIDIA_WATCHTOWER}					Numidischer Wachturm
{EMT_SCYTHIA_WATCHTOWER}					Skythischer Wachturm
{EMT_SPAIN_WATCHTOWER}					Spanischer Wachturm
{EMT_THRACE_WATCHTOWER}					Thrakischer Wachturm
{EMT_ALEMANNI_WATCHTOWER}	Alemannischer Wachturm
{EMT_EMPIRE_EAST_WATCHTOWER}	Römischer Wachturm (Östliches Reich)
{EMT_EMPIRE_WEST_WATCHTOWER}	Römischer Wachturm (Westliches Reich)
{EMT_EMPIRE_EAST_REBELS_WATCHTOWER}	Römischer Wachturm (Östliches Reich-Rebellen)
{EMT_EMPIRE_WEST_REBELS_WATCHTOWER}	Römischer Wachturm (Westliches Reich-Rebellen)
{EMT_FRANKS_WATCHTOWER}		Fränkischer Wachturm
{EMT_HUNS_WATCHTOWER}		Hunnischer Wachturm
{EMT_SARMATIANS_WATCHTOWER}			Sarmatischer Wachturm
{EMT_SASSANIDS_WATCHTOWER}		Sassanidischer Wachturm
{EMT_SAXONS_WATCHTOWER}			Sächsischer Wachturm
{EMT_VANDALS_WATCHTOWER}		Wandalischer Wachturm
{EMT_GOTHS_WATCHTOWER}		Gotischer Wachturm
{EMT_WHITE_HUNS_WATCHTOWER}	Weiß-hunnischer Wachturm
{EMT_OSTROGOTHS_WATCHTOWER}			Ostgotischer Wachturm
{EMT_ROMANO_BRITISH_WATCHTOWER}			Romano-britischer Wachturm
{EMT_SLAVS_WATCHTOWER}		Slawischer Wachturm
{EMT_SLAVE_WATCHTOWER}					Rebellen-Wachturm
{EMT_CELTS_WATCHTOWER}				Keltischer Wachturm
{EMT_BERBERS_WATCHTOWER}			Berberischer Wachturm
{EMT_MOORS_WATCHTOWER}				Maurischer Wachturm


{EMT_ROMANS_JULII_FACTION_LEADER}					Römischer Anführer (Julier)
{EMT_ROMANS_BRUTII_FACTION_LEADER}					Römischer Anführer (Bruti)
{EMT_ROMANS_SCIPII_FACTION_LEADER}					Römischer Anführer (Scipionen)
{EMT_ROMANS_SENATE_FACTION_LEADER}					Römischer Anführer (Senat)
{EMT_MACEDON_FACTION_LEADER}					Makedonischer Anführer
{EMT_EGYPT_FACTION_LEADER}					Ägyptischer Anführer
{EMT_SELEUCID_FACTION_LEADER}					Seleukidischer Anführer
{EMT_CARTHAGE_FACTION_LEADER}					Karthagischer Anführer
{EMT_PARTHIA_FACTION_LEADER}					Parthischer Anführer
{EMT_PONTUS_FACTION_LEADER}					Pontischer Anführer
{EMT_GAULS_FACTION_LEADER}					Gallischer Anführer
{EMT_GERMANS_FACTION_LEADER}					Germanischer Anführer
{EMT_BRITONS_FACTION_LEADER}					Britannischer Anführer
{EMT_ARMENIA_FACTION_LEADER}					Armenischer Anführer
{EMT_DACIA_FACTION_LEADER}					Dakischer Anführer
{EMT_GREEK_CITIES_FACTION_LEADER}					Griechischer Anführer
{EMT_NUMIDIA_FACTION_LEADER}					Numidischer Anführer
{EMT_SCYTHIA_FACTION_LEADER}					Skythischer Anführer
{EMT_SPAIN_FACTION_LEADER}					Spanischer Anführer
{EMT_THRACE_FACTION_LEADER}					Thrakischer Anführer
{EMT_ALEMANNI_FACTION_LEADER}		Alemannischer Anführer
{EMT_EMPIRE_EAST_FACTION_LEADER}	Römischer Anführer (Östliches Reich)
{EMT_EMPIRE_WEST_FACTION_LEADER}	Römischer Anführer (Westliches Reich)
{EMT_EMPIRE_EAST_REBELS_FACTION_LEADER}	Römischer Anführer (Östliches Reich-Rebellen)
{EMT_EMPIRE_WEST_REBELS_FACTION_LEADER}	Römischer Anführer (Westliches Reich-Rebellen)
{EMT_FRANKS_FACTION_LEADER}			Fränkischer Anführer
{EMT_HUNS_FACTION_LEADER}		Hunnischer Anführer
{EMT_SARMATIANS_FACTION_LEADER}		Sarmatischer Anführer
{EMT_SASSANIDS_FACTION_LEADER}		Sassanidischer Anführer
{EMT_SAXONS_FACTION_LEADER}			Sächsischer Anführer
{EMT_VANDALS_FACTION_LEADER}		Wandalischer Anführer
{EMT_GOTHS_FACTION_LEADER}		Gotischer Anführer
{EMT_WHITE_HUNS_FACTION_LEADER}		Weiß-hunnischer Anführer
{EMT_OSTROGOTHS_FACTION_LEADER}		Ostgotischer Anführer
{EMT_ROMANO_BRITISH_FACTION_LEADER}	Romano-britischer Anführer
{EMT_SLAVS_FACTION_LEADER}			Slawischer Anführer
{EMT_SLAVE_FACTION_LEADER}					Rebellen-Anführer
{EMT_CELTS_FACTION_LEADER}			Keltischer Anführer
{EMT_BERBERS_FACTION_LEADER}			Berberischer Anführer
{EMT_MOORS_FACTION_LEADER}			Maurischer Anführer

{EMT_ROMANS_JULII_FACTION_HEIR}					Römischer Erbe (Julier)
{EMT_ROMANS_BRUTII_FACTION_HEIR}					Römischer Erbe (Bruti)
{EMT_ROMANS_SCIPII_FACTION_HEIR}					Römischer Erbe (Scipionen)
{EMT_ROMANS_SENATE_FACTION_HEIR}					Römischer Erbe (Senat)
{EMT_MACEDON_FACTION_HEIR}					Makedonischer Erbe
{EMT_EGYPT_FACTION_HEIR}					Ägyptischer Erbe
{EMT_SELEUCID_FACTION_HEIR}					Seleukidischer Erbe
{EMT_CARTHAGE_FACTION_HEIR}					Karthagischer Erbe
{EMT_PARTHIA_FACTION_HEIR}					Parthischer Erbe
{EMT_PONTUS_FACTION_HEIR}					Pontischer Erbe
{EMT_GAULS_FACTION_HEIR}					Gallischer Erbe
{EMT_GERMANS_FACTION_HEIR}					Germanischer Erbe
{EMT_BRITONS_FACTION_HEIR}					Britannischer Erbe
{EMT_ARMENIA_FACTION_HEIR}					Armenischer Erbe
{EMT_DACIA_FACTION_HEIR}					Dakischer Erbe
{EMT_GREEK_CITIES_FACTION_HEIR}					Griechischer Erbe
{EMT_NUMIDIA_FACTION_HEIR}					Numidischer Erbe
{EMT_SCYTHIA_FACTION_HEIR}					Skythischer Erbe
{EMT_SPAIN_FACTION_HEIR}					Spanischer Erbe
{EMT_THRACE_FACTION_HEIR}					Thrakischer Erbe
{EMT_ALEMANNI_FACTION_HEIR}			Alemannischer Erbe
