¬ Text file converted with loc_parser
{SMT_CULTURE_ROMAN}				Römisch
{SMT_YOUR_DEMANDS}						Eure Forderungen
{SMT_YOUR_OFFERS}						Eure Angebote
{SMT_THEIR_OFFERS}						Ihre Angebote
{SMT_THEIR_DEMANDS}						Ihre Forderungen
{SMT_GIVE_X_DENARI}						Gebt uns %d Denare.
{SMT_WE_WILL_GIVE_X_DENARI}					Wir geben %d Denare.
{SMT_GIVE_YEARLY_TRIBUTE_OF_X_DENARI}				Zahlt einen Tribut von %d Denaren je Runde.
{SMT_OFFER_YEARLY_TRIBUTE_OF_X_DENARI}				Wir zahlen einen Tribut von %d Denaren je Runde.
{SMT_CANCEL_YEARLY_TRIBUTE_OF_X_DENARI}			Den Tribut von %d Denaren beenden
{SMT_DIP_ACCEPT_OFFER}						Aktuellen Vorschlag annehmen
{SMT_DIP_DECLINE_OFFER}						Aktuellen Vorschlag ablehnen
{SMT_DIP_COUNTER_OFFER}					Gegenangebot für aktuellen Vorschlag abgeben
{SMT_DIP_NEW_OFFER}						Neues Angebot abgeben
{SMT_DIP_INIT_OFFER}						Angebot abgeben\nAngebote oder Forderungen offen lassen, um herauszufinden, was die Gegenseite im Austausch verlangen oder geben würde.
{SMT_DIP_MAKE_GIFT}						Objekte als Geschenk anbieten\nNur bestimmte Objekte können als Geschenke angeboten werden.
{SMT_DIP_INFORM}						Gegenseite von beendetem Vertragsverhältnis in Kenntnis setzen
{SMT_TRIBUTE_PAYED}						Gezahlter Tribut:
{SMT_TRIBUTE_RECIEVED}						Erhaltener Tribut:
{SMT_MILITARY_ACCESS_RECEIVED}					Militärischen Zugang erhalten
{SMT_MILITARY_ACCESS_GIVEN}					Militärischen Zugang vergeben
{SMT_TRADE_RIGHTS_GRANTED}					Handelsrechte vergeben
{SMT_ABILITIES_AT_A_GLANCE}					Fähigkeiten auf einen Blick
{SMT_DESCRIPTION}						Beschreibung
{SMT_UPGRADES}							Aufrüstungen
{SMT_X_MEN}							%d Männer
{SMT_YOUR_ARMY_HAS_X_BUILD_POINTS}				Eure Armee hat %d Baupunkte.
{SMT_SELECT_SIEGE_EQUIPMENT}					Belagerungsausrüstung für Bauliste wählen
{SMT_BUILT}							Gebaut
{SMT_ZOOM_TO_SETTLEMENT}					Siedlungsstandort finden
{SMT_ZOOM_TO_UNIT}						Standort der Armee der Einheit finden
{SMT_ZOOM_TO_CHARACTER}					Charakter-Standort finden
{SMT_OPEN_CONSTRUCTION_WINDOW}				Baufenster der gewählten Siedlung öffnen
{SMT_NOTHING_TO_CONSTRUCT}					In der gewählten Siedlung können keine Gebäude errichtet werden.
{SMT_OPEN_TRAINING_WINDOW}					Schriftrolle Ausbildung von Einheiten für gewählte Siedlung öffnen
{SMT_NOTHING_TO_TRAIN}						In der gewählten Siedlung können keine Einheiten rekrutiert werden.
{SMT_CURRENTLY_TRAINING}					Ausbildung im Gang
{SMT_OPEN_OPTIONS_WINDOW}					Spieloptionen einstellen
{SMT_OPEN_SENATE_WINDOW}					Senat-Informationsfenster öffnen
{SMT_OPEN_FINANCE_WINDOW}					Finanzfenster öffnen
{SMT_OPEN_DIPLOMACY_WINDOW}					Diplomatiestatus-Fenster öffnen
{SMT_FACTION_BUTTON_TOOLTIP}					Seiten-Übersichtsfenster öffnen\nMit rechter Maustaste Hauptstadt der Seite finden
{SMT_SELECTED_ITEM_TOOLTIP}					Aktuell gewähltes Objekt\nEinmal klicken, um das Objekt zu zentrieren
{SMT_BUILD_QUEUE_CONFLICT}					Dieses Gebäude befindet sich bereits in der Bauliste dieser Siedlung.
{SMT_BUILD_QUEUE_FULL}						Objekt kann nicht hinzugefügt werden, da die Bauliste voll ist.
{SMT_BUILD_QUEUE_INSUFFICIENT_FUNDS}				Gebäude kann nicht hinzugefügt werden, da das Geld nicht ausreicht.
{SMT_TRAINING_INSUFFICIENT_POPULACE}				Objekt kann nicht hinzugefügt werden, da in dieser Siedlung nicht genug Leute zum Rekrutieren sind.
{SMT_TRAINING_INSUFFICIENT_FUNDS}				Objekt kann nicht der Ausbildungsliste hinzugefügt werden, da das Geld nicht ausreicht.
{SMT_TRAINING_QUEUE_FULL}					Objekt kann nicht hinzugefügt werden, da die Ausbildungsliste voll ist.
{SMT_DIPLOMACY_SUMMARY}					Diplomatieübersicht
{SMT_WE_HAVE_MILITARY_ACCESS}					Wir haben militärischen Zugang.
{SMT_THEY_HAVE_MILITARY_ACCESS}				Sie haben militärischen Zugang.
{SMT_PAYING_YOU_TRIBUTE_X_PER_TURN}				Euch werden je Runde %d Denare als Tribut bezahlt.
{SMT_PAYING_THEM_TRIBUTE_X_PER_TURN}				Ihnen werden je Runde %d Denare als Tribut bezahlt.
{SMT_ASSISTANCE_REQUESTED_AGAINST}				Hilfe erbeten gegen
{SMT_ASSISTANCE_PROVIDED_AGAINST}				Hilfe geleistet gegen
{SMT_CONFIRM_OFFER}						Angebotsdetails bestätigen
{SMT_CANCEL_OFFER}						Angebotsdetails verwerfen
{SMT_OFFER_MONEY_TITLE}					Geld anbieten
{SMT_DEMAND_MONEY_TITLE}					Geld fordern
{SMT_AMOUNT_OF_DENARI}					Anzahl an Denaren
{SMT_OFFER_TRIBUTE_TITLE}					Tribut anbieten
{SMT_DEMAND_TRIBUTE}						Tribut fordern
{SMT_NUMBER_OF_YEARS}						Anzahl der Runden
{SMT_OR_UNTIL_FURTHER_NOTICE}					Oder bis auf weiteres
{SMT_UNTIL_FURTHER_NOTICE}					Bis auf weiteres
{SMT_DEMAND_ATTACK_ON_FACTION}				Angriff gegen Seite fordern
{SMT_OFFER_ATTACK_ON_FACTION}					Angriff gegen Seite anbieten
{SMT_WITHIN}							In 
{SMT_YEARS}							Runden
{SMT_GIVE}							Geben
{SMT_DEMAND_SETTLEMENT_TITLE}					Siedlungen fordern
{SMT_OFFER_SETTLEMENT_TITLE}					Siedlungen anbieten
{SMT_CITY}							Stadt
{SMT_CHARACTERS}						Charaktere
{SMT_STATUS}							Status
{SMT_CHARACTER_PERFORMED_TURNS_ACTION}			Der gewählte Charakter hat in dieser Runde eine Mission ausgeführt.
{SMT_TARGET_TILE_IS_IMPASSABLE}					Die Zielposition ist für diesen Charaktertyp ungültig.
{SMT_CANNOT_LEAVE_SIEGED_FORT}				Während einer Belagerung kann keiner das Fort verlassen, außer um die belagernde Armee anzugreifen.
{SMT_CANNOT_LEAVE_SIEGED_SETTLEMENT}				Während einer Belagerung kann keiner die Siedlung verlassen, außer um die belagernde Armee anzugreifen.
{SMT_CANNOT_LEAVE_ENEMIES_ZOC}				Verlassen der feindlichen Kontrollzone nicht möglich
{SMT_CHARACTER_DETAILS}					Charakterdetails
{SMT_ENEMY_CHARACTER_DETAILS}					Details Feind-Charakter
{SMT_NEUTRAL_CHARACTER_DETAILS}				Details neutraler Charakter
{SMT_ALLIED_CHARACTER_DETAILS}					Details verbündeter Charakter
{SMT_VICES}							Laster
{SMT_FACTION_SUMMARY}						Seitenübersicht
{SMT_FACTION_LEADER}						Anführer:
{SMT_HEIRS}							Erben:
{SMT_REGIONS_GAINED}						Erlangte Regionen:
{SMT_BATTLES_WON}						Gewonnene Schlachten:
{SMT_BATTLES_LOST}						Verlorene Schlachten:
{SMT_SHOW_FAMILY_TREE}					Stammbaum anzeigen
{SMT_SHOW_EVENT_LOG}						Ereignisjournal anzeigen
{SMT_FINANCIAL_SUMMARY}					Finanzübersicht
{SMT_INCOME}							Einnahmen
{SMT_EXPENDITURE}						Ausgaben
{SMT_FARMING}							Farmwesen
{SMT_RESOURCES}						Ressourcen
{SMT_TRADE}							Handel
{SMT_TAXES}							Steuern
{SMT_WAGES}							Sold
{SMT_PROJECTED_INCOME}						Geplante Gesamterträge
{SMT_PROJECTED_EXPENDITURE}					Geplante Gesamtausgaben
{SMT_PROJECTED_PROFIT}						Geplanter Gewinn
{SMT_TOTAL_INCOME}						Gesamterträge
{SMT_TOTAL_EXPENDITURE}					Gesamtausgaben
{SMT_TOTAL_PROFIT}						Gewinn
{SMT_ARMY_RECRUIT}						Rekrutierung
{SMT_CONSTRUCTION}						Bau
{SMT_DIPLOMACY}						Diplomatie
{SMT_TRIBUTE}							Tribute
{SMT_OTHER}							Sonstige
{SMT_SENATE_TRANSACTIONS}					Senat-Transaktionen
{SMT_EVENT_LOG}						Ereignisjournal
{SMT_OFFICE}							Amt
{SMT_CHARACTER}						Charakter
{SMT_SENATE_OFFICIALS}						Senatsbeamte
{SMT_SENATE_MISSIONS}						Senatsmissionen
{SMT_SHOW_SENATE_OFFICES}					Liste der Senatsposten anzeigen
{SMT_TIME_REMAINING}						Verbleibende Zeit
{SMT_TARGETS}							Ziele
{SMT_TARGET}							Ziel
{SMT_REWARD}							Belohnung
{SMT_PENALTY}							Strafe
{SMT_SETTLEMENT}						Siedlung
{SMT_TRADE_DETAILS}						Handelsdetails
{SMT_SHOW_TRADE_SUMMARY}					Schriftrolle Handelsübersicht dieser Siedlung anzeigen
{SMT_RESOURCE_GOLD}						Gold
{SMT_RESOURCE_SILVER}						Silber
{SMT_RESOURCE_IRON}						Eisen
{SMT_RESOURCE_POTTERY}						Töpferwaren
{SMT_RESOURCE_FURS}						Felle
{SMT_RESOURCE_GRAIN}						Korn
{SMT_RESOURCE_TIMBER}						Schnittholz
{SMT_RESOURCE_ELEPHANT}					Elefanten
{SMT_RESOURCE_CAMEL}						Kamele
{SMT_RESOURCE_DOG}						Hunde
{SMT_RESOURCE_PIG}						Schweine
{SMT_RESOURCE_OLIVE_OIL}					Olivenöl
{SMT_RESOURCE_WINE}						Wein
{SMT_RESOURCE_SLAVES}						Sklaven
{SMT_RESOURCE_GLASS}						Glas
{SMT_RESOURCE_MARBLE}						Marmor
{SMT_RESOURCE_TEXTILES}					Textilien
{SMT_RESOURCE_PURPLE_DYE}					Purpurnes Färbemittel
{SMT_RESOURCE_INCENSE}						Weihrauch
{SMT_RESOURCE_SILK}						Seide
{SMT_RESOURCE_WILD_ANIMALS}					Wilde Tiere
{SMT_RESOURCE_HIDES}						Häute
{SMT_RESOURCE_TIN}						Zinn
{SMT_RESOURCE_COPPER}						Kupfer
{SMT_RESOURCE_LEAD}						Blei
{SMT_RESOURCE_AMBER}						Bernstein
{SMT_HARVEST_POOR}						Schlechte Ernte
{SMT_HARVEST_NORMAL}						Durchschnittliche Ernte
{SMT_HARVEST_GOOD}						Gute Ernte
{SMT_HARVEST_EXCELLENT}					Ausgezeichnete Ernte
{SMT_MINING_INCOME}						Minenerträge
{SMT_FARM_INCOME}						Farmerträge
{SMT_FIND_SELECTED_CHARACTER}					Gewählten Charakter auf der Karte finden
{SMT_FAMILY_TREE_TITLE}						Stammbaum
{SMT_OWNED_BY}							Im Besitz von:
{SMT_WEAPON_ARMOUR_PIERCING}					Verwenden panzerbrechende Waffen
{SMT_WEAPON_BODY_PIERCING}					Verwenden Körper durchdringende Waffen
{SMT_WEAPON_PRECURSOR}					Verwenden zunächst Fernkampfwaffen
{SMT_WEAPON_AREA}						Waffe hat Bereichswirkung
{SMT_UNIT_IS_GENERAL}						Für einen General geeignete Einheit
{SMT_UNIT_IS_COMMAND}						Eine Kommandoeinheit
{SMT_UNIT_CAN_CONCEAL}						Können sich verstecken
{SMT_UNIT_IS_HARDY}						Sind zäh
{SMT_UNIT_IS_VERY_HARDY}					Sind sehr zäh
{SMT_UNIT_IS_HEAVY}						Sind eine schwere Einheit
{SMT_CAN_DO_TESTUDO}						Beherrschen Schildkröten-Formation
{SMT_CAN_DO_PHALANX}						Können Phalanx bilden
{SMT_GOOD_ON_SCRUB}						In Gestrüpp geeignet
{SMT_GOOD_ON_SAND}						In Wüsten geeignet
{SMT_GOOD_ON_FOREST}						In Wäldern geeignet
{SMT_GOOD_ON_SNOW}						Im Schnee geeignet
{SMT_BAD_ON_SCRUB}						In Gestrüpp ungeeignet
{SMT_BAD_ON_SAND}						In Wüsten ungeeignet
{SMT_BAD_ON_FOREST}						In Wäldern ungeeignet
{SMT_BAD_ON_SNOW}						Im Schnee ungeeignet
{SMT_UNCOVERED_HIDDEN_AGENT_IN_SETTLEMENT_TITLE}		Agent entdeckt
{SMT_UNCOVERED_HIDDEN_AGENT_IN_SETTLEMENT_DESCRIPTION}	Wir haben einen verräterischen und gefährlichen Spion in dieser Siedlung entdeckt. Kennen unsere Gegner keine Ehre?
{SMT_HIDDEN_AGENT_IN_SETTLEMENT_COMPROMISED_TITLE}		Agent aufgeflogen
{SMT_HIDDEN_AGENT_IN_SETTLEMENT_COMPROMISED_DESCRIPTION}	Unser Agent ist von den Verantwortlichen dieser Siedlung enttarnt worden. Wir müssen davon ausgehen, dass er tot ist. 
{SMT_APPOINT_TO_GOVERNOR_TITLE}				Statthalter ernannt
{SMT_APPOINT_TO_GOVERNOR_DESCRIPTION}				Dieser Mann ist zum neuen Statthalter ernannt worden.
{SMT_SETTLEMENT_BESIEGE_TITLE}					Siedlung wird belagert
{SMT_SETTLEMENT_BESIEGE_DESCRIPTION}				Diese Siedlung wird zurzeit belagert und ihr Volk leidet darunter. 
{SMT_SETTLEMENT_REVOLT_TITLE}					Siedlung revoltiert
{SMT_SETTLEMENT_REVOLT_DESCRIPTION}				Die Bürger dieser Siedlung revoltieren und zeigen damit ihre Undankbarkeit und Falschheit.
{SMT_SETTLEMENT_LOST_TITLE}					Siedlung verloren
{SMT_SETTLEMENT_LOST_DESCRIPTION}				Diese Siedlung ist nicht mehr unter unserer Kontrolle, was unserem Wohlstand und unserem Prestige schadet.
{SMT_SETTLEMENT_GAINED_TITLE}					Siedlung gewonnen
{SMT_SETTLEMENT_GAINED_DESCRIPTION}				Wir haben diese Siedlung unter unsere Kontrolle gebracht, was unseren Wohlstand und unser Prestige verbessert!
{SMT_NAVY_BLOCKADED_TITLE}					Blockade effektiv
{SMT_NAVY_BLOCKADED_DESCRIPTION}				Der maritime Handel leidet unter dieser Blockade.
{SMT_BIRTH_TITLE}						Geburt in der Familie
{SMT_BIRTH_DESCRIPTION}						Unsere Seite wurde mit der Geburt eines Kindes gesegnet. Mit der Zeit wird es heranwachsen und zum Ruhm unseres Volkes beitragen.
{SMT_ADOPTION_TITLE}						Adoption
{SMT_ADOPTION_DESCRIPTION}					Dieser Mann wurde in unsere Familie aufgenommen und wird unserem Namen durch seine Taten zu Ehre und Ruhm verhelfen.
{SMT_COMING_OF_AGE_TITLE}					Volljährigkeit
{SMT_COMING_OF_AGE_DESCRIPTION}				Dieser Mann ist volljährig geworden und kann nun seinen Beitrag zur guten Regierung leisten.
{SMT_MARRIAGE_TITLE}						Heirat
{SMT_MARRIAGE_DESCRIPTION}					Dieser Mann hat geheiratet und legt damit den Grundstein für die zukünftige Stärke unserer Familie.
{SMT_NATURAL_DEATH_TITLE}					Natürlicher Tod
{SMT_NATURAL_DEATH_DESCRIPTION}				Dieser Mann ist eines natürlichen Todes gestorben und gesellt sich nun zu unseren ruhmreichen Ahnen im Jenseits. 
{SMT_NEW_FACTION_LEADER_TITLE}					Neuer Anführer
{SMT_NEW_FACTION_LEADER_DESCRIPTION}				Ein neuer Anführer ist erschienen und hat nun alles unter Kontrolle. 
{SMT_NEW_FACTION_HEIR_TITLE}					Neuer Erbe
{SMT_NEW_FACTION_HEIR_DESCRIPTION}				Ein neuer Erbe der Seite ist erschienen, doch hoffen wird, dass er nicht allzu bald die Führung übernimmt.
{SMT_FACTION_DEFEATED_TITLE}					Seite besiegt
{SMT_FACTION_DEFEATED_DESCRIPTION}				Diese Seite wurde besiegt und muss uns keine Sorgen bereiten. 
{SMT_UNKNOWN}							Unbekannt
{SMT_UNKNOWN_UNIT}						Unbekannter Einheitentyp
{SMT_UNKNOWN_BUILDING}						Unbekannter Gebäudetyp
{SMT_ARMY_BREAKDOWN}						Armeeübersicht
{SMT_SHOW_ARMY_DETAILS}					Armeedetails einsehen
{SMT_SHOW_VNV_DETAILS}					Tugenden und Laster des Charakters einsehen
{SMT_TRAITS_UKNOWN}						Merkmale unbekannt
{SMT_STATUS_UNKNOWN}						Status unbekannt
{SMT_SPOTTED_BY}						Entdeckt von:
{SMT_WATCHTOWER}						Wachturm
{SMT_EXCHANGE_COMMANDING_OFFICER}				Kommandant einer Armee kann nicht transferiert werden.
{SMT_EXCHANGE_NO_MOVEMENT_POINTS}				Zu wenige Bewegungspunkte für den Transfer.
{SMT_EXCHANGE_NO_NAVY_PRESENT}				Schiff kann nicht transferiert werden, um Armee an Land zu bringen.
{SMT_EXCHANGE_SELECTED}					Mit dem Zusammenführen-Button oder durch Verschieben kann eine Karte in ein anderes Menü transferiert werden.
{SMT_EXCHANGE_UNSELECTED}					Eine Karte wählen, die in das andere Menü transferiert werden soll.
{SMT_EXCHANGE_NO_SELECTION}					Karten zum Transfer auswählen und mit Registerkarten unterschiedliche Kategorien einsehen.
{SMT_EXCHANGE_MERGE_OK}					Mit dem Zusammenführen-Button die gewählten Karten in ein anderes Menü transferieren.
{SMT_EXCHANGE_CAPACITY_EXCEEDED}				Gewählte Karten können nicht transferiert werden, da sonst die Kapazität überschritten wird. Wählt Karten in beiden Menüs, um sie zu tauschen.
{SMT_SHOW_MISSION_TARGET}					Position des Missionsziels anzeigen
{SMT_RALLY_POINTS}						Sammelpunkte
{SMT_RALLY_POINT}						Sammelpunkt
{SMT_CANNOT_MERGE_THIS_UNIT_SELECTION}			Diese Einheitenauswahl kann nicht ins andere Fenster transferiert werden.
{SMT_CANNOT_MERGE_THIS_CHARACTER_SELECTION}			Diese Charakterauswahl kann nicht ins andere Fenster transferiert werden.
{SMT_ZOOM_DOWN_TO_CITY}					Siedlung auf Schlachtkarte ansehen
{SMT_DESTROY_BUILDING}						Gebäude zerstören
{SMT_RETAINERS}							Gefolge
{SMT_RETAINERS_UNKNOWN}					Gefolge unbekannt
{SMT_SUCCESS_RATE}						Erfolgsrate
{SMT_SHOW_CHARACTER_TARGETS}					Potentielle Zielcharaktere anzeigen
{SMT_SHOW_BUILDING_TARGETS}					Potentielle Zielgebäude anzeigen
{SMT_ACCEPT_MISSION}						Mission annehmen
{SMT_BUILDING}							Gebäude
{SMT_MILITARY_FORCES}						Militärstreitkräfte
{SMT_NUM_SOLDIERS}						Soldaten
{SMT_ATTACK}							Angriff
{SMT_ATTACK_CHARGE}						Sturm
{SMT_ARMOUR}							Rüstung
{SMT_DEFENCE}							Verteidigung
{SMT_SHIELD}							Schild
{SMT_HP}							Trefferpunkte
{SMT_CREATION_COST}						Rekrutierkosten
{SMT_ARMY_STRENGTH_RATIO}					Armee-Stärkeverhältnis
{SMT_NAVY_STRENGTH_RATIO}					Flottenverband-Stärkeverhältnis
{SMT_PROTECTOR}						Protektor
{SMT_PROTECTORATES}						Protektorate
{SMT_YOU_ARE_PROTECTOR}					Ihr seid der Protektor dieser Seite.
{SMT_ENABLE_AUTO_TRAIN}					Automatische Einheitenausbildung zulassen
{SMT_ENABLE_AUTO_CONSTRUCT}					Automatische Gebäudekonstruktion zulassen
{SMT_AUTOMATE_ALL}						Gesamte Produktion automatisieren
{SMT_AI_SPEND_POLICY}						KI-Ausgabenpolitik
{SMT_SAVE}							Sparen
{SMT_SPEND}							Ausgeben
{SMT_CONSTRUCTION_OPTIONS}					Bauoptionen
{SMT_CONSTRUCTION_QUEUE}					Bauliste
{SMT_LAND_EXPORTS}						Landexporte
{SMT_SEA_EXPORTS}						Seeexporte
{SMT_IMPORTS}							Importe
{SMT_TRADE_INCOME}						Handelserträge
{SMT_RECRUITMENT_QUEUE}					Rekrutierliste
{SMT_DEFENSES}							Verteidigungsanlagen
{SMT_SIEGE_DETAILS}						Belagerungsdetails
{SMT_SETTLEMENT_HAS_FOOD_FOR_X_YEARS}			Diese Siedlung hat genug Nahrung für %d Jahre.
{SMT_FORT_HAS_FOOD_FOR_X_YEARS}				Dieses Fort hat genug Nahrung für %d Jahre.
{SMT_SETTLEMENT_HAS_FOOD_FOR_1_YEAR}				Diese Siedlung hat genug Nahrung für ein Jahr.
{SMT_FORT_HAS_FOOD_FOR_1_YEAR}				Dieses Fort hat genug Nahrung für ein Jahr.
{SMT_SETTLEMENT_HAS_NO_FOOD}					Diese Siedlung hat nur noch sehr wenig Nahrung auf Lager.
{SMT_FORT_HAS__NO_FOOD}					Dieses Fort hat nur noch sehr wenig Nahrung auf Lager.
{SMT_AUTOMANAGE_ALL_TOOLTIP}					Für jede Siedlung automatisch einen KI-Bauassistenten einsetzen
{SMT_ALLOW_BUILDING_TOOLTIP}					Dem Bauassistenten das Bauen von Gebäuden erlauben
{SMT_ALLOW_TROOP_PRODUCTION_TOOLTIP}				Dem Bauassistenten das Rekrutieren von Truppen erlauben
{SMT_SPEND_SLIDER_TOOLTIP}					Die für den Bauassistenten verfügbare Geldmenge bestimmen
{SMT_BUILDING_ADVICE}						Berater um Empfehlung bitten, welches Gebäude als Nächstes zu bauen ist
{SMT_RECRUITMENT_ADVICE}					Berater um Empfehlung bitten, welche Einheiten als Nächstes zu rekrutieren sind
{SMT_DAMAGE}							Schaden
{SMT_INVALID_RALLY_POINT_POSITION}				Dieser Ort ist nicht für einen Sammelpunkt geeignet
{SMT_CANNOT_PERFORM_MISSIONS_WITH_MULTIPLE_CHARACTERS}	Wenn mehrere Charaktere gewählt sind, kann keine Mission ausgeführt werden.
{SMT_OPEN_MERCENARY_RECRUITMENT}				Schriftrolle Söldner-Rekrutierung für gewählte Armee öffnen
{SMT_AVAILABLE_MERCENARIES}					Zum Anheuern verfügbare Söldner-Einheiten
{SMT_HIRE_ALL_QUEUED_UNITS}					Alle Einheiten der Liste anheuern
{SMT_NO_ROOM_FOR_MERCENARIES}					Es können keine Söldner angeheuert werden, da in der Armee kein Platz mehr ist.
{SMT_NO_MERCENARIES_AVAILABLE}					Zurzeit sind in dieser Region keine Söldner zum Rekrutieren verfügbar.
{SMT_CANNOT_AFFORD_THIS_MERCENARY}				Ihr könnt es Euch nicht leisten, diesen Söldner anzuheuern.
{SMT_ONLY_FAMILY_CAN_RECRUIT_MERCENARIES}			Nur Familienmitglieder können Söldner rekrutieren.
{SMT_ASSISTANCE_REQUESTED}					Hilfe wird erbeten
{SMT_WHICH_ALLY}						Verbündete Armee
{SMT_WHICH_ARMY_REQUESTED}					Hilfe wird erbeten von
{SMT_ACCEPT_ASSISTANCE_REQUEST}				Euer Verbündeter hat um Hilfe bei einer Schlacht gebeten. Wenn Ihr annehmt, wird Eure Armee seine auf dem Schlachtfeld verstärken. Wollt Ihr dieser Bitte entsprechen?
{SMT_ATTACKING_THIS_SETTLEMENT_WILL_BREAK_ALLIANCE}		Ihr seid zurzeit mit der Seite verbündet, der diese Siedlung gehört. Wenn Ihr jetzt angreift, wird das Bündnis gebrochen und der Krieg erklärt. Wollt Ihr wirklich fortfahren?
{SMT_ATTACKING_THIS_FORT_WILL_BREAK_ALLIANCE}			Ihr seid zurzeit mit der Seite verbündet, der dieses Fort gehört. Wenn Ihr jetzt angreift, wird das Bündnis gebrochen und der Krieg erklärt. Wollt Ihr wirklich fortfahren?
{SMT_ATTACKING_THIS_PORT_WILL_BREAK_ALLIANCE}			Ihr seid zurzeit mit der Seite verbündet, der dieser Hafen gehört. Wenn Ihr jetzt angreift, wird das Bündnis gebrochen und der Krieg erklärt. Wollt Ihr wirklich fortfahren?
{SMT_ATTACKING_THIS_ARMY_WILL_BREAK_ALLIANCE}			Ihr seid zurzeit mit der Seite verbündet, die diese Armee kontrolliert. Wenn Ihr jetzt angreift, wird das Bündnis gebrochen und der Krieg erklärt. Wollt Ihr wirklich fortfahren?
{SMT_ATTACKING_THIS_NAVY_WILL_BREAK_ALLIANCE}			Ihr seid zurzeit mit der Seite verbündet, die diesen Flottenverband kontrolliert. Wenn Ihr jetzt angreift, wird das Bündnis gebrochen und der Krieg erklärt. Wollt Ihr wirklich fortfahren?
{SMT_CANNOT_ATTACK_ALLY}					Ihr könnt Rom noch nicht angreifen. Ihr genießt noch nicht genug Unterstützung, um die Macht an Euch zu reißen. 
{SMT_CONFIRM_ATTACK_ON_ALLY}					Verbündeten angreifen?
{SMT_YOUR_FORCES}						Eure Truppen
{SMT_ENEMY_FORCES}						Feindliche Truppen
{SMT_AI_REINFORCEMENT}						Diese Armee wird von der KI gesteuert.
{SMT_REINFORCEMENTS}						Verstärkungen:
{SMT_BATTLE_DEPLOYMENT}					Schlachtaufstellung
{SMT_YOUR_ARMY_SALLIES_FORTH}					Ihr zieht aus, um Eurem Feind zu begegnen.
{SMT_ENEMY_SALLIES_FORTH}					Euer Feind zieht aus, um anzugreifen.
{SMT_RIGHT_CLICK_FOR_CHARACTER_INFO}				Ein Rechtsklick auf ein Porträt blendet vollständige Charakterinformationen und eine Armeeübersicht ein.
{SMT_FIELD_CONSTRUCTION}					Feldbauten
{SMT_PROVINCE}							Provinz:
{SMT_WATCHTOWER_DESCRIPTION}					Wachtürme verbessern die Sichtweite über feindlichem Gebiet.
{SMT_FORT_DESCRIPTION}						Forts bieten vorläufigen Schutz für Armeen, wenn sie unterwegs sind, und können strategische Positionen verteidigen.
{SMT_CANNOT_TRANSFER_GENERALS_UNIT}				Diese Einheit ist die Leibwache des Generals und kann nicht transferiert werden.
{SMT_FAMOUS_BATTLE_SITE}					Stätte einer berühmten Schlacht
{SMT_BATTLE_YEAR}						Jahr
{SMT_VICTOR}							Sieger
{SMT_LOSER}							Verlierer
{SMT_GAMES_FREQUENCY_YEARLY}					Jährliche Spiele
{SMT_GAMES_FREQUENCY_MONTHLY}				Monatliche Spiele
{SMT_GAMES_FREQUENCY_DAILY}					Tägliche Spiele
{SMT_RACES_FREQUENCY_YEARLY}					Jährliche Rennen
{SMT_RACES_FREQUENCY_MONTHLY}					Monatliche Rennen
{SMT_RACES_FREQUENCY_DAILY}					Tägliche Rennen
{SMT_GAMES_AND_RACES_FREQUENCY_YEARLY}			Jährliche Spiele & Rennen
{SMT_GAMES_AND_RACES_FREQUENCY_MONTHLY}			Monatliche Spiele & Rennen
{SMT_GAMES_AND_RACES_FREQUENCY_DAILY}				Tägliche Spiele & Rennen
{SMT_SHOW_SETTLEMENT_STATS}					Siedlungsdetails anzeigen
{SMT_AUTOMANAGE}						Automatische Verwaltung
{SMT_SETTLEMENT_STATISTICS}					Siedlungsdetails
{SMT_PUBLIC_ORDER}						Öffentliche Ordnung
{SMT_POPULATION_GROWTH}					Bevölkerungswachstum
{SMT_SET_POLICIES}						Politik bestimmen
{SMT_POPULATION_REQUIRED}					Für nächste Siedlungsstufe benötigte Bevölkerung:
{SMT_CONSTRUCTION_TIME}					Bauzeit
{SMT_CONSTRUCTION_COST}					Baukosten
{SMT_ANCILLARIES}						Gefolge
{SMT_TRAITS}							Merkmale
{SMT_RECRUITMENT_OPTIONS}					Fortbildungsoptionen
{SMT_MEN_IN_GARRISON}						Männer in der Garnison
{SMT_MEN_IN_ARMY}						Männer in der Armee
{SMT_SELECTED_MERCENARIES}					Ausgewählte Söldner
{SMT_SHOW_FACTION_RANKINGS}					Schriftrolle Seitenwertung anzeigen
{SMT_FACTION_RANKINGS}						Seiten
{SMT_RANKING_SCORE}						Gesamt
{SMT_RANKING_MILITARY}						Militär
{SMT_RANKING_PRODUCTION}					Produktion
{SMT_RANKING_REGIONS}						Gebiete
{SMT_RANKING_FINANCIAL}						Finanzen
{SMT_RANKING_POPULATION}					Bevölkerung
{SMT_FACTION_FILTER}						Seitenfilter
{SMT_OWN_FACTION}						Eigene Seite
{SMT_ALL_FACTIONS}						Alle Seiten
{SMT_TOP_5_FACTIONS}						Beste 5 Seiten
{SMT_CUSTOM_SELECTION}					Eigene Auswahl
{SMT_FILTER_NEIGHBOURS}						Nachbarn
{SMT_TURNS}							Runden
{SMT_VICTORY}							SIEG!
{SMT_DEFEAT}							NIEDERLAGE!
