¬ Text file converted with loc_parser
{TMT_SETTLEMENT_INCOME}					Introiti insediamento
{TMT_LOYALTY_LEVEL_2}	Quest'uomo proclama la propria lealtà agli amici e alla "causa", spesso un po' troppo ad alta voce.
{TMT_LOYALTY_LEVEL_3}	Anche se quest'uomo a volte si comporta in modo ambiguo, pochi dubitano davvero della sua lealtà nei confronti del suo popolo.
{TMT_LOYALTY_LEVEL_4}	Quest'uomo è notoriamente leale e affidabile, una persona da cui ci si aspetta che faccia solo il bene dei suoi amici.
{TMT_LOYALTY_LEVEL_5}	La slealtà nei confronti di chiunque non è qualcosa che quest'uomo possa contemplare, tranne forse nei momenti più bui e disperati.
{TMT_LOYALTY_LEVEL_6}	Lealtà. Una parola sulla quale costruire la propria vita. Ogni giorno.
{TMT_LOYALTY_LEVEL_7}	Le cause degli amici e delle persone care sono sempre da sostenere, almeno secondo il punto di vista di quest'uomo.
{TMT_LOYALTY_LEVEL_8}	Quest'uomo è considerato dai suoi commilitoni un esempio di lealtà, a prescindere da qualunque circostanza. 
{TMT_LOYALTY_LEVEL_9}	La lealtà è l'essenza dell'animo di quest'uomo. Sarà fedele al suo popolo, fino alla morte. 
{TMT_LOYALTY_LEVEL_10}	Il nome di quest'uomo è un sinonimo di lealtà. Egli è un esempio per tutti nell'incrollabile fede per la causa, gli amici e il suo popolo.
{TMT_NEGATIVE_LOYALTY}	Quest'uomo venderebbe i suoi amici e la sua famiglia in un attimo se pensasse di poterci guadagnare qualcosa.
{TMT_NEGATIVE_COMMAND}	Quest'uomo in realtà riesce a impedire ai suoi sottoposti di conseguire qualunque tipo di successo militare.
{TMT_NEGATIVE_INFLUENCE}	Quando quest'uomo pronuncia la sua opinione, tutti sanno che il contrario deve essere vero.
{TMT_NEGATIVE_MANAGEMENT}	Quest'uomo fa nascere il caos dall'ordine. Gli serve una lista di "cose da fare" quando visita le latrine, e anche così riesce a far qualcosa di sbagliato!
{TMT_NEGATIVE_SUBTERFUGE}	L'infantile goffaggine di quest'uomo fa sembrare ogni suo interlocutore maestro del sotterfugio. 		
{TMT_HORDE_OCCUPY_SETTLEMENT_TOOLTIP}	Fa' diventare questo insediamento e la regione circostante la nuova patria della tua gente. Le tue orde così si scioglieranno.		
{TMT_HORDE_SACK_SETTLEMENT_TOOLTIP}	Saccheggia tutto quel che puoi da quest'insediamento, dai fuoco ai suoi edifici, poi continua a cercare una nuova patria per le tue orde.		

¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++			
¬*******************************************************************************************************			
¬*******************************************************************************************************			
¬*			
¬*			EXPANSION PACK TEXT CHANGES BENEATH THIS LINE!!!
¬*			
¬*			
¬*			Only changes made after 18/04/2005 12:45:00
¬*			
¬*******************************************************************************************************			
¬*******************************************************************************************************			
¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++			

{TMT_HORDE_SACK_SETTLEMENT_TOOLTIP}		Saccheggia tutto quel che puoi da quest'insediamento. Semina distruzione e continua a cercare una nuova terra per le tue orde.	
{TMT_CANNOT_LEAD_NIGHT_BATTLE}		L'ufficiale in comando in questa battaglia non può condurre attacchi notturni	
{TMT_CANNOT_DISEMBARK_HERE}			Non può sbarcare qui

{TMT_CANNOT_FLEE_HORDE_PLAYER}		Quest'armata non può fuggire dalla battaglia. Se sarà sconfitta, l'insediamento andrà perduto e tutta la tua gente dovrà cercare un altro posto da chiamare patria.
{TMT_CANNOT_FLEE_HORDE_NON_PLAYER}		Quest'armata non può fuggire dalla battaglia. Se sarà sconfitta, l'insediamento andrà perduto e tutto questo popolo dovrà cercare un altro posto da chiamare patria.
{TMT_SIEGE_EQUIPMENT_NOT_POSSIBLE}					La costruzione di questi strumenti d'assedio è impossibile

¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++					
¬*******************************************************************************************************					
¬*******************************************************************************************************					
¬*					
¬*			CHANGES BENEATH THIS LINE!!!		
¬*					
¬*					
¬*			Only changes made after 07/06/2005 12:30:00		
¬*					
¬*******************************************************************************************************					
¬*******************************************************************************************************					
¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++					

{TMT_LOYALTY_LEVEL_4}	Quest'uomo è notoriamente leale e affidabile, una persona da cui ci si aspetta che faccia solo il bene dei suoi amici.		


¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
¬*******************************************************************************************************
¬*******************************************************************************************************
¬*
¬*			CHANGES BENEATH THIS LINE!!!
¬*		
¬*
¬*			Only changes made after 27/06/2005 12:03:00
¬*
¬*******************************************************************************************************
¬*******************************************************************************************************
¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
¬*******************************************************************************************************
¬*******************************************************************************************************
¬*
¬*			CHANGES BENEATH THIS LINE!!!
¬*		
¬*
¬*			Only changes made after 08/07/2005 17:45:00
¬*
¬*******************************************************************************************************
¬*******************************************************************************************************
¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
¬*******************************************************************************************************
¬*******************************************************************************************************
¬*
¬*			CHANGES BENEATH THIS LINE!!!
¬*		
¬*
¬*			Only changes made after 20/07/2005 12:26:00
¬*
¬*******************************************************************************************************
¬*******************************************************************************************************
¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
