¬ Text file converted with loc_parser
{BET_CREATE_NEW_ARMY}					Elabora dettagli armata
{BET_WALL_CULTURE}			Tipo di fazione costruttrice
{BET_NUM_SAP_POINTS}			N. punti di scavo
{BET_TIME_TO_REINFORCE}			Arriva tra %d minuti (tempo reale)
{BET_ONE_MIN_TO_REINFORCE}		Arriva tra 1 minuto (tempo reale)
{BET_ERROR_DELETING_SETTLEMENT_WRONG_MODE}	Impossibile eliminare gli insediamenti in questa modalità. Per eliminare un insediamento, selezionalo dall'elenco della fazione e premi il tasto Canc.


¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
¬*******************************************************************************************************
¬*******************************************************************************************************
¬*
¬*			EXPANSION PACK TEXT BEGINS HERE!!!
¬*		ALL TEXT BELOW THIS LINE SHOULD BE EXPANSION ADDITIONS/CHANGES ONLY!!!
¬*
¬*¬***** Changes made after 05/01/2005 15:18:00
¬*
¬*******************************************************************************************************
¬*******************************************************************************************************
¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

{BET_BELIEF}			Fede
{BET_RE_EMERGENT}			Riemergente?
{BET_DEAD_UNTIL_RESURRECTED}	Morto finché non viene resuscitato?
{BET_SUPERFACTION}		Ha una fazione superiore?
{BET_TWO_ARMIES_ON_SAME_TILE}	Ci sono due (o più) armate collocate nello stesso punto
{BET_LEGION_NAME}			Nome della legione
{BET_WORLD_MAP_POS}		Posizione sulla mappa del mondo:
{BET_SETTLEMENT_OWNER_NOT_AT_HOME}	È stato incluso un insediamento non ambientale e la sua fazione non ha armate sul campo di battaglia

¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
¬*******************************************************************************************************
¬*******************************************************************************************************
¬*
¬*			CHANGES BENEATH THIS LINE!!!
¬*		
¬*
¬*			Only changes made after 18/04/2005 12:45:00
¬*
¬*******************************************************************************************************
¬*******************************************************************************************************
¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
¬*******************************************************************************************************
¬*******************************************************************************************************
¬*
¬*			CHANGES BENEATH THIS LINE!!!
¬*		
¬*
¬*			Only changes made after 27/06/2005 11:46:00
¬*
¬*******************************************************************************************************
¬*******************************************************************************************************
¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
¬*******************************************************************************************************
¬*******************************************************************************************************
¬*
¬*			CHANGES BENEATH THIS LINE!!!
¬*		
¬*
¬*			Only changes made after 08/07/2005 17:40:00
¬*
¬*******************************************************************************************************
¬*******************************************************************************************************
¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
¬*******************************************************************************************************
¬*******************************************************************************************************
¬*
¬*			CHANGES BENEATH THIS LINE!!!
¬*		
¬*
¬*			Only changes made after 20/07/2005 12:22:00
¬*
¬*******************************************************************************************************
¬*******************************************************************************************************
¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
