¬ Strings that only appear in battle
{BMT_TURTLE}										Особая способность: Строй 'Черепаха'
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 03/09/2004 09:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

{BMT_CANNOT_MOVE_MULTIPLE_UNITS_ON_BRIDGES}	Нельзя помещать несколько отрядов на мост
{BMT_CANNOT_MOVE_ONTO_SIEGE_TOWERS}			Нельзя заходить непосредственно на осадные башни
{BMT_CANNOT_MOVE_ON_WATER}				Нельзя двигаться по воде
{BMT_FIELD_CURRENT_BANNER_TOOLTIP}			Защитники выиграют эту битву, когда таймер дойдет до нуля
{BMT_NETWORK_STALL_DIALOG_TITLE}			Возможны проблемы со связью
{BMT_NETWORK_DROP_DROP_PLAYER}			Выкинуть этого игрока?
{BMT_QUIT_FROM_NETWORK_DROP}				Выйти из игры?

{BMT_THIS_UNIT_SELECTION_CANNOT_EQUIP}	Выбранный отряд не может использовать это оборудование
{BMT_THESE_UNITS_CANNOT_EQUIP}		Выбранные отряды не могут использовать это оборудование



¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
¬*******************************************************************************************************
¬*******************************************************************************************************
¬*
¬*			EXPANSION PACK TEXT BEGINS HERE!!!
¬*		ALL TEXT BELOW THIS LINE SHOULD BE EXPANSION ADDITIONS/CHANGES ONLY!!!
¬*
¬*¬***** Changes made after 05/01/2005 15:18:00
¬*
¬*******************************************************************************************************
¬*******************************************************************************************************
¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

{BMT_SCHILTROM}		Особая способность: строй 'еж'
{BMT_SCHILTROM_OFF}		Отключить особую способность: разойтись из строя 'еж'
{BMT_SHIELD_WALL_SPECIAL_OFF}	Отключить особую способность: разойтись из строя 'стена щитов'
{BMT_ACT_BERSERK}		Берсерк
{BMT_MOR_BESERK}		Геройство
{BMT_STATE_BERSERK}		Боевое безумие

{BMT_CHANT_SPECIAL}		Особая способность: песнь
{BMT_CHANT_SPECIAL_OFF}	Отключить особую способность: прекратить песнь

¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
¬*******************************************************************************************************
¬*******************************************************************************************************
¬*
¬*			CHANGES BENEATH THIS LINE!!!
¬*		
¬*
¬*			Only changes made after 18/04/2005 12:45:00
¬*
¬*******************************************************************************************************
¬*******************************************************************************************************
¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

{BMT_STATE_SWIMMING}		Плывут
{BMT_DISABLE_AI_GROUPING}	Отозвать группу из-под управления ИИ

¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
¬*******************************************************************************************************
¬*******************************************************************************************************
¬*
¬*			CHANGES BENEATH THIS LINE!!!
¬*		
¬*
¬*			Only changes made after 27/06/2005 11:45:00
¬*
¬*******************************************************************************************************
¬*******************************************************************************************************
¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

{BMT_CONCERNED_GENERAL_JUST_FLED}	Встревожены, поскольку полководец бежал с поля боя

¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
¬*******************************************************************************************************
¬*******************************************************************************************************
¬*
¬*			CHANGES BENEATH THIS LINE!!!
¬*		
¬*
¬*			Only changes made after 08/07/2005 17:40:00
¬*
¬*******************************************************************************************************
¬*******************************************************************************************************
¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++


¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
¬*******************************************************************************************************
¬*******************************************************************************************************
¬*
¬*			CHANGES BENEATH THIS LINE!!!
¬*		
¬*
¬*			Only changes made after 20/07/2005 12:22:00
¬*
¬*******************************************************************************************************
¬*******************************************************************************************************
¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
¬*******************************************************************************************************
¬*******************************************************************************************************
¬*
¬*			THERE SHOULD NOW BE NO MORE CHANGES! 
¬*			SEE ROSS/LUCI/MIKE!
¬*
¬*			Only changes made after 05/08/2005 16:25:00
¬*
¬*******************************************************************************************************
¬*******************************************************************************************************
¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
