¬ Text file converted with loc_parser
{BET_CREATE_NEW_ARMY}					Редактировать армию
¬*******************************************************************************************************
¬*
¬*			EXPANSION PACK TEXT BEGINS HERE!!!
¬*		ALL TEXT BELOW THIS LINE SHOULD BE EXPANSION ADDITIONS/CHANGES ONLY!!!
¬*
¬*¬***** Changes made after 05/01/2005 15:18:00
¬*
¬*******************************************************************************************************
¬*******************************************************************************************************
¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

{BET_BELIEF}			Вера
{BET_RE_EMERGENT}			Повторить?
{BET_DEAD_UNTIL_RESURRECTED}	Мертв, пока не будет воскрешен?
{BET_SUPERFACTION}		Имеет супер-фракцию?
{BET_TWO_ARMIES_ON_SAME_TILE}	На одном участке указано больше одной армии
{BET_LEGION_NAME}			Название легиона
{BET_WORLD_MAP_POS}		Расположение на карте мира:
{BET_SETTLEMENT_OWNER_NOT_AT_HOME}	Включено поселение фракции, которая не имеет армий на поле боя

¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
¬*******************************************************************************************************
¬*******************************************************************************************************
¬*
¬*			CHANGES BENEATH THIS LINE!!!
¬*		
¬*
¬*			Only changes made after 18/04/2005 12:45:00
¬*
¬*******************************************************************************************************
¬*******************************************************************************************************
¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
¬*******************************************************************************************************
¬*******************************************************************************************************
¬*
¬*			CHANGES BENEATH THIS LINE!!!
¬*		
¬*
¬*			Only changes made after 27/06/2005 11:46:00
¬*
¬*******************************************************************************************************
¬*******************************************************************************************************
¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
¬*******************************************************************************************************
¬*******************************************************************************************************
¬*
¬*			CHANGES BENEATH THIS LINE!!!
¬*		
¬*
¬*			Only changes made after 08/07/2005 17:40:00
¬*
¬*******************************************************************************************************
¬*******************************************************************************************************
¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
¬*******************************************************************************************************
¬*******************************************************************************************************
¬*
¬*			CHANGES BENEATH THIS LINE!!!
¬*		
¬*
¬*			Only changes made after 20/07/2005 12:22:00
¬*
¬*******************************************************************************************************
¬*******************************************************************************************************
¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
¬*******************************************************************************************************
¬*******************************************************************************************************
¬*
¬*			THERE SHOULD NOW BE NO MORE CHANGES! 
¬*			SEE ROSS/LUCI/MIKE!
¬*
¬*			Only changes made after 05/08/2005 16:25:00
¬*
¬*******************************************************************************************************
¬*******************************************************************************************************
¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
