¬Strings that use a base enumeration and add to it with a faction index to attain the proper string
¬ alemanni, empire_east, empire_west, empire_east_rebels, empire_west_rebels, franks, huns, sarmatians, sassanids, saxons, vandals, goths, 
¬ white_huns, ostrogoths, romano_british, slavs, celts, slave

¬ Faction Names
{ROMANS_JULII}					The House of Julii
{EMT_HUNS_LARGE_CITY}		Hunnic Large City
{EMT_HUNS_HUGE_CITY}		Hunnic Huge City
{EMT_SARMATIANS_VILLAGE}			Sarmatian Village
{EMT_SARMATIANS_TOWN}				Sarmatian Town
{EMT_SARMATIANS_LARGE_TOWN}			Sarmatian Large Town
{EMT_SARMATIANS_CITY}				Sarmatian City
{EMT_SARMATIANS_LARGE_CITY}			Sarmatian Large City
{EMT_SARMATIANS_HUGE_CITY}			Sarmatian Huge City
{EMT_SASSANIDS_VILLAGE}			Sassanid Village
{EMT_SASSANIDS_TOWN}			Sassanid Town
{EMT_SASSANIDS_LARGE_TOWN}		Sassanid Large Town
{EMT_SASSANIDS_CITY}			Sassanid City
{EMT_SASSANIDS_LARGE_CITY}		Sassanid Large City
{EMT_SASSANIDS_HUGE_CITY}		Sassanid Huge City
{EMT_SAXONS_VILLAGE}			Saxon Village
{EMT_SAXONS_TOWN}				Saxon Town
{EMT_SAXONS_LARGE_TOWN}			Saxon Large Town
{EMT_SAXONS_CITY}				Saxon City
{EMT_SAXONS_LARGE_CITY}			Saxon Large City
{EMT_SAXONS_HUGE_CITY}			Saxon Huge City
{EMT_VANDALS_VILLAGE}			Vandal Village
{EMT_VANDALS_TOWN}				Vandal Town
{EMT_VANDALS_LARGE_TOWN}		Vandal Large Town
{EMT_VANDALS_CITY}				Vandal City
{EMT_VANDALS_LARGE_CITY}		Vandal Large City
{EMT_VANDALS_HUGE_CITY}			Vandal Huge City
{EMT_GOTHS_VILLAGE}			Gothic Village
{EMT_GOTHS_TOWN}			Gothic Town
{EMT_GOTHS_LARGE_TOWN}		Gothic Large Town
{EMT_GOTHS_CITY}			Gothic City
{EMT_GOTHS_LARGE_CITY}		Gothic Large City
{EMT_GOTHS_HUGE_CITY}		Gothic Huge City
{EMT_WHITE_HUNS_VILLAGE}		Hunnic (White) Village
{EMT_WHITE_HUNS_TOWN}			Hunnic (White) Town
{EMT_WHITE_HUNS_LARGE_TOWN}		Hunnic (White) Large Town
{EMT_WHITE_HUNS_CITY}			Hunnic (White) City
{EMT_WHITE_HUNS_LARGE_CITY}		Hunnic (White) Large City
{EMT_WHITE_HUNS_HUGE_CITY}		Hunnic (White) Huge City
{EMT_OSTROGOTHS_VILLAGE}			Ostrogoth Village
{EMT_OSTROGOTHS_TOWN}				Ostrogoth Town
{EMT_OSTROGOTHS_LARGE_TOWN}			Ostrogoth Large Town
{EMT_OSTROGOTHS_CITY}				Ostrogoth City
{EMT_OSTROGOTHS_LARGE_CITY}			Ostrogoth Large City
{EMT_OSTROGOTHS_HUGE_CITY}			Ostrogoth Huge City
{EMT_ROMANO_BRITISH_VILLAGE}			Romano British Village
{EMT_ROMANO_BRITISH_TOWN}				Romano British Town
{EMT_ROMANO_BRITISH_LARGE_TOWN}			Romano British Large Town
{EMT_ROMANO_BRITISH_CITY}				Romano British City
{EMT_ROMANO_BRITISH_LARGE_CITY}			Romano British Large City
{EMT_ROMANO_BRITISH_HUGE_CITY}			Romano British Huge City
{EMT_SLAVS_VILLAGE}			Slavic Village
{EMT_SLAVS_TOWN}			Slavic Town
{EMT_SLAVS_LARGE_TOWN}		Slavic Large Town
{EMT_SLAVS_CITY}			Slavic City
{EMT_SLAVS_LARGE_CITY}		Slavic Large City
{EMT_SLAVS_HUGE_CITY}		Slavic Huge City
{EMT_CELTS_VILLAGE}			Celtic Village
{EMT_CELTS_TOWN}			Celtic Town
{EMT_CELTS_LARGE_TOWN}		Celtic Large Town
{EMT_CELTS_CITY}			Celtic City
{EMT_CELTS_LARGE_CITY}		Celtic Large City
{EMT_CELTS_HUGE_CITY}		Celtic Huge City

{EMT_BERBERS_VILLAGE}			Berber Village
{EMT_BERBERS_TOWN}			Berber Town
{EMT_BERBERS_LARGE_TOWN}		Berber Large Town
{EMT_BERBERS_CITY}			Berber City
{EMT_BERBERS_LARGE_CITY}		Berber Large City
{EMT_BERBERS_HUGE_CITY}		Berber Huge City

{EMT_MOORS_VILLAGE}			Moorish Village
{EMT_MOORS_TOWN}			Moorish Town
{EMT_MOORS_LARGE_TOWN}		Moorish Large Town
{EMT_MOORS_CITY}			Moorish City
{EMT_MOORS_LARGE_CITY}		Moorish Large City
{EMT_MOORS_HUGE_CITY}		Moorish Huge City

{EMT_ROMANS_JULII_CAPITAL}					Roman (Julii) Capital
{EMT_ROMANS_BRUTII_CAPITAL}					Roman (Brutii) Capital
{EMT_ROMANS_SCIPII_CAPITAL}					Roman (Scipii) Capital
{EMT_ROMANS_SENATE_CAPITAL}					Roman (Senate) Capital
{EMT_MACEDON_CAPITAL}					Macedonian Capital
{EMT_EGYPT_CAPITAL}					Egyptian Capital
{EMT_SELEUCID_CAPITAL}					Seleucid Capital
{EMT_CARTHAGE_CAPITAL}					Carthaginian Capital
{EMT_PARTHIA_CAPITAL}					Parthian Capital
{EMT_PONTUS_CAPITAL}					Pontic Capital
{EMT_GAULS_CAPITAL}					Gallic Capital
{EMT_GERMANS_CAPITAL}					Germanic Capital
{EMT_BRITONS_CAPITAL}					Briton Capital
{EMT_ARMENIA_CAPITAL}					Armenian Capital
{EMT_DACIA_CAPITAL}					Dacian Capital
{EMT_GREEK_CITIES_CAPITAL}					Greek Capital
{EMT_NUMIDIA_CAPITAL}					Numidian Capital
{EMT_SCYTHIA_CAPITAL}					Scythian Capital
{EMT_SPAIN_CAPITAL}					Spanish Capital
{EMT_THRACE_CAPITAL}					Thracian Capital
{EMT_ALEMANNI_CAPITAL}		Alemanni Capital
{EMT_EMPIRE_EAST_CAPITAL}		Roman (Eastern Empire) Capital
{EMT_EMPIRE_WEST_CAPITAL}		Roman (Western Empire) Capital
{EMT_EMPIRE_EAST_REBELS_CAPITAL}		Roman (Eastern Empire Rebels) Capital
{EMT_EMPIRE_WEST_REBELS_CAPITAL}		Roman (Western Empire Rebels) Capital
{EMT_FRANKS_CAPITAL}		Frankish Capital
{EMT_HUNS_CAPITAL}		Hunnic Capital
{EMT_SARMATIANS_CAPITAL}			Sarmatian Capital
{EMT_SASSANIDS_CAPITAL}			Sassanid Capital
{EMT_SAXONS_CAPITAL}			Saxon Capital
{EMT_VANDALS_CAPITAL}			Vandal Capital
{EMT_GOTHS_CAPITAL}			Gothic Capital
{EMT_WHITE_HUNS_CAPITAL}		Hunnic (White) Capital
{EMT_OSTROGOTHS_CAPITAL}			Ostrogoth Capital
{EMT_ROMANO_BRITISH_CAPITAL}			Romano British Capital
{EMT_SLAVS_CAPITAL}			Slavic Capital
{EMT_SLAVE_CAPITAL}					Rebel Capital
{EMT_CELTS_CAPITAL}				Celtic Capital
{EMT_BERBERS_CAPITAL}				Berber Capital
{EMT_MOORS_CAPITAL}				Moorish Capital



{EMT_ROMANS_JULII_FORT}					Roman (Julii) Fort
{EMT_ROMANS_BRUTII_FORT}					Roman (Brutii) Fort
{EMT_ROMANS_SCIPII_FORT}					Roman (Scipii) Fort
{EMT_ROMANS_SENATE_FORT}					Roman (Senate) Fort
{EMT_MACEDON_FORT}					Macedonian Fort
{EMT_EGYPT_FORT}					Egyptian Fort
{EMT_SELEUCID_FORT}					Seleucid Fort
{EMT_CARTHAGE_FORT}					Carthaginian Fort
{EMT_PARTHIA_FORT}					Parthian Fort
{EMT_PONTUS_FORT}					Pontic Fort
{EMT_GAULS_FORT}					Gallic Fort
{EMT_GERMANS_FORT}					Germanic Fort
{EMT_BRITONS_FORT}					Briton Fort
{EMT_ARMENIA_FORT}					Armenian Fort
{EMT_DACIA_FORT}					Dacian Fort
{EMT_GREEK_CITIES_FORT}					Greek Fort
{EMT_NUMIDIA_FORT}					Numidian Fort
{EMT_SCYTHIA_FORT}					Scythian Fort
{EMT_SPAIN_FORT}					Spanish Fort
{EMT_THRACE_FORT}					Thracian Fort
{EMT_ALEMANNI_FORT}			Alemanni Fort
{EMT_EMPIRE_EAST_FORT}			Roman (Eastern Empire) Fort
{EMT_EMPIRE_WEST_FORT}			Roman (Western Empire) Fort
{EMT_EMPIRE_EAST_REBELS_FORT}			Roman (Eastern Empire Rebels) Fort
{EMT_EMPIRE_WEST_REBELS_FORT}			Roman (Western Empire rebels) Fort
{EMT_FRANKS_FORT}			Frankish Fort
{EMT_HUNS_FORT}			Hunnic Fort
{EMT_SARMATIANS_FORT}				Sarmatian Fort
{EMT_SASSANIDS_FORT}			Sassanid Fort
{EMT_SAXONS_FORT}				Saxon Fort
{EMT_VANDALS_FORT}				Vandal Fort
{EMT_GOTHS_FORT}			Gothic Fort
{EMT_WHITE_HUNS_FORT}			Hunnic (White) Fort
{EMT_OSTROGOTHS_FORT}				Ostrogoth Fort
{EMT_ROMANO_BRITISH_FORT}				Romano British Fort
{EMT_SLAVS_FORT}			Slavic Fort
{EMT_SLAVE_FORT}					Rebel Fort
{EMT_CELTS_FORT}			Celtic Fort
{EMT_BERBERS_FORT}		Berber Fort
{EMT_MOORS_FORT}			Moorish Fort

{EMT_ROMANS_JULII_PORT}					Roman (Julii) Port
{EMT_ROMANS_BRUTII_PORT}					Roman (Brutii) Port
{EMT_ROMANS_SCIPII_PORT}					Roman (Scipii) Port
{EMT_ROMANS_SENATE_PORT}					Roman (Senate) Port
{EMT_MACEDON_PORT}					Macedonian Port
{EMT_EGYPT_PORT}					Egyptian Port
{EMT_SELEUCID_PORT}					Seleucid Port
{EMT_CARTHAGE_PORT}					Carthaginian Port
{EMT_PARTHIA_PORT}					Parthian Port
{EMT_PONTUS_PORT}					Pontic Port
{EMT_GAULS_PORT}					Gallic Port
{EMT_GERMANS_PORT}					Germanic Port
{EMT_BRITONS_PORT}					Briton Port
{EMT_ARMENIA_PORT}					Armenian Port
{EMT_DACIA_PORT}					Dacian Port
{EMT_GREEK_CITIES_PORT}					Greek Port
{EMT_NUMIDIA_PORT}					Numidian Port
{EMT_SCYTHIA_PORT}					Scythian Port
{EMT_SPAIN_PORT}					Spanish Port
{EMT_THRACE_PORT}					Thracian Port
{EMT_ALEMANNI_PORT}			Alemanni Port
{EMT_EMPIRE_EAST_PORT}			Roman (Eastern Empire) Port
{EMT_EMPIRE_WEST_PORT}			Roman (Western Empire) Port
{EMT_EMPIRE_EAST_REBELS_PORT}			Roman (Eastern Empire Rebels) Port
{EMT_EMPIRE_WEST_REBELS_PORT}			Roman (Western Empire Rebels) Port
{EMT_FRANKS_PORT}			Frankish Port
{EMT_HUNS_PORT}			Hunnic Port
{EMT_SARMATIANS_PORT}				Sarmatian Port
{EMT_SASSANIDS_PORT}			Sassanid Port
{EMT_SAXONS_PORT}				Saxon Port
{EMT_VANDALS_PORT}				Vandal Port
{EMT_GOTHS_PORT}			Gothic Port
{EMT_WHITE_HUNS_PORT}			Hunnic (White) Port
{EMT_OSTROGOTHS_PORT}				Ostrogoth Port
{EMT_ROMANO_BRITISH_PORT}				Romano British Port
{EMT_SLAVS_PORT}			Slavic Port
{EMT_SLAVE_PORT}					Rebel Port
{EMT_CELTS_PORT}			Celtic Port
{EMT_BERBERS_PORT}		Berber Port
{EMT_MOORS_PORT}			Moorish Port

{EMT_ROMANS_JULII_DOCK}					Roman (Julii) Docks
{EMT_ROMANS_BRUTII_DOCK}					Roman (Brutii) Docks
{EMT_ROMANS_SCIPII_DOCK}					Roman (Scipii) Docks
{EMT_ROMANS_SENATE_DOCK}					Roman (Senate) Docks
{EMT_MACEDON_DOCK}					Macedonian Docks
{EMT_EGYPT_DOCK}					Egyptian Docks
{EMT_SELEUCID_DOCK}					Seleucid Docks
{EMT_CARTHAGE_DOCK}					Carthaginian Docks
{EMT_PARTHIA_DOCK}					Parthian Docks
{EMT_PONTUS_DOCK}					Pontic Docks
{EMT_GAULS_DOCK}					Gallic Docks
{EMT_GERMANS_DOCK}					Germanic Docks
{EMT_BRITONS_DOCK}					Briton Docks
{EMT_ARMENIA_DOCK}					Armenian Docks
{EMT_DACIA_DOCK}					Dacian Docks
{EMT_GREEK_CITIES_DOCK}					Greek Docks
{EMT_NUMIDIA_DOCK}					Numidian Docks
{EMT_SCYTHIA_DOCK}					Scythian Docks
{EMT_SPAIN_DOCK}					Spanish Docks
{EMT_THRACE_DOCK}					Thracian Docks
{EMT_ALEMANNI_DOCK}				Alemanni Docks
{EMT_EMPIRE_EAST_DOCK}				Roman (Eastern Empire) Docks
{EMT_EMPIRE_WEST_DOCK}				Roman (Western Empire) Docks
{EMT_EMPIRE_EAST_REBELS_DOCK}				Roman (Eastern Empire Rebels) Docks
{EMT_EMPIRE_WEST_REBELS_DOCK}				Roman (Western Empire Rebels) Docks
{EMT_FRANKS_DOCK}					Frankish Docks
{EMT_HUNS_DOCK}				Hunnic Docks
{EMT_SARMATIANS_DOCK}				Sarmatian Docks
{EMT_SASSANIDS_DOCK}				Sassanid Docks
{EMT_SAXONS_DOCK}					Saxon Docks
{EMT_VANDALS_DOCK}					Vandal Docks
{EMT_GOTHS_DOCK}				Gothic Docks
{EMT_WHITE_HUNS_DOCK}				Hunnic (White) Docks
{EMT_OSTROGOTHS_DOCK}				Ostrogoth Docks
{EMT_ROMANO_BRITISH_DOCK}			Romano British Docks
{EMT_SLAVS_DOCK}					Slavic Docks
{EMT_SLAVE_DOCK}					Rebel Docks
{EMT_CELTS_DOCK}					Celtic Docks
{EMT_BERBERS_DOCK}		Berber Docks
{EMT_MOORS_DOCK}			Moorish Docks


{EMT_ROMANS_JULII_FISHING_VILLAGE}					Roman (Julii) Fishing Village
{EMT_ROMANS_BRUTII_FISHING_VILLAGE}					Roman (Brutii) Fishing Village
{EMT_ROMANS_SCIPII_FISHING_VILLAGE}					Roman (Scipii) Fishing Village
{EMT_ROMANS_SENATE_FISHING_VILLAGE}					Roman (Senate) Fishing Village
{EMT_MACEDON_FISHING_VILLAGE}					Macedonian Fishing Village
{EMT_EGYPT_FISHING_VILLAGE}					Egyptian Fishing Village
{EMT_SELEUCID_FISHING_VILLAGE}					Seleucid Fishing Village
{EMT_CARTHAGE_FISHING_VILLAGE}					Carthaginian Fishing Village
{EMT_PARTHIA_FISHING_VILLAGE}					Parthian Fishing Village
{EMT_PONTUS_FISHING_VILLAGE}					Pontic Fishing Village
{EMT_GAULS_FISHING_VILLAGE}					Gallic Fishing Village
{EMT_GERMANS_FISHING_VILLAGE}					Germanic Fishing Village
{EMT_BRITONS_FISHING_VILLAGE}					Briton Fishing Village
{EMT_ARMENIA_FISHING_VILLAGE}					Armenian Fishing Village
{EMT_DACIA_FISHING_VILLAGE}					Dacian Fishing Village
{EMT_GREEK_CITIES_FISHING_VILLAGE}					Greek Fishing Village
{EMT_NUMIDIA_FISHING_VILLAGE}					Numidian Fishing Village
{EMT_SCYTHIA_FISHING_VILLAGE}					Scythian Fishing Village
{EMT_SPAIN_FISHING_VILLAGE}					Spanish Fishing Village
{EMT_THRACE_FISHING_VILLAGE}					Thracian Fishing Village
{EMT_ALEMANNI_FISHING_VILLAGE}	Alemanni Fishing Village
{EMT_EMPIRE_EAST_FISHING_VILLAGE}	Roman (Eastern Empire) Fishing Village
{EMT_EMPIRE_WEST_FISHING_VILLAGE}	Roman (Western Empire) Fishing Village
{EMT_EMPIRE_EAST_REBELS_FISHING_VILLAGE}	Roman (Eastern Empire Rebels) Fishing Village
{EMT_EMPIRE_WEST_REBELS_FISHING_VILLAGE}	Roman (Western Empire Rebels) Fishing Village
{EMT_FRANKS_FISHING_VILLAGE}	Frankish Fishing Village
{EMT_HUNS_FISHING_VILLAGE}	Hunnic Fishing Village
{EMT_SARMATIANS_FISHING_VILLAGE}	Sarmatian Fishing Village
{EMT_SASSANIDS_FISHING_VILLAGE}	Sassanid Fishing Village
{EMT_SAXONS_FISHING_VILLAGE}	Saxon Fishing Village
{EMT_VANDALS_FISHING_VILLAGE}	Vandal Fishing Village
{EMT_GOTHS_FISHING_VILLAGE}	Gothic Fishing Village
{EMT_WHITE_HUNS_FISHING_VILLAGE}	Hunnic (White) Fishing Village
{EMT_OSTROGOTHS_FISHING_VILLAGE}	Ostrogoth Fishing Village
{EMT_ROMANO_BRITISH_FISHING_VILLAGE}	Romano British Fishing Village
{EMT_SLAVS_FISHING_VILLAGE}			Slavic Fishing Village
{EMT_SLAVE_FISHING_VILLAGE}					Rebel Fishing Village
{EMT_CELTS_FISHING_VILLAGE}			Celtic Fishing Village
{EMT_BERBERS_FISHING_VILLAGE}					Berber Fishing Village
{EMT_MOORS_FISHING_VILLAGE}			Moorish Fishing Village

{EMT_ROMANS_JULII_WATCHTOWER}					Roman (Julii) Watchtower
{EMT_ROMANS_BRUTII_WATCHTOWER}					Roman (Brutii) Watchtower
{EMT_ROMANS_SCIPII_WATCHTOWER}					Roman (Scipii) Watchtower
{EMT_ROMANS_SENATE_WATCHTOWER}					Roman (Senate) Watchtower
{EMT_MACEDON_WATCHTOWER}					Macedonian Watchtower
{EMT_EGYPT_WATCHTOWER}					Egyptian Watchtower
{EMT_SELEUCID_WATCHTOWER}					Seleucid Watchtower
{EMT_CARTHAGE_WATCHTOWER}					Carthaginian Watchtower
{EMT_PARTHIA_WATCHTOWER}					Parthian Watchtower
{EMT_PONTUS_WATCHTOWER}					Pontic Watchtower
{EMT_GAULS_WATCHTOWER}					Gallic Watchtower
{EMT_GERMANS_WATCHTOWER}					Germanic Watchtower
{EMT_BRITONS_WATCHTOWER}					Briton Watchtower
{EMT_ARMENIA_WATCHTOWER}					Armenian Watchtower
{EMT_DACIA_WATCHTOWER}					Dacian Watchtower
{EMT_GREEK_CITIES_WATCHTOWER}					Greek Watchtower
{EMT_NUMIDIA_WATCHTOWER}					Numidian Watchtower
{EMT_SCYTHIA_WATCHTOWER}					Scythian Watchtower
{EMT_SPAIN_WATCHTOWER}					Spanish Watchtower
{EMT_THRACE_WATCHTOWER}					Thracian Watchtower
{EMT_ALEMANNI_WATCHTOWER}	Alemanni Watchtower
{EMT_EMPIRE_EAST_WATCHTOWER}	Roman (Eastern Empire) Watchtower
{EMT_EMPIRE_WEST_WATCHTOWER}	Roman (Western Empire) Watchtower
{EMT_EMPIRE_EAST_REBELS_WATCHTOWER}	Roman (Eastern Empire Rebels) Watchtower
{EMT_EMPIRE_WEST_REBELS_WATCHTOWER}	Roman (Western Empire Rebels) Watchtower
{EMT_FRANKS_WATCHTOWER}		Frankish Watchtower
{EMT_HUNS_WATCHTOWER}		Hunnic Watchtower
{EMT_SARMATIANS_WATCHTOWER}			Sarmatian Watchtower
{EMT_SASSANIDS_WATCHTOWER}		Sassanid Watchtower
{EMT_SAXONS_WATCHTOWER}			Saxon Watchtower
{EMT_VANDALS_WATCHTOWER}		Vandal Watchtower
{EMT_GOTHS_WATCHTOWER}		Gothic Watchtower
{EMT_WHITE_HUNS_WATCHTOWER}	Hunnic (White) Watchtower
{EMT_OSTROGOTHS_WATCHTOWER}			Ostrogoth Watchtower
{EMT_ROMANO_BRITISH_WATCHTOWER}			Romano British Watchtower
{EMT_SLAVS_WATCHTOWER}		Slavic Watchtower
{EMT_SLAVE_WATCHTOWER}					Rebel Watchtower
{EMT_CELTS_WATCHTOWER}				Celtic Watchtower
{EMT_BERBERS_WATCHTOWER}			Berber Watchtower
{EMT_MOORS_WATCHTOWER}				Moors Watchtower


{EMT_ROMANS_JULII_FACTION_LEADER}					Roman (Julii) Faction Leader
{EMT_ROMANS_BRUTII_FACTION_LEADER}					Roman (Brutii) Faction Leader
{EMT_ROMANS_SCIPII_FACTION_LEADER}					Roman (Scipii) Faction Leader
{EMT_ROMANS_SENATE_FACTION_LEADER}					Roman (Senate) Faction Leader
{EMT_MACEDON_FACTION_LEADER}					Macedonian Faction Leader
{EMT_EGYPT_FACTION_LEADER}					Egyptian Faction Leader
{EMT_SELEUCID_FACTION_LEADER}					Seleucid Faction Leader
{EMT_CARTHAGE_FACTION_LEADER}					Carthaginian Faction Leader
{EMT_PARTHIA_FACTION_LEADER}					Parthian Faction Leader
{EMT_PONTUS_FACTION_LEADER}					Pontic Faction Leader
{EMT_GAULS_FACTION_LEADER}					Gallic Faction Leader
{EMT_GERMANS_FACTION_LEADER}					Germanic Faction Leader
{EMT_BRITONS_FACTION_LEADER}					Briton Faction Leader
{EMT_ARMENIA_FACTION_LEADER}					Armenian Faction Leader
{EMT_DACIA_FACTION_LEADER}					Dacian Faction Leader
{EMT_GREEK_CITIES_FACTION_LEADER}					Greek Faction Leader
{EMT_NUMIDIA_FACTION_LEADER}					Numidian Faction Leader
{EMT_SCYTHIA_FACTION_LEADER}					Scythian Faction Leader
{EMT_SPAIN_FACTION_LEADER}					Spanish Faction Leader
{EMT_THRACE_FACTION_LEADER}					Thracian Faction Leader
{EMT_ALEMANNI_FACTION_LEADER}		Alemanni Faction Leader
{EMT_EMPIRE_EAST_FACTION_LEADER}	Roman (Eastern Empire) Faction Leader
{EMT_EMPIRE_WEST_FACTION_LEADER}	Roman (Western Empire) Faction Leader
{EMT_EMPIRE_EAST_REBELS_FACTION_LEADER}	Roman (Eastern Empire Rebels) Faction Leader
{EMT_EMPIRE_WEST_REBELS_FACTION_LEADER}	Roman (Western Empire Rebels) Faction Leader
{EMT_FRANKS_FACTION_LEADER}			Frankish Faction Leader
{EMT_HUNS_FACTION_LEADER}		Hunnic Faction Leader
{EMT_SARMATIANS_FACTION_LEADER}		Sarmatian Faction Leader
{EMT_SASSANIDS_FACTION_LEADER}		Sassanid Faction Leader
{EMT_SAXONS_FACTION_LEADER}			Saxon Faction Leader
{EMT_VANDALS_FACTION_LEADER}		Vandal Faction Leader
{EMT_GOTHS_FACTION_LEADER}		Gothic Faction Leader
{EMT_WHITE_HUNS_FACTION_LEADER}		Hunnic (White) Faction Leader
{EMT_OSTROGOTHS_FACTION_LEADER}		Ostrogoth Faction Leader
{EMT_ROMANO_BRITISH_FACTION_LEADER}	Romano British Faction Leader
{EMT_SLAVS_FACTION_LEADER}			Slavic Faction Leader
{EMT_SLAVE_FACTION_LEADER}					Rebel Faction Leader
{EMT_CELTS_FACTION_LEADER}			Celtic Faction Leader
{EMT_BERBERS_FACTION_LEADER}			Berber Faction Leader
{EMT_MOORS_FACTION_LEADER}			Moorish Faction Leader

{EMT_ROMANS_JULII_FACTION_HEIR}					Roman (Julii) Faction Heir
{EMT_ROMANS_BRUTII_FACTION_HEIR}					Roman (Brutii) Faction Heir
{EMT_ROMANS_SCIPII_FACTION_HEIR}					Roman (Scipii) Faction Heir
{EMT_ROMANS_SENATE_FACTION_HEIR}					Roman (Senate) Faction Heir
{EMT_MACEDON_FACTION_HEIR}					Macedonian Faction Heir
{EMT_EGYPT_FACTION_HEIR}					Egyptian Faction Heir
{EMT_SELEUCID_FACTION_HEIR}					Seleucid Faction Heir
{EMT_CARTHAGE_FACTION_HEIR}					Carthaginian Faction Heir
{EMT_PARTHIA_FACTION_HEIR}					Parthian Faction Heir
{EMT_PONTUS_FACTION_HEIR}					Pontic Faction Heir
{EMT_GAULS_FACTION_HEIR}					Gallic Faction Heir
{EMT_GERMANS_FACTION_HEIR}					Germanic Faction Heir
{EMT_BRITONS_FACTION_HEIR}					Briton Faction Heir
{EMT_ARMENIA_FACTION_HEIR}					Armenian Faction Heir
{EMT_DACIA_FACTION_HEIR}					Dacian Faction Heir
{EMT_GREEK_CITIES_FACTION_HEIR}					Greek Faction Heir
{EMT_NUMIDIA_FACTION_HEIR}					Numidian Faction Heir
{EMT_SCYTHIA_FACTION_HEIR}					Scythian Faction Heir
{EMT_SPAIN_FACTION_HEIR}					Spanish Faction Heir
{EMT_THRACE_FACTION_HEIR}					Thracian Faction Heir
{EMT_ALEMANNI_FACTION_HEIR}			Alemanni Faction Heir
{EMT_EMPIRE_EAST_FACTION_HEIR}		Roman (Eastern Empire) Faction Heir
{EMT_EMPIRE_WEST_FACTION_HEIR}		Roman (Western Empire) Faction Heir
{EMT_EMPIRE_EAST_REBELS_FACTION_HEIR}		Roman (Eastern Empire Rebels) Faction Heir
{EMT_EMPIRE_WEST_REBELS_FACTION_HEIR}		Roman (Western Empire Rebels) Faction Heir
{EMT_FRANKS_FACTION_HEIR}			Frankish Faction Heir
{EMT_HUNS_FACTION_HEIR}		Hunnic Faction Heir
{EMT_SARMATIANS_FACTION_HEIR}		Sarmatian Faction Heir
{EMT_SASSANIDS_FACTION_HEIR}		Sassanid Faction Heir
{EMT_SAXONS_FACTION_HEIR}			Saxon Faction Heir
{EMT_VANDALS_FACTION_HEIR}			Vandal Faction Heir
{EMT_GOTHS_FACTION_HEIR}		Gothic Faction Heir
{EMT_WHITE_HUNS_FACTION_HEIR}		Hunnic (White) Faction Heir
{EMT_OSTROGOTHS_FACTION_HEIR}		Ostrogoth Faction Heir
{EMT_ROMANO_BRITISH_FACTION_HEIR}	Romano British Faction Heir
{EMT_SLAVS_FACTION_HEIR}			Slavic Faction Heir
{EMT_SLAVE_FACTION_HEIR}					Rebel Faction Heir
{EMT_CELTS_FACTION_HEIR}					Celtic Faction Heir
{EMT_BERBERS_FACTION_HEIR}					Berber Faction Heir
{EMT_MOORS_FACTION_HEIR}					Moorish Faction Heir


{EMT_YOUR_FORCES_ATTACK_ARMY_ROMANS_JULII}					Your forces attack an army of the Julii faction
{EMT_YOUR_FORCES_ATTACK_ARMY_ROMANS_BRUTII}					Your forces attack an army of the Brutii faction
{EMT_YOUR_FORCES_ATTACK_ARMY_ROMANS_SCIPII}					Your forces attack an army of the Scipii faction
{EMT_YOUR_FORCES_ATTACK_ARMY_ROMANS_SENATE}					Your forces attack an army of the Senate
{EMT_YOUR_FORCES_ATTACK_ARMY_MACEDON}					Your forces attack an army of Macedon
{EMT_YOUR_FORCES_ATTACK_ARMY_EGYPT}					Your forces attack an army of Egypt
{EMT_YOUR_FORCES_ATTACK_ARMY_SELEUCID}					Your forces attack an army of the Seleucid Empire
{EMT_YOUR_FORCES_ATTACK_ARMY_CARTHAGE}					Your forces attack an army of Carthage
{EMT_YOUR_FORCES_ATTACK_ARMY_PARTHIA}					Your forces attack an army of Parthia
{EMT_YOUR_FORCES_ATTACK_ARMY_PONTUS}					Your forces attack an army of Pontus
{EMT_YOUR_FORCES_ATTACK_ARMY_GAULS}					Your forces attack an army of Gaul
{EMT_YOUR_FORCES_ATTACK_ARMY_GERMANS}					Your forces attack an army of Germania
{EMT_YOUR_FORCES_ATTACK_ARMY_BRITONS}					Your forces attack an army of Britannia
{EMT_YOUR_FORCES_ATTACK_ARMY_ARMENIA}					Your forces attack an army of Armenia
{EMT_YOUR_FORCES_ATTACK_ARMY_DACIA}					Your forces attack an army of Dacia
{EMT_YOUR_FORCES_ATTACK_ARMY_GREEK_CITIES}					Your forces attack an army of the Greek Cities
{EMT_YOUR_FORCES_ATTACK_ARMY_NUMIDIA}					Your forces attack an army of Numidia
{EMT_YOUR_FORCES_ATTACK_ARMY_SCYTHIA}					Your forces attack an army of Scythia
{EMT_YOUR_FORCES_ATTACK_ARMY_SPAIN}					Your forces attack an army of Spain
{EMT_YOUR_FORCES_ATTACK_ARMY_THRACE}					Your forces attack an army of Thrace
{EMT_YOUR_FORCES_ATTACK_ARMY_ALEMANNI}						Your forces attack an army of Alemanni
{EMT_YOUR_FORCES_ATTACK_ARMY_EMPIRE_EAST}					Your forces attack an army of the Eastern Empire
{EMT_YOUR_FORCES_ATTACK_ARMY_EMPIRE_WEST}					Your forces attack an army of the Western Empire
{EMT_YOUR_FORCES_ATTACK_ARMY_EMPIRE_EAST_REBELS}				Your forces attack an army of the Eastern Empire Rebels
